Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
Hungary,Budapest,2025-04-01 11:30:00,14.3,55,1016.0,Partly cloudy,4.611148000000001
Hungary,Budapest,2025-04-02 11:00:00,14.0,55,1018.0,Partly cloudy,4.805594000000001
Hungary,Budapest,2025-04-03 11:00:00,15.0,31,1020.0,Sunny,2.6111320000000005
Hungary,Budapest,2025-04-04 11:15:00,16.1,45,1021.0,Sunny,2.8889120000000004
Hungary,Budapest,2025-04-05 11:00:00,18.1,39,1008.0,Sunny,5.111152
Hungary,Budapest,2025-04-06 11:00:00,6.8,32,1016.0,Sunny,4.3055900000000005
Hungary,Budapest,2025-04-07 11:15:00,4.2,41,1020.0,Overcast,2.6944660000000002
Hungary,Budapest,2025-04-08 11:15:00,9.2,55,1023.0,Partly Cloudy,4.805594000000001
Hungary,Budapest,2025-04-09 11:15:00,10.4,37,1021.0,Sunny,3.1944700000000004
Hungary,Budapest,2025-04-10 11:00:00,11.4,50,1016.0,Partly cloudy,8.305622
Hungary,Budapest,2025-04-11 11:15:00,15.4,41,1012.0,Sunny,7.6945060000000005
Hungary,Budapest,2025-04-12 11:15:00,14.1,51,1019.0,Partly cloudy,1.0000080000000002
Hungary,Budapest,2025-04-13 11:00:00,16.1,45,1016.0,Sunny,5.694490000000001
Hungary,Budapest,2025-04-14 11:30:00,16.3,59,1015.0,Partly cloudy,5.111152
Hungary,Budapest,2025-04-15 11:15:00,13.4,94,1012.0,Light rain,3.8889200000000006
Hungary,Budapest,2025-04-16 11:00:00,21.3,43,1016.0,Sunny,4.388924
Hungary,Budapest,2025-04-17 11:00:00,23.3,53,1015.0,Sunny,5.694490000000001
Hungary,Budapest,2025-04-18 11:15:00,16.3,77,1012.0,Partly cloudy,4.000032000000001
Hungary,Budapest,2025-04-19 11:00:00,15.1,67,1015.0,Sunny,3.1944700000000004
Hungary,Budapest,2025-04-20 10:45:00,19.4,46,1011.0,Sunny,4.694482
Hungary,Budapest,2025-04-21 11:15:00,19.3,56,1010.0,Sunny,1.5000120000000003
Hungary,Budapest,2025-04-22 11:15:00,22.4,57,1014.0,Sunny,2.6111320000000005
Hungary,Budapest,2025-04-23 11:00:00,22.0,50,1015.0,Sunny,1.11112
Hungary,Budapest,2025-04-24 11:00:00,20.4,64,1010.0,Patchy rain nearby,2.0000160000000005
Hungary,Budapest,2025-04-25 10:45:00,15.4,88,1011.0,Partly cloudy,2.50002
Hungary,Budapest,2025-04-26 11:00:00,18.2,56,1015.0,Partly cloudy,5.611156
Hungary,Budapest,2025-04-27 10:45:00,15.1,31,1025.0,Sunny,3.6944740000000005
Hungary,Budapest,2025-04-28 11:30:00,17.3,39,1028.0,Sunny,2.3889080000000003
Hungary,Budapest,2025-04-29 10:45:00,20.1,53,1026.0,Sunny,1.3055660000000002
Hungary,Budapest,2025-04-30 10:45:00,21.1,53,1022.0,Sunny,1.3055660000000002
