Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
Iceland,Vestmannaeyjar,2024-07-01 13:15:00,9.2,93,1005.0,Partly cloudy,5.611156
Iceland,Vestmannaeyjar,2024-07-02 13:15:00,10.3,94,1002.0,Fog,5.305598000000001
Iceland,Vestmannaeyjar,2024-07-03 13:00:00,9.2,100,988.0,Overcast,8.305622
Iceland,Vestmannaeyjar,2024-07-04 13:00:00,10.0,94,1000.0,Overcast,3.6111400000000002
Iceland,Vestmannaeyjar,2024-07-05 12:45:00,12.3,77,1005.0,Partly cloudy,2.50002
Iceland,Vestmannaeyjar,2024-07-06 13:15:00,12.2,88,1005.0,Partly cloudy,2.50002
Iceland,Vestmannaeyjar,2024-07-07 13:00:00,11.3,66,1006.0,Sunny,4.194478
Iceland,Vestmannaeyjar,2024-07-08 13:00:00,10.2,94,1012.0,Overcast,3.6111400000000002
Iceland,Vestmannaeyjar,2024-07-09 12:45:00,11.2,87,1016.0,Partly cloudy,3.111136
Iceland,Vestmannaeyjar,2024-07-10 13:00:00,11.1,82,1016.0,Overcast,3.111136
Iceland,Vestmannaeyjar,2024-07-11 12:45:00,11.1,94,1011.0,Light drizzle,7.805618000000001
Iceland,Vestmannaeyjar,2024-07-12 13:00:00,10.3,100,1011.0,Mist,10.805642
Iceland,Vestmannaeyjar,2024-07-13 13:00:00,11.3,100,1013.0,Mist,9.194518
Iceland,Vestmannaeyjar,2024-07-14 13:15:00,11.4,94,1015.0,Partly cloudy,6.694498000000001
Iceland,Vestmannaeyjar,2024-07-15 13:00:00,12.3,88,1013.0,Partly cloudy,2.50002
Iceland,Vestmannaeyjar,2024-07-16 12:45:00,9.0,93,1009.0,Overcast,9.194518
Iceland,Vestmannaeyjar,2024-07-17 12:45:00,10.1,94,1006.0,Overcast,10.305638000000002
Iceland,Vestmannaeyjar,2024-07-18 12:45:00,11.1,94,1002.0,Fog,4.194478
Iceland,Vestmannaeyjar,2024-07-19 12:30:00,12.3,88,1006.0,Fog,8.305622
Iceland,Vestmannaeyjar,2024-07-20 12:45:00,12.2,82,1005.0,Sunny,5.611156
Iceland,Vestmannaeyjar,2024-07-23 12:30:00,10.5,93,1007.0,Light drizzle,6.888944000000001
Iceland,Vestmannaeyjar,2024-07-24 12:45:00,10.7,97,999.0,Light rain,10.388972
Iceland,Vestmannaeyjar,2024-07-25 12:15:00,11.1,94,993.0,Patchy rain nearby,1.3889
Iceland,Vestmannaeyjar,2024-07-26 12:30:00,11.1,90,994.0,Patchy rain nearby,1.3055660000000002
Iceland,Vestmannaeyjar,2024-07-27 12:30:00,10.3,84,1001.0,Patchy rain nearby,5.111152
Iceland,Vestmannaeyjar,2024-07-28 12:45:00,10.9,95,1002.0,Light rain,10.805642
Iceland,Vestmannaeyjar,2024-07-29 12:15:00,10.7,85,994.0,Patchy rain nearby,8.000064000000002
Iceland,Vestmannaeyjar,2024-07-30 12:15:00,9.5,84,1007.0,Overcast,6.111160000000001
Iceland,Vestmannaeyjar,2024-07-31 12:15:00,11.1,90,1003.0,Overcast,14.694562000000001
