Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
India,New Delhi,2024-06-01 19:45:00,34.0,32,1003.0,Moderate or heavy rain with thunder,1.694458
India,New Delhi,2024-06-02 19:30:00,40.0,18,1002.0,Mist,3.111136
India,New Delhi,2024-06-03 19:45:00,40.0,17,1000.0,Mist,2.50002
India,New Delhi,2024-06-04 19:45:00,39.0,24,1000.0,Mist,1.694458
India,New Delhi,2024-06-05 19:45:00,41.0,21,1001.0,Mist,3.111136
India,New Delhi,2024-06-06 19:30:00,39.0,23,1003.0,Mist,3.111136
India,New Delhi,2024-06-07 19:30:00,40.0,17,1000.0,Mist,5.305598000000001
India,New Delhi,2024-06-08 19:45:00,38.2,17,1000.0,Mist,4.694482
India,New Delhi,2024-06-09 19:45:00,39.3,13,1000.0,Mist,3.6111400000000002
India,New Delhi,2024-06-10 19:45:00,40.4,16,1001.0,Mist,4.694482
India,New Delhi,2024-06-11 19:30:00,41.0,12,999.0,Mist,3.111136
India,New Delhi,2024-06-12 19:45:00,41.2,14,999.0,Mist,2.50002
India,New Delhi,2024-06-13 19:30:00,42.1,13,997.0,Mist,3.6111400000000002
India,New Delhi,2024-06-14 19:30:00,40.0,19,995.0,Clear,6.805610000000001
India,New Delhi,2024-06-15 19:30:00,42.0,17,997.0,Mist,5.611156
India,New Delhi,2024-06-16 19:15:00,44.8,12,994.0,Clear,5.3889320000000005
India,New Delhi,2024-06-17 19:30:00,42.7,21,995.0,Clear,8.111176
India,New Delhi,2024-06-18 19:30:00,44.1,16,991.0,Clear,6.111160000000001
India,New Delhi,2024-06-20 19:15:00,40.1,22,993.0,Partly Cloudy,4.611148000000001
India,New Delhi,2024-06-21 19:00:00,31.1,63,998.0,Mist,1.8889040000000001
India,New Delhi,2024-06-22 19:15:00,34.4,53,999.0,Mist,5.305598000000001
India,New Delhi,2024-06-23 19:15:00,33.1,59,998.0,Mist,1.8889040000000001
India,New Delhi,2024-06-24 19:15:00,31.1,79,999.0,Light drizzle,1.8889040000000001
India,New Delhi,2024-06-25 18:45:00,41.6,27,993.0,Patchy rain nearby,4.000032000000001
India,New Delhi,2024-06-26 19:00:00,33.3,63,998.0,Mist,4.194478
India,New Delhi,2024-06-27 18:45:00,33.2,59,999.0,Mist,4.194478
India,New Delhi,2024-06-28 18:45:00,32.1,75,998.0,Mist,1.8889040000000001
India,New Delhi,2024-06-29 18:15:00,32.8,60,996.0,Patchy rain nearby,6.694498000000001
India,New Delhi,2024-06-30 19:00:00,36.2,57,996.0,Mist,1.8889040000000001
