Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
Iran,Tehran,2024-10-01 13:30:00,24.1,27,1016.0,Partly cloudy,4.000032000000001
Iran,Chi Chi Khvar,2024-10-01 13:30:00,23.2,17,1007.0,Sunny,7.194502
Iran,Tehran,2024-10-02 13:00:00,29.3,16,1014.0,Partly cloudy,2.0000160000000005
Iran,Chi Chi Khvar,2024-10-02 13:00:00,21.1,29,1008.0,Sunny,9.888968000000002
Iran,Tehran,2024-10-03 13:00:00,29.0,12,1015.0,Partly cloudy,5.611156
Iran,Chi Chi Khvar,2024-10-03 13:00:00,19.5,23,1013.0,Sunny,5.888936
Iran,Tehran,2024-10-04 13:15:00,26.2,21,1016.0,Sunny,2.8889120000000004
Iran,Chi Chi Khvar,2024-10-04 13:15:00,19.5,21,1012.0,Sunny,1.8055700000000001
Iran,Tehran,2024-10-05 13:00:00,22.1,38,1017.0,Partly cloudy,3.3055820000000002
Iran,Chi Chi Khvar,2024-10-05 13:00:00,18.9,28,1013.0,Sunny,4.388924
Iran,Tehran,2024-10-06 12:45:00,22.1,31,1022.0,Partly cloudy,3.388916
Iran,Chi Chi Khvar,2024-10-06 12:45:00,18.1,22,1017.0,Sunny,3.3055820000000002
Iran,Tehran,2024-10-07 13:15:00,21.9,29,1020.0,Sunny,2.3889080000000003
Iran,Chi Chi Khvar,2024-10-07 13:15:00,23.0,11,1015.0,Sunny,1.0000080000000002
Iran,Tehran,2024-10-08 13:15:00,25.0,22,1022.0,Sunny,2.6111320000000005
Iran,Chi Chi Khvar,2024-10-08 13:15:00,23.7,11,1015.0,Sunny,4.000032000000001
Iran,Tehran,2024-10-09 13:15:00,27.0,16,1019.0,Partly cloudy,3.0000240000000007
Iran,Chi Chi Khvar,2024-10-09 13:15:00,23.0,13,1014.0,Sunny,1.8889040000000001
Iran,Tehran,2024-10-10 13:15:00,25.6,18,1012.0,Sunny,3.0000240000000007
Iran,Chi Chi Khvar,2024-10-10 13:15:00,22.9,11,1012.0,Sunny,6.000048000000001
Iran,Tehran,2024-10-11 13:15:00,28.1,12,1017.0,Sunny,3.3055820000000002
Iran,Chi Chi Khvar,2024-10-11 13:15:00,21.8,13,1012.0,Sunny,6.000048000000001
Iran,Tehran,2024-10-12 13:15:00,27.0,20,1016.0,Sunny,3.388916
Iran,Chi Chi Khvar,2024-10-12 13:15:00,21.8,16,1013.0,Cloudy,8.88896
Iran,Tehran,2024-10-13 13:00:00,26.2,24,1016.0,Sunny,5.305598000000001
Iran,Chi Chi Khvar,2024-10-13 13:00:00,22.0,19,1012.0,Sunny,7.50006
Iran,Tehran,2024-10-14 13:00:00,26.3,18,1017.0,Partly cloudy,3.388916
Iran,Chi Chi Khvar,2024-10-14 13:00:00,21.7,18,1011.0,Sunny,6.888944000000001
Iran,Tehran,2024-10-15 13:00:00,26.2,23,1019.0,Partly cloudy,3.6944740000000005
Iran,Chi Chi Khvar,2024-10-15 13:00:00,15.0,36,1016.0,Clear,2.6111320000000005
Iran,Tehran,2024-10-16 13:00:00,25.2,22,1021.0,Partly cloudy,2.194462
Iran,Chi Chi Khvar,2024-10-16 13:00:00,21.7,19,1014.0,Sunny,7.305614000000001
Iran,Tehran,2024-10-17 13:00:00,26.1,21,1018.0,Partly cloudy,3.1944700000000004
Iran,Chi Chi Khvar,2024-10-17 13:00:00,21.8,23,1011.0,Sunny,8.611180000000001
Iran,Tehran,2024-10-18 13:00:00,27.4,15,1016.0,Partly cloudy,3.388916
Iran,Chi Chi Khvar,2024-10-18 13:00:00,23.4,20,1007.0,Sunny,13.805666000000002
Iran,Tehran,2024-10-19 13:00:00,24.9,19,1012.0,Partly Cloudy,2.805578
Iran,Chi Chi Khvar,2024-10-19 13:00:00,18.4,21,1013.0,Sunny,10.388972
Iran,Tehran,2024-10-20 13:00:00,24.2,21,1017.0,Partly cloudy,4.805594000000001
Iran,Chi Chi Khvar,2024-10-20 13:00:00,16.7,9,1014.0,Sunny,6.000048000000001
Iran,Tehran,2024-10-21 12:45:00,22.2,15,1013.0,Partly cloudy,1.8055700000000001
Iran,Chi Chi Khvar,2024-10-21 12:45:00,13.4,10,1013.0,Sunny,7.6945060000000005
Iran,Tehran,2024-10-22 12:45:00,18.3,16,1017.0,Partly cloudy,2.805578
Iran,Chi Chi Khvar,2024-10-22 12:45:00,9.7,25,1015.0,Sunny,6.111160000000001
Iran,Tehran,2024-10-23 13:00:00,16.1,29,1019.0,Partly cloudy,2.3889080000000003
Iran,Chi Chi Khvar,2024-10-23 13:00:00,0.5,92,1022.0,Patchy light rain in area with thunder,1.611124
Iran,Tehran,2024-10-24 12:45:00,14.1,41,1020.0,Partly cloudy,3.111136
Iran,Chi Chi Khvar,2024-10-24 12:45:00,2.1,70,1023.0,Patchy rain nearby,1.5000120000000003
Iran,Tehran,2024-10-25 12:45:00,16.1,34,1019.0,Partly cloudy,5.305598000000001
Iran,Chi Chi Khvar,2024-10-25 12:45:00,6.9,38,1021.0,Sunny,1.0000080000000002
Iran,Tehran,2024-10-26 12:45:00,15.1,36,1023.0,Partly cloudy,2.3889080000000003
Iran,Chi Chi Khvar,2024-10-26 12:45:00,12.6,18,1017.0,Sunny,5.611156
Iran,Tehran,2024-10-27 12:45:00,17.3,27,1023.0,Partly cloudy,2.3889080000000003
Iran,Chi Chi Khvar,2024-10-27 12:45:00,10.2,22,1022.0,Sunny,2.194462
Iran,Tehran,2024-10-28 12:45:00,15.1,39,1022.0,Partly cloudy,2.6111320000000005
Iran,Chi Chi Khvar,2024-10-28 12:45:00,9.8,34,1019.0,Sunny,1.3055660000000002
Iran,Tehran,2024-10-29 12:30:00,13.8,36,1019.0,Sunny,2.6111320000000005
Iran,Chi Chi Khvar,2024-10-29 12:30:00,11.0,30,1017.0,Sunny,1.0000080000000002
Iran,Tehran,2024-10-30 12:30:00,16.2,31,1021.0,Sunny,2.194462
Iran,Chi Chi Khvar,2024-10-30 12:30:00,14.5,28,1016.0,Overcast,1.0000080000000002
Iran,Tehran,2024-10-31 12:30:00,17.2,23,1022.0,Sunny,1.8055700000000001
Iran,Chi Chi Khvar,2024-10-31 12:30:00,14.6,16,1016.0,Partly Cloudy,2.111128
