Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
Iraq,Baghdad,2024-05-16 11:45:00,33.0,17,1012.0,Partly cloudy,6.111160000000001
Iraq,Baghdad,2024-05-16 17:00:00,35.0,16,1010.0,Partly cloudy,5.305598000000001
Iraq,Baghdad,2024-05-17 19:00:00,33.0,14,1012.0,Clear,5.305598000000001
Iraq,Baghdad,2024-05-18 17:30:00,35.0,17,1010.0,Partly cloudy,5.305598000000001
Iraq,Baghdad,2024-05-19 17:15:00,38.0,16,1005.0,Sunny,3.111136
Iraq,Baghdad,2024-05-20 17:30:00,39.0,15,1004.0,Partly cloudy,3.6111400000000002
Iraq,Baghdad,2024-05-21 17:45:00,35.1,19,1003.0,Sunny,5.805602
Iraq,Baghdad,2024-05-22 17:15:00,38.0,19,1003.0,Sunny,5.611156
Iraq,Baghdad,2024-05-23 17:00:00,39.0,13,1004.0,Partly cloudy,2.50002
Iraq,Baghdad,2024-05-24 17:30:00,39.0,13,1002.0,Partly cloudy,4.694482
Iraq,Baghdad,2024-05-25 17:00:00,35.0,22,1005.0,Sunny,3.111136
Iraq,Baghdad,2024-05-26 17:00:00,36.0,18,1008.0,Sunny,3.6111400000000002
Iraq,Baghdad,2024-05-27 17:30:00,38.0,15,1008.0,Sunny,1.8889040000000001
Iraq,Baghdad,2024-05-28 17:30:00,41.0,13,1007.0,Sunny,1.694458
Iraq,Baghdad,2024-05-29 17:00:00,42.0,11,1004.0,Clear,3.6111400000000002
Iraq,Baghdad,2024-05-30 16:45:00,45.0,10,1002.0,Sunny,3.111136
Iraq,Baghdad,2024-05-31 17:15:00,40.0,13,1008.0,Sunny,4.694482
