Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
Ireland,Dublin,2024-12-01 10:45:00,13.0,82,1006.0,Partly cloudy,4.888928000000001
Ireland,Dublin,2024-12-02 10:45:00,5.0,81,1018.0,Partly cloudy,7.388948000000001
Ireland,Dublin,2024-12-03 10:45:00,1.1,93,1021.0,Partly cloudy,2.0000160000000005
Ireland,Dublin,2024-12-04 10:15:00,7.2,87,1019.0,Partly cloudy,4.611148000000001
Ireland,Dublin,2024-12-05 10:30:00,10.1,87,1004.0,Partly cloudy,5.500044000000001
Ireland,Dublin,2024-12-06 10:45:00,6.4,75,1015.0,Partly cloudy,3.1944700000000004
Ireland,Dublin,2024-12-07 10:30:00,6.4,81,1004.0,Light rain,14.611228000000002
Ireland,Dublin,2024-12-08 10:30:00,5.4,81,1034.0,Partly cloudy,8.000064000000002
Ireland,Dublin,2024-12-09 11:00:00,5.4,87,1041.0,Light rain,6.194494000000001
Ireland,Dublin,2024-12-10 11:00:00,6.2,75,1039.0,Partly cloudy,3.5000280000000004
Ireland,Dublin,2024-12-11 10:45:00,6.2,75,1036.0,Partly cloudy,2.805578
Ireland,Dublin,2024-12-12 10:30:00,4.0,87,1033.0,Partly cloudy,1.5000120000000003
Ireland,Dublin,2024-12-13 11:00:00,5.1,87,1027.0,Partly cloudy,3.0000240000000007
Ireland,Dublin,2024-12-14 11:00:00,4.3,87,1025.0,Partly cloudy,4.111144
Ireland,Dublin,2024-12-15 10:30:00,11.3,94,1026.0,Partly cloudy,7.111168000000001
Ireland,Dublin,2024-12-16 10:45:00,10.2,76,1026.0,Partly cloudy,6.388940000000001
Ireland,Dublin,2024-12-17 10:45:00,11.0,71,1014.0,Partly cloudy,5.888936
Ireland,Dublin,2024-12-18 10:30:00,9.3,87,1001.0,Partly cloudy,7.611172000000001
Ireland,Dublin,2024-12-19 10:30:00,4.1,73,1014.0,Sunny,6.305606
Ireland,Dublin,2024-12-20 11:15:00,8.0,89,1011.0,Light drizzle,8.388956
Ireland,Dublin,2024-12-21 10:45:00,8.6,75,1008.0,Sunny,11.388980000000002
Ireland,Dublin,2024-12-22 09:45:00,4.0,71,1009.0,Patchy rain nearby,9.611188000000002
Ireland,Dublin,2024-12-23 10:45:00,5.0,89,1025.0,Light drizzle,3.1944700000000004
Ireland,Dublin,2024-12-24 10:45:00,11.2,89,1025.0,Patchy rain nearby,3.8055860000000004
Ireland,Dublin,2024-12-25 10:15:00,8.8,85,1030.0,Partly Cloudy,3.1944700000000004
Ireland,Dublin,2024-12-26 10:30:00,8.7,94,1033.0,Mist,2.3889080000000003
Ireland,Dublin,2024-12-27 10:00:00,8.3,93,1032.0,Fog,1.3055660000000002
Ireland,Dublin,2024-12-28 10:45:00,9.4,87,1027.0,Partly cloudy,2.50002
Ireland,Dublin,2024-12-29 09:45:00,9.1,87,1027.0,Partly cloudy,6.111160000000001
Ireland,Dublin,2024-12-30 10:30:00,8.2,81,1021.0,Partly cloudy,7.805618000000001
Ireland,Dublin,2024-12-31 10:30:00,10.4,94,1007.0,Light rain,11.388980000000002
