Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
Israel,Jerusalem,2025-03-01 11:45:00,16.3,68,1021.0,Partly cloudy,4.3055900000000005
Israel,Jerusalem,2025-03-02 12:00:00,20.1,40,1023.0,Sunny,1.1944540000000001
Israel,Jerusalem,2025-03-03 12:00:00,21.2,38,1014.0,Sunny,1.3055660000000002
Israel,Jerusalem,2025-03-04 11:30:00,20.2,53,1009.0,Partly cloudy,1.3889
Israel,Jerusalem,2025-03-05 11:45:00,20.4,40,1013.0,Mist,1.0000080000000002
Israel,Jerusalem,2025-03-06 11:45:00,20.2,40,1017.0,Partly cloudy,7.111168000000001
Israel,Jerusalem,2025-03-07 11:45:00,15.0,72,1014.0,Light rain,3.6111400000000002
Israel,Jerusalem,2025-03-08 11:45:00,21.4,46,1013.0,Sunny,5.111152
Israel,Jerusalem,2025-03-09 11:45:00,20.1,56,1015.0,Partly cloudy,1.0000080000000002
Israel,Jerusalem,2025-03-10 11:45:00,20.1,56,1019.0,Partly cloudy,1.11112
Israel,Jerusalem,2025-03-11 11:45:00,22.4,43,1021.0,Sunny,1.5000120000000003
Israel,Jerusalem,2025-03-12 11:45:00,27.2,21,1018.0,Sunny,6.805610000000001
Israel,Jerusalem,2025-03-13 11:45:00,29.4,22,1014.0,Sunny,6.805610000000001
Israel,Jerusalem,2025-03-14 11:45:00,29.3,29,1015.0,Sunny,1.0000080000000002
Israel,Jerusalem,2025-03-15 11:45:00,24.1,57,1018.0,Sunny,2.6111320000000005
Israel,Jerusalem,2025-03-16 11:45:00,28.2,40,1017.0,Sunny,3.111136
Israel,Jerusalem,2025-03-17 11:30:00,31.1,26,1012.0,Sunny,1.1944540000000001
Israel,Jerusalem,2025-03-18 11:45:00,27.2,42,1010.0,Sunny,4.000032000000001
Israel,Jerusalem,2025-03-19 11:30:00,21.3,46,1015.0,Partly cloudy,6.500052
Israel,Jerusalem,2025-03-20 11:45:00,16.3,48,1015.0,Partly cloudy,14.000112000000001
Israel,Jerusalem,2025-03-21 11:30:00,12.2,77,1019.0,Light rain,6.305606
Israel,Jerusalem,2025-03-22 11:30:00,15.4,59,1022.0,Partly cloudy,1.611124
Israel,Jerusalem,2025-03-23 11:45:00,18.2,39,1027.0,Partly cloudy,1.0000080000000002
Israel,Jerusalem,2025-03-24 11:30:00,21.1,26,1027.0,Sunny,1.694458
Israel,Jerusalem,2025-03-25 11:15:00,23.2,31,1023.0,Sunny,1.8055700000000001
Israel,Jerusalem,2025-03-26 11:30:00,24.2,22,1021.0,Mist,2.8889120000000004
Israel,Jerusalem,2025-03-27 11:15:00,31.4,24,1010.0,Sunny,2.3055740000000005
Israel,Jerusalem,2025-03-28 12:45:00,35.3,16,1006.0,Sunny,3.111136
Israel,Jerusalem,2025-03-29 12:30:00,20.3,56,1012.0,Partly cloudy,3.5000280000000004
Israel,Jerusalem,2025-03-30 12:15:00,21.3,46,1011.0,Partly cloudy,6.500052
Israel,Jerusalem,2025-03-31 12:15:00,27.3,15,1012.0,Sunny,5.694490000000001
