Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
Italy,Rome,2025-03-01 10:45:00,9.1,93,1020.0,Light rain,2.194462
Italy,Rome,2025-03-02 10:45:00,14.3,72,1021.0,Sunny,3.5000280000000004
Italy,Rome,2025-03-03 10:45:00,11.1,58,1025.0,Sunny,1.3889
Italy,Rome,2025-03-04 10:45:00,10.3,71,1025.0,Sunny,1.11112
Italy,Rome,2025-03-05 10:45:00,11.3,76,1027.0,Sunny,1.0000080000000002
Italy,Rome,2025-03-06 10:45:00,11.3,76,1027.0,Sunny,1.0000080000000002
Italy,Rome,2025-03-07 10:45:00,12.0,71,1021.0,Sunny,1.694458
Italy,Rome,2025-03-08 10:45:00,12.3,82,1016.0,Partly cloudy,1.3055660000000002
Italy,Rome,2025-03-09 10:30:00,14.3,82,1013.0,Sunny,3.8055860000000004
Italy,Rome,2025-03-10 10:45:00,16.2,77,1009.0,Partly cloudy,4.805594000000001
Italy,Rome,2025-03-11 10:45:00,16.1,82,1008.0,Sunny,1.8889040000000001
Italy,Rome,2025-03-12 10:45:00,15.3,77,1004.0,Sunny,5.805602
Italy,Rome,2025-03-13 10:45:00,15.4,72,1003.0,Partly cloudy,4.805594000000001
Italy,Rome,2025-03-14 10:45:00,16.3,77,1004.0,Partly cloudy,5.611156
Italy,Rome,2025-03-15 10:30:00,18.0,83,1008.0,Partly cloudy,1.3889
Italy,Rome,2025-03-16 10:45:00,13.2,62,1015.0,Partly cloudy,6.305606
Italy,Rome,2025-03-17 10:45:00,10.2,82,1019.0,Sunny,1.11112
Italy,Rome,2025-03-18 10:45:00,12.3,50,1022.0,Sunny,3.388916
Italy,Rome,2025-03-19 10:30:00,10.3,54,1031.0,Sunny,1.3889
Italy,Rome,2025-03-20 10:45:00,13.0,62,1032.0,Partly cloudy,1.3055660000000002
Italy,Rome,2025-03-21 10:30:00,14.4,63,1028.0,Sunny,2.194462
Italy,Rome,2025-03-22 10:30:00,10.1,87,1017.0,Light rain,3.0000240000000007
Italy,Rome,2025-03-23 10:45:00,18.1,73,1010.0,Partly cloudy,2.0000160000000005
Italy,Rome,2025-03-24 10:30:00,18.1,73,1012.0,Partly cloudy,1.8889040000000001
Italy,Rome,2025-03-25 10:30:00,17.3,59,1016.0,Partly cloudy,2.0000160000000005
Italy,Rome,2025-03-26 10:30:00,15.3,72,1012.0,Sunny,2.194462
Italy,Rome,2025-03-27 10:30:00,12.1,94,1005.0,Light rain,2.6944660000000002
Italy,Rome,2025-03-28 10:45:00,13.0,77,1004.0,Partly cloudy,3.3055820000000002
Italy,Rome,2025-03-29 10:30:00,13.0,82,1000.0,Partly cloudy,2.0000160000000005
Italy,Rome,2025-03-30 11:30:00,17.1,59,1007.0,Sunny,3.5000280000000004
Italy,Rome,2025-03-31 11:15:00,15.1,63,1007.0,Partly cloudy,3.6111400000000002
