Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
Jamaica,Port Royal,2025-02-01 05:30:00,25.0,79,1015.0,Partly cloudy,2.3055740000000005
Jamaica,Port Royal,2025-02-02 05:15:00,24.3,89,1015.0,Clear,1.8889040000000001
Jamaica,Port Royal,2025-02-03 05:30:00,24.2,89,1014.0,Partly cloudy,1.694458
Jamaica,Port Royal,2025-02-04 05:45:00,24.3,89,1014.0,Partly cloudy,1.611124
Jamaica,Port Royal,2025-02-05 05:30:00,26.0,70,1014.0,Partly cloudy,2.0000160000000005
Jamaica,Port Royal,2025-02-06 05:15:00,25.1,74,1014.0,Partly cloudy,2.0000160000000005
Jamaica,Port Royal,2025-02-07 05:30:00,25.2,74,1014.0,Partly cloudy,1.8055700000000001
Jamaica,Port Royal,2025-02-08 05:30:00,24.3,74,1015.0,Partly cloudy,1.611124
Jamaica,Port Royal,2025-02-09 05:30:00,25.0,74,1015.0,Partly cloudy,1.694458
Jamaica,Port Royal,2025-02-10 05:15:00,25.1,74,1016.0,Partly cloudy,1.8055700000000001
Jamaica,Port Royal,2025-02-11 05:30:00,25.4,69,1014.0,Partly cloudy,1.3889
Jamaica,Port Royal,2025-02-12 05:15:00,26.1,70,1013.0,Partly cloudy,2.111128
Jamaica,Port Royal,2025-02-13 05:15:00,26.2,61,1015.0,Partly cloudy,2.6111320000000005
Jamaica,Port Royal,2025-02-14 05:00:00,24.2,78,1017.0,Partly cloudy,1.611124
Jamaica,Port Royal,2025-02-15 05:15:00,25.3,69,1015.0,Partly cloudy,1.8055700000000001
Jamaica,Port Royal,2025-02-16 05:15:00,25.2,69,1013.0,Partly cloudy,1.8055700000000001
Jamaica,Port Royal,2025-02-17 05:15:00,25.1,69,1014.0,Partly cloudy,1.8055700000000001
Jamaica,Port Royal,2025-02-18 05:15:00,24.3,78,1014.0,Partly cloudy,1.611124
Jamaica,Port Royal,2025-02-19 05:15:00,25.2,69,1014.0,Partly cloudy,1.8055700000000001
Jamaica,Port Royal,2025-02-20 05:00:00,25.1,74,1014.0,Partly cloudy,1.694458
Jamaica,Port Royal,2025-02-21 05:00:00,25.1,79,1015.0,Partly cloudy,1.694458
Jamaica,Port Royal,2025-02-22 05:00:00,25.3,79,1016.0,Partly cloudy,1.8055700000000001
Jamaica,Port Royal,2025-02-23 05:00:00,26.0,70,1015.0,Partly cloudy,1.611124
Jamaica,Port Royal,2025-02-24 05:00:00,25.4,79,1012.0,Partly cloudy,1.611124
Jamaica,Port Royal,2025-02-25 05:00:00,25.1,74,1011.0,Partly cloudy,1.694458
Jamaica,Port Royal,2025-02-26 05:00:00,24.3,89,1012.0,Partly cloudy,1.1944540000000001
Jamaica,Port Royal,2025-02-27 04:45:00,25.0,79,1013.0,Partly cloudy,1.8055700000000001
Jamaica,Port Royal,2025-02-28 04:45:00,26.1,79,1013.0,Partly cloudy,1.611124
