Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
Japan,Tokyo,2025-04-01 18:30:00,6.1,93,1025.0,Light rain,9.805634
Japan,Tokyo,2025-04-02 18:00:00,11.2,94,1014.0,Light rain,4.194478
Japan,Tokyo,2025-04-03 18:00:00,9.1,87,1012.0,Light rain,4.888928000000001
Japan,Tokyo,2025-04-04 18:15:00,15.0,31,1014.0,Partly cloudy,5.3889320000000005
Japan,Tokyo,2025-04-05 18:00:00,15.0,55,1018.0,Partly cloudy,6.500052
Japan,Tokyo,2025-04-06 18:00:00,17.3,63,1012.0,Partly cloudy,5.888936
Japan,Tokyo,2025-04-07 18:15:00,18.4,28,1012.0,Partly cloudy,2.6111320000000005
Japan,Tokyo,2025-04-08 18:15:00,20.0,37,1007.0,Clear,6.805610000000001
Japan,Tokyo,2025-04-09 18:15:00,20.2,37,1011.0,Partly cloudy,3.6944740000000005
Japan,Tokyo,2025-04-10 18:15:00,19.4,64,1007.0,Partly cloudy,7.111168000000001
Japan,Tokyo,2025-04-11 18:15:00,16.1,72,1007.0,Moderate or heavy rain with thunder,3.1944700000000004
Japan,Tokyo,2025-04-12 18:15:00,17.0,59,1014.0,Partly cloudy,5.694490000000001
Japan,Tokyo,2025-04-13 18:00:00,14.3,94,1008.0,Light rain,6.111160000000001
Japan,Tokyo,2025-04-14 18:30:00,20.3,40,997.0,Partly cloudy,8.500068
Japan,Tokyo,2025-04-15 18:15:00,18.4,26,988.0,Partly cloudy,10.194526000000002
Japan,Tokyo,2025-04-16 18:00:00,21.1,25,1005.0,Sunny,7.6945060000000005
Japan,Tokyo,2025-04-17 17:45:00,24.0,36,1009.0,Partly cloudy,8.694514000000002
Japan,Tokyo,2025-04-18 18:15:00,22.2,61,1010.0,Partly cloudy,6.111160000000001
Japan,Tokyo,2025-04-19 18:00:00,23.2,65,1012.0,Sunny,6.194494000000001
Japan,Tokyo,2025-04-20 17:45:00,23.1,57,1008.0,Sunny,8.694514000000002
Japan,Tokyo,2025-04-21 18:15:00,21.3,49,1014.0,Sunny,7.50006
Japan,Tokyo,2025-04-22 18:15:00,20.0,56,1011.0,Partly cloudy,11.500092
Japan,Tokyo,2025-04-23 18:00:00,18.1,88,1000.0,Partly cloudy,3.8889200000000006
Japan,Tokyo,2025-04-24 17:45:00,21.3,73,1003.0,Partly cloudy,5.888936
Japan,Tokyo,2025-04-25 17:45:00,19.1,78,1005.0,Partly cloudy,2.3055740000000005
Japan,Tokyo,2025-04-26 18:00:00,14.0,82,1013.0,Partly cloudy,5.805602
Japan,Tokyo,2025-04-27 17:45:00,22.2,35,1010.0,Partly cloudy,5.888936
Japan,Tokyo,2025-04-28 18:30:00,18.4,73,1006.0,Light rain,8.111176
Japan,Tokyo,2025-04-29 17:45:00,22.2,35,1002.0,Sunny,1.0000080000000002
Japan,Tokyo,2025-04-30 17:45:00,20.2,49,1016.0,Sunny,6.694498000000001
