Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
Jordan,Amman,2025-04-01 12:30:00,22.4,53,1012.0,Overcast,12.611212
Jordan,Amman,2025-04-02 12:00:00,19.2,35,1016.0,Overcast,8.194510000000001
Jordan,Amman,2025-04-03 12:00:00,19.1,32,1018.0,Mist,5.305598000000001
Jordan,Amman,2025-04-04 12:15:00,20.4,30,1015.0,Sunny,4.805594000000001
Jordan,Amman,2025-04-05 12:00:00,15.3,59,1016.0,Partly cloudy,6.000048000000001
Jordan,Amman,2025-04-06 12:00:00,24.1,18,1015.0,Overcast,5.111152
Jordan,Amman,2025-04-07 12:00:00,27.2,17,1016.0,Overcast,5.694490000000001
Jordan,Amman,2025-04-08 12:15:00,30.3,16,1016.0,Overcast,3.111136
Jordan,Amman,2025-04-09 12:15:00,25.4,28,1014.0,Overcast,7.888952000000001
Jordan,Amman,2025-04-10 12:15:00,15.2,44,1016.0,Partly cloudy,10.888976000000001
Jordan,Amman,2025-04-11 12:15:00,13.2,44,1014.0,Partly cloudy,6.6111640000000005
Jordan,Amman,2025-04-12 12:15:00,12.3,71,1015.0,Partly cloudy,7.000056000000001
Jordan,Amman,2025-04-13 12:00:00,14.1,44,1016.0,Partly cloudy,5.611156
Jordan,Amman,2025-04-14 12:30:00,12.1,62,1018.0,Partly cloudy,7.388948000000001
Jordan,Amman,2025-04-15 12:15:00,15.1,41,1018.0,Partly cloudy,7.305614000000001
Jordan,Amman,2025-04-16 12:00:00,17.1,32,1023.0,Mist,3.6111400000000002
Jordan,Amman,2025-04-17 11:45:00,21.3,23,1022.0,Sunny,6.194494000000001
Jordan,Amman,2025-04-18 12:15:00,25.1,17,1018.0,Sunny,4.111144
Jordan,Amman,2025-04-19 12:00:00,26.4,18,1017.0,Mist,3.5000280000000004
Jordan,Amman,2025-04-20 12:00:00,26.0,14,1015.0,Sunny,3.6944740000000005
Jordan,Amman,2025-04-21 12:00:00,24.4,14,1015.0,Sunny,5.111152
Jordan,Amman,2025-04-22 12:15:00,32.3,12,1015.0,Mist,7.305614000000001
Jordan,Amman,2025-04-23 12:00:00,33.2,13,1015.0,Overcast,7.805618000000001
Jordan,Amman,2025-04-24 12:00:00,28.1,15,1013.0,Mist,3.0000240000000007
Jordan,Amman,2025-04-25 12:00:00,20.0,35,1015.0,Sunny,5.611156
Jordan,Amman,2025-04-26 12:00:00,19.4,43,1014.0,Sunny,6.305606
Jordan,Amman,2025-04-27 11:45:00,19.3,35,1016.0,Sunny,1.1944540000000001
Jordan,Amman,2025-04-28 12:30:00,25.1,22,1013.0,Mist,4.3055900000000005
Jordan,Amman,2025-04-29 11:45:00,21.1,23,1014.0,Sunny,5.111152
Jordan,Amman,2025-04-30 11:45:00,29.1,15,1012.0,Overcast,8.611180000000001
