Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
Kazakhstan,Astana,2024-09-01 17:00:00,12.1,67,1022.0,Partly cloudy,6.111160000000001
Kazakhstan,Astana,2024-09-02 17:15:00,16.2,45,1025.0,Sunny,8.305622
Kazakhstan,Astana,2024-09-03 17:15:00,22.1,41,1015.0,Partly cloudy,6.111160000000001
Kazakhstan,Astana,2024-09-04 17:00:00,11.1,94,1011.0,Light rain,1.8889040000000001
Kazakhstan,Astana,2024-09-05 17:00:00,12.1,77,1012.0,Partly cloudy,5.305598000000001
Kazakhstan,Astana,2024-09-06 17:15:00,10.4,66,1014.0,Partly cloudy,4.194478
Kazakhstan,Astana,2024-09-07 17:00:00,15.0,63,1017.0,Partly cloudy,3.111136
Kazakhstan,Astana,2024-09-08 17:15:00,17.1,52,1022.0,Partly cloudy,4.194478
Kazakhstan,Astana,2024-09-09 17:30:00,17.0,63,1023.0,Partly cloudy,1.8889040000000001
Kazakhstan,Astana,2024-09-10 17:30:00,19.1,60,1023.0,Partly cloudy,3.111136
Kazakhstan,Astana,2024-09-11 17:15:00,17.2,52,1028.0,Partly cloudy,8.611180000000001
Kazakhstan,Astana,2024-09-12 17:15:00,14.3,51,1029.0,Sunny,8.305622
Kazakhstan,Astana,2024-09-13 17:30:00,16.8,63,1025.0,Patchy rain nearby,6.305606
Kazakhstan,Astana,2024-09-14 17:30:00,18.1,60,1023.0,Partly cloudy,6.111160000000001
Kazakhstan,Astana,2024-09-15 17:00:00,18.1,56,1021.0,Partly cloudy,4.611148000000001
Kazakhstan,Astana,2024-09-16 16:00:00,9.3,50,1028.0,Sunny,8.388956
Kazakhstan,Astana,2024-09-17 16:00:00,13.2,41,1032.0,Sunny,7.194502
Kazakhstan,Astana,2024-09-18 15:30:00,15.1,33,1030.0,Sunny,4.611148000000001
Kazakhstan,Astana,2024-09-19 15:45:00,17.2,39,1022.0,Sunny,5.3889320000000005
Kazakhstan,Astana,2024-09-20 15:45:00,11.2,94,1014.0,Light rain,3.1944700000000004
Kazakhstan,Astana,2024-09-21 15:45:00,20.2,32,1015.0,Sunny,5.805602
Kazakhstan,Astana,2024-09-22 15:30:00,22.4,23,1010.0,Sunny,9.000072000000001
Kazakhstan,Astana,2024-09-23 14:45:00,15.1,31,1014.0,Partly cloudy,7.388948000000001
Kazakhstan,Astana,2024-09-24 14:45:00,13.0,33,1021.0,Partly cloudy,6.305606
Kazakhstan,Astana,2024-09-25 14:30:00,12.3,38,1022.0,Sunny,3.3055820000000002
Kazakhstan,Astana,2024-09-26 14:30:00,9.3,37,1024.0,Partly cloudy,5.00004
Kazakhstan,Astana,2024-09-27 15:00:00,8.4,53,1030.0,Partly cloudy,5.111152
Kazakhstan,Astana,2024-09-28 15:00:00,19.2,52,1031.0,Partly cloudy,2.3055740000000005
Kazakhstan,Astana,2024-09-29 14:30:00,19.1,37,1033.0,Sunny,1.8889040000000001
Kazakhstan,Astana,2024-09-30 14:30:00,21.1,25,1030.0,Sunny,2.194462
