Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
Kenya,Nairobi,2025-06-01 11:45:00,20.1,60,1029.0,Partly cloudy,2.6944660000000002
Kenya,Nairobi,2025-06-02 12:00:00,20.0,68,1027.0,Partly cloudy,2.111128
Kenya,Nairobi,2025-06-03 12:00:00,20.3,73,1026.0,Partly cloudy,2.6944660000000002
Kenya,Nairobi,2025-06-04 11:45:00,20.6,61,1018.0,Patchy rain nearby,2.6944660000000002
Kenya,Nairobi,2025-06-05 11:45:00,20.7,60,1019.0,Patchy rain nearby,2.6944660000000002
Kenya,Nairobi,2025-06-06 11:45:00,18.3,74,1020.0,Patchy rain nearby,1.611124
Kenya,Nairobi,2025-06-07 11:45:00,21.1,56,1027.0,Partly cloudy,3.3055820000000002
Kenya,Nairobi,2025-06-08 12:00:00,23.1,47,1028.0,Partly cloudy,3.6944740000000005
Kenya,Nairobi,2025-06-09 12:00:00,20.2,60,1028.0,Partly cloudy,3.8889200000000006
Kenya,Nairobi,2025-06-10 12:00:00,21.3,56,1026.0,Partly cloudy,3.3055820000000002
Kenya,Nairobi,2025-06-11 12:00:00,19.3,64,1026.0,Partly cloudy,3.8055860000000004
Kenya,Nairobi,2025-06-12 11:45:00,19.1,64,1026.0,Partly cloudy,3.0000240000000007
Kenya,Nairobi,2025-06-13 12:00:00,22.2,43,1026.0,Partly Cloudy,3.5000280000000004
Kenya,Nairobi,2025-06-14 12:00:00,20.1,60,1027.0,Partly cloudy,3.3055820000000002
Kenya,Nairobi,2025-06-15 11:45:00,20.7,56,1019.0,Partly Cloudy,2.6111320000000005
Kenya,Nairobi,2025-06-16 11:45:00,19.1,68,1028.0,Partly cloudy,2.805578
Kenya,Nairobi,2025-06-17 12:00:00,20.4,64,1026.0,Partly cloudy,2.8889120000000004
Kenya,Nairobi,2025-06-18 12:15:00,21.1,64,1027.0,Partly cloudy,2.3889080000000003
Kenya,Nairobi,2025-06-19 12:00:00,20.1,68,1027.0,Partly cloudy,1.8889040000000001
Kenya,Nairobi,2025-06-20 12:00:00,22.2,65,1027.0,Partly cloudy,2.3889080000000003
Kenya,Nairobi,2025-06-21 11:45:00,22.2,65,1026.0,Partly cloudy,1.0000080000000002
Kenya,Nairobi,2025-06-22 11:30:00,21.1,64,1026.0,Partly cloudy,1.1944540000000001
Kenya,Nairobi,2025-06-23 12:00:00,19.1,68,1026.0,Partly cloudy,1.611124
Kenya,Nairobi,2025-06-24 11:45:00,19.1,68,1027.0,Partly cloudy,2.50002
Kenya,Nairobi,2025-06-25 12:00:00,21.1,60,1026.0,Partly cloudy,3.388916
Kenya,Nairobi,2025-06-26 12:00:00,17.1,88,1027.0,Light rain,1.8889040000000001
Kenya,Nairobi,2025-06-27 11:45:00,21.2,69,1026.0,Partly cloudy,1.3889
Kenya,Nairobi,2025-06-28 11:45:00,18.3,83,1026.0,Partly cloudy,1.8055700000000001
Kenya,Nairobi,2025-06-29 11:45:00,16.0,88,1027.0,Partly cloudy,2.805578
Kenya,Nairobi,2025-06-30 12:00:00,19.1,58,1018.0,Patchy rain nearby,2.50002
