Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
Kiribati,Tarawa,2024-09-01 00:00:00,28.8,72,1010.0,Partly Cloudy,9.611188000000002
Kiribati,Tarawa,2024-09-02 00:00:00,28.7,76,1009.0,Patchy rain nearby,7.888952000000001
Kiribati,Tarawa,2024-09-03 00:15:00,27.7,77,1009.0,Light rain shower,5.3889320000000005
Kiribati,Tarawa,2024-09-04 00:15:00,28.6,70,1008.0,Partly Cloudy,6.388940000000001
Kiribati,Tarawa,2024-09-05 00:00:00,28.0,75,1009.0,Clear,5.111152
Kiribati,Tarawa,2024-09-06 00:00:00,28.1,78,1010.0,Patchy rain nearby,5.00004
Kiribati,Tarawa,2024-09-07 00:15:00,27.9,76,1010.0,Patchy rain nearby,4.3055900000000005
Kiribati,Tarawa,2024-09-08 00:00:00,28.0,72,1008.0,Clear,2.8889120000000004
Kiribati,Tarawa,2024-09-09 00:15:00,28.4,73,1007.0,Patchy rain nearby,7.888952000000001
Kiribati,Tarawa,2024-09-10 00:30:00,28.3,78,1007.0,Patchy rain nearby,5.500044000000001
Kiribati,Tarawa,2024-09-11 00:30:00,28.5,78,1008.0,Patchy rain nearby,5.888936
Kiribati,Tarawa,2024-09-12 00:15:00,28.3,72,1006.0,Cloudy,6.805610000000001
Kiribati,Tarawa,2024-09-13 00:15:00,28.2,68,1006.0,Partly Cloudy,5.888936
Kiribati,Tarawa,2024-09-14 00:30:00,28.4,65,1007.0,Clear,6.694498000000001
Kiribati,Tarawa,2024-09-15 00:30:00,28.7,66,1007.0,Clear,4.194478
Kiribati,Tarawa,2024-09-16 00:00:00,28.1,74,1007.0,Patchy rain nearby,3.388916
Kiribati,Tarawa,2024-09-16 23:00:00,27.9,69,1010.0,Clear,3.388916
Kiribati,Tarawa,2024-09-17 23:00:00,28.1,70,1012.0,Clear,3.0000240000000007
Kiribati,Tarawa,2024-09-18 22:45:00,27.9,67,1013.0,Clear,2.6111320000000005
Kiribati,Tarawa,2024-09-19 22:45:00,28.7,66,1012.0,Partly Cloudy,5.305598000000001
Kiribati,Tarawa,2024-09-20 22:45:00,29.0,69,1011.0,Partly Cloudy,6.111160000000001
Kiribati,Tarawa,2024-09-21 22:45:00,28.7,70,1013.0,Partly Cloudy,8.111176
Kiribati,Tarawa,2024-09-22 22:30:00,28.5,68,1013.0,Partly Cloudy,5.194486
Kiribati,Tarawa,2024-09-23 21:45:00,27.9,74,1013.0,Partly Cloudy,3.8889200000000006
Kiribati,Tarawa,2024-09-24 21:45:00,28.4,71,1012.0,Partly Cloudy,3.8055860000000004
Kiribati,Tarawa,2024-09-25 21:30:00,27.9,74,1012.0,Partly Cloudy,1.5000120000000003
Kiribati,Tarawa,2024-09-26 21:30:00,28.1,73,1012.0,Cloudy,3.6944740000000005
Kiribati,Tarawa,2024-09-27 22:00:00,28.7,70,1013.0,Patchy rain nearby,4.194478
Kiribati,Tarawa,2024-09-28 22:00:00,28.2,71,1013.0,Clear,3.0000240000000007
Kiribati,Tarawa,2024-09-29 21:30:00,28.5,68,1012.0,Clear,6.194494000000001
Kiribati,Tarawa,2024-09-30 21:30:00,28.3,75,1011.0,Patchy rain nearby,5.194486
