Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
Kuwait,Kuwait City,2025-05-01 11:45:00,37.1,17,1009.0,Mist,1.8055700000000001
Kuwait,Kuwait City,2025-05-02 12:00:00,38.9,15,1008.0,Mist,4.388924
Kuwait,Kuwait City,2025-05-03 12:00:00,39.9,15,1005.0,Sunny,5.00004
Kuwait,Kuwait City,2025-05-04 11:45:00,36.4,26,1003.0,Partly Cloudy,4.388924
Kuwait,Kuwait City,2025-05-05 12:00:00,36.5,22,1005.0,Sunny,1.0000080000000002
Kuwait,Kuwait City,2025-05-06 12:00:00,34.2,15,1012.0,Sunny,8.388956
Kuwait,Kuwait City,2025-05-07 11:45:00,34.0,14,1011.0,Sunny,8.500068
Kuwait,Kuwait City,2025-05-08 11:45:00,35.5,12,1008.0,Sunny,9.888968000000002
Kuwait,Kuwait City,2025-05-09 12:15:00,38.7,10,1008.0,Sunny,7.805618000000001
Kuwait,Kuwait City,2025-05-10 12:00:00,40.2,10,1008.0,Sunny,7.805618000000001
Kuwait,Kuwait City,2025-05-11 11:45:00,39.1,12,1007.0,Sunny,1.0000080000000002
Kuwait,Kuwait City,2025-05-12 12:00:00,42.3,6,1003.0,Sunny,5.305598000000001
Kuwait,Kuwait City,2025-05-13 12:15:00,42.2,8,1001.0,Sunny,2.6944660000000002
Kuwait,Kuwait City,2025-05-14 12:15:00,38.2,12,1005.0,Sunny,5.111152
Kuwait,Kuwait City,2025-05-15 12:00:00,40.4,9,1009.0,Mist,2.805578
Kuwait,Kuwait City,2025-05-16 12:00:00,34.5,21,1010.0,Sunny,6.888944000000001
Kuwait,Kuwait City,2025-05-17 11:45:00,37.1,6,1007.0,Mist,10.69453
Kuwait,Kuwait City,2025-05-18 11:45:00,36.0,20,1006.0,Sunny,5.805602
Kuwait,Kuwait City,2025-05-19 12:00:00,38.4,19,1005.0,Sunny,1.8889040000000001
Kuwait,Kuwait City,2025-05-20 12:00:00,39.9,14,1004.0,Sunny,10.888976000000001
Kuwait,Kuwait City,2025-05-21 11:45:00,39.5,16,1004.0,Sunny,9.888968000000002
Kuwait,Kuwait City,2025-05-22 11:45:00,41.0,15,1003.0,Sunny,8.111176
Kuwait,Kuwait City,2025-05-23 12:00:00,47.7,5,998.0,Sunny,3.8055860000000004
Kuwait,Kuwait City,2025-05-24 11:45:00,42.1,14,998.0,Sunny,6.111160000000001
Kuwait,Kuwait City,2025-05-25 11:30:00,41.8,8,1000.0,Mist,6.000048000000001
Kuwait,Kuwait City,2025-05-26 12:00:00,42.3,6,1003.0,Mist,7.805618000000001
Kuwait,Kuwait City,2025-05-27 12:00:00,42.6,8,1002.0,Sunny,1.694458
Kuwait,Kuwait City,2025-05-28 11:45:00,44.5,6,1001.0,Sunny,1.0000080000000002
Kuwait,Kuwait City,2025-05-29 11:45:00,40.8,15,1001.0,Mist,6.194494000000001
Kuwait,Kuwait City,2025-05-30 11:45:00,39.4,8,1004.0,Mist,8.194510000000001
Kuwait,Kuwait City,2025-05-31 11:45:00,38.1,7,1005.0,Sunny,9.388964
