Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
Kyrghyzstan,Bishkek,2024-10-01 16:00:00,22.7,25,1014.0,Sunny,2.8889120000000004
Kyrghyzstan,Bishkek,2024-10-02 15:30:00,22.4,27,1014.0,Patchy rain nearby,1.0000080000000002
Kyrghyzstan,Bishkek,2024-10-03 15:30:00,23.0,28,1016.0,Patchy rain nearby,3.1944700000000004
Kyrghyzstan,Bishkek,2024-10-04 15:45:00,24.3,19,1014.0,Sunny,4.3055900000000005
Kyrghyzstan,Bishkek,2024-10-05 15:30:00,25.1,23,1012.0,Sunny,4.194478
Kyrghyzstan,Bishkek,2024-10-06 15:15:00,18.4,54,1020.0,Patchy light drizzle,2.50002
Kyrghyzstan,Bishkek,2024-10-07 15:45:00,18.2,54,1024.0,Patchy rain nearby,1.694458
Kyrghyzstan,Bishkek,2024-10-08 15:45:00,22.5,30,1021.0,Sunny,2.6111320000000005
Kyrghyzstan,Bishkek,2024-10-09 15:45:00,23.2,27,1014.0,Sunny,3.0000240000000007
Kyrghyzstan,Bishkek,2024-10-10 15:45:00,23.9,22,1010.0,Sunny,2.8889120000000004
Kyrghyzstan,Bishkek,2024-10-11 15:45:00,20.2,42,1008.0,Sunny,7.194502
Kyrghyzstan,Bishkek,2024-10-12 15:45:00,13.8,56,1018.0,Partly Cloudy,2.8889120000000004
Kyrghyzstan,Bishkek,2024-10-13 15:30:00,15.2,51,1014.0,Partly Cloudy,1.8055700000000001
Kyrghyzstan,Bishkek,2024-10-14 15:30:00,16.6,50,1013.0,Partly Cloudy,2.50002
Kyrghyzstan,Bishkek,2024-10-15 15:30:00,9.3,89,1021.0,Light rain,1.0000080000000002
Kyrghyzstan,Bishkek,2024-10-16 15:30:00,3.0,94,1030.0,Light sleet showers,2.50002
Kyrghyzstan,Bishkek,2024-10-17 15:30:00,5.5,70,1032.0,Patchy rain nearby,3.388916
Kyrghyzstan,Bishkek,2024-10-18 15:30:00,13.1,28,1024.0,Sunny,2.6111320000000005
Kyrghyzstan,Bishkek,2024-10-19 15:30:00,17.6,21,1019.0,Sunny,2.194462
Kyrghyzstan,Bishkek,2024-10-20 15:30:00,18.4,21,1017.0,Overcast,2.3889080000000003
Kyrghyzstan,Bishkek,2024-10-21 15:15:00,24.5,14,1014.0,Sunny,1.694458
Kyrghyzstan,Bishkek,2024-10-22 15:15:00,17.1,34,1013.0,Partly Cloudy,1.5000120000000003
Kyrghyzstan,Bishkek,2024-10-23 15:30:00,8.0,88,1024.0,Light drizzle,1.0000080000000002
Kyrghyzstan,Bishkek,2024-10-24 15:15:00,12.0,61,1025.0,Partly Cloudy,2.111128
Kyrghyzstan,Bishkek,2024-10-25 15:15:00,17.0,36,1020.0,Sunny,1.8055700000000001
Kyrghyzstan,Bishkek,2024-10-26 15:15:00,14.6,48,1023.0,Partly Cloudy,5.111152
Kyrghyzstan,Bishkek,2024-10-27 15:15:00,14.4,49,1017.0,Sunny,2.111128
Kyrghyzstan,Bishkek,2024-10-28 15:15:00,5.0,85,1028.0,Light rain shower,1.0000080000000002
Kyrghyzstan,Bishkek,2024-10-29 15:00:00,6.5,65,1027.0,Patchy rain nearby,1.8055700000000001
Kyrghyzstan,Bishkek,2024-10-30 15:00:00,10.4,49,1026.0,Sunny,2.8889120000000004
Kyrghyzstan,Bishkek,2024-10-31 15:00:00,13.0,42,1024.0,Sunny,1.3055660000000002
