Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
Latvia,Riga,2024-10-01 13:00:00,9.3,62,1022.0,Sunny,4.3055900000000005
Latvia,Riga,2024-10-02 12:30:00,8.1,93,1012.0,Overcast,1.694458
Latvia,Riga,2024-10-03 12:30:00,10.0,82,1016.0,Partly cloudy,2.111128
Latvia,Riga,2024-10-04 12:45:00,11.0,76,1016.0,Partly cloudy,3.8889200000000006
Latvia,Riga,2024-10-05 12:30:00,12.1,67,1021.0,Partly cloudy,1.0000080000000002
Latvia,Riga,2024-10-06 12:15:00,10.3,76,1017.0,Sunny,1.8055700000000001
Latvia,Riga,2024-10-07 12:45:00,11.1,76,1011.0,Sunny,1.694458
Latvia,Riga,2024-10-08 12:45:00,13.1,57,1013.0,Sunny,2.3055740000000005
Latvia,Riga,2024-10-09 12:45:00,13.2,72,1001.0,Light rain,7.888952000000001
Latvia,Riga,2024-10-10 12:45:00,15.4,94,995.0,Overcast,5.111152
Latvia,Riga,2024-10-11 12:45:00,14.4,63,1002.0,Partly cloudy,5.194486
Latvia,Riga,2024-10-12 12:45:00,12.2,71,1019.0,Sunny,3.8055860000000004
Latvia,Riga,2024-10-13 12:30:00,11.4,60,1012.0,Sunny,5.00004
Latvia,Riga,2024-10-14 12:30:00,9.2,81,1007.0,Partly cloudy,1.11112
Latvia,Riga,2024-10-15 12:30:00,11.3,76,1015.0,Partly cloudy,5.111152
Latvia,Riga,2024-10-16 12:30:00,10.3,71,1032.0,Partly cloudy,1.0000080000000002
Latvia,Riga,2024-10-17 12:30:00,10.4,48,1033.0,Sunny,4.388924
Latvia,Riga,2024-10-18 12:30:00,11.1,54,1028.0,Sunny,5.3889320000000005
Latvia,Riga,2024-10-19 12:30:00,10.2,58,1030.0,Sunny,5.00004
Latvia,Riga,2024-10-20 12:30:00,9.1,66,1030.0,Sunny,5.305598000000001
Latvia,Riga,2024-10-21 12:15:00,11.6,49,1022.0,Partly Cloudy,6.111160000000001
Latvia,Riga,2024-10-22 12:15:00,13.3,82,1022.0,Partly cloudy,3.6944740000000005
Latvia,Riga,2024-10-23 12:15:00,12.1,71,1023.0,Partly cloudy,5.888936
Latvia,Riga,2024-10-24 12:15:00,12.1,77,1027.0,Overcast,4.611148000000001
Latvia,Riga,2024-10-25 12:15:00,12.1,77,1026.0,Partly cloudy,1.11112
Latvia,Riga,2024-10-26 12:15:00,10.6,72,1028.0,Sunny,3.6944740000000005
Latvia,Riga,2024-10-27 11:15:00,11.5,86,1020.0,Patchy rain nearby,2.194462
Latvia,Riga,2024-10-28 11:15:00,9.1,81,1018.0,Partly cloudy,4.805594000000001
Latvia,Riga,2024-10-29 11:00:00,9.2,93,1021.0,Partly cloudy,2.6944660000000002
Latvia,Riga,2024-10-30 11:00:00,11.0,87,1009.0,Partly cloudy,5.194486
Latvia,Riga,2024-10-31 11:00:00,8.0,81,1014.0,Partly cloudy,4.000032000000001
