Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
Lebanon,Beirut,2025-03-01 11:45:00,17.2,59,1022.0,Partly cloudy,5.888936
Lebanon,Beirut,2025-03-02 12:00:00,18.2,45,1025.0,Sunny,2.194462
Lebanon,Beirut,2025-03-03 11:45:00,18.3,49,1017.0,Sunny,3.6111400000000002
Lebanon,Beirut,2025-03-04 11:30:00,19.4,60,1010.0,Sunny,2.111128
Lebanon,Beirut,2025-03-05 11:45:00,19.2,68,1016.0,Partly cloudy,3.6944740000000005
Lebanon,Beirut,2025-03-06 11:45:00,19.3,60,1020.0,Partly cloudy,2.805578
Lebanon,Beirut,2025-03-07 11:45:00,19.2,56,1016.0,Partly cloudy,1.8055700000000001
Lebanon,Beirut,2025-03-09 11:45:00,19.1,68,1017.0,Sunny,6.111160000000001
Lebanon,Beirut,2025-03-10 11:45:00,19.3,64,1021.0,Sunny,2.805578
Lebanon,Beirut,2025-03-11 11:45:00,20.3,60,1024.0,Partly cloudy,2.3889080000000003
Lebanon,Beirut,2025-03-12 11:30:00,22.0,53,1022.0,Sunny,3.3055820000000002
Lebanon,Beirut,2025-03-13 11:45:00,23.0,36,1019.0,Sunny,1.5000120000000003
Lebanon,Beirut,2025-03-14 11:45:00,25.1,41,1018.0,Sunny,1.5000120000000003
Lebanon,Beirut,2025-03-15 11:45:00,22.2,73,1020.0,Sunny,2.0000160000000005
Lebanon,Beirut,2025-03-16 11:45:00,23.1,69,1020.0,Sunny,1.0000080000000002
Lebanon,Beirut,2025-03-17 11:30:00,24.0,41,1015.0,Sunny,1.1944540000000001
Lebanon,Beirut,2025-03-18 11:45:00,26.2,45,1011.0,Partly cloudy,6.000048000000001
Lebanon,Beirut,2025-03-19 11:30:00,21.3,56,1015.0,Partly cloudy,8.500068
Lebanon,Beirut,2025-03-20 11:45:00,11.2,82,1015.0,Partly cloudy,6.888944000000001
Lebanon,Beirut,2025-03-21 11:30:00,14.2,41,1020.0,Partly cloudy,5.500044000000001
Lebanon,Beirut,2025-03-22 11:30:00,15.0,48,1023.0,Partly cloudy,2.3889080000000003
Lebanon,Beirut,2025-03-23 11:45:00,17.0,48,1028.0,Sunny,2.194462
Lebanon,Beirut,2025-03-24 11:30:00,18.3,49,1030.0,Sunny,3.6944740000000005
Lebanon,Beirut,2025-03-25 11:15:00,20.0,60,1026.0,Sunny,4.194478
Lebanon,Beirut,2025-03-26 11:30:00,21.0,64,1019.0,Mist,2.6944660000000002
Lebanon,Beirut,2025-03-27 11:30:00,24.3,50,1013.0,Sunny,2.0000160000000005
Lebanon,Beirut,2025-03-28 11:45:00,25.3,57,1009.0,Mist,1.0000080000000002
Lebanon,Beirut,2025-03-29 11:30:00,19.0,73,1014.0,Overcast,4.111144
Lebanon,Beirut,2025-03-30 12:30:00,20.0,60,1012.0,Partly cloudy,5.888936
Lebanon,Beirut,2025-03-31 12:15:00,19.3,51,1014.0,Sunny,3.0000240000000007
