Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
Lesotho,Maseru,2024-08-01 14:15:00,21.3,25,1019.0,Sunny,7.50006
Lesotho,Maseru,2024-08-02 14:30:00,17.8,18,1020.0,Sunny,5.3889320000000005
Lesotho,Maseru,2024-08-03 14:30:00,19.5,17,1019.0,Sunny,3.6944740000000005
Lesotho,Maseru,2024-08-04 14:30:00,22.6,22,1010.0,Overcast,11.000088000000002
Lesotho,Maseru,2024-08-05 14:30:00,14.2,24,1021.0,Sunny,3.6111400000000002
Lesotho,Maseru,2024-08-06 14:15:00,17.9,10,1020.0,Sunny,1.3889
Lesotho,Maseru,2024-08-07 14:00:00,19.6,13,1017.0,Sunny,3.8889200000000006
Lesotho,Maseru,2024-08-08 14:15:00,23.3,18,1012.0,Sunny,8.694514000000002
Lesotho,Maseru,2024-08-09 14:30:00,16.9,17,1018.0,Sunny,4.3055900000000005
Lesotho,Maseru,2024-08-10 14:30:00,20.0,21,1018.0,Sunny,5.00004
Lesotho,Maseru,2024-08-11 14:15:00,19.3,19,1014.0,Sunny,6.500052
Lesotho,Maseru,2024-08-12 14:30:00,17.1,19,1018.0,Sunny,3.6111400000000002
Lesotho,Maseru,2024-08-13 14:45:00,22.3,11,1013.0,Sunny,7.194502
Lesotho,Maseru,2024-08-14 14:30:00,14.2,33,1023.0,Sunny,3.111136
Lesotho,Maseru,2024-08-15 14:15:00,19.1,16,1028.0,Sunny,2.50002
Lesotho,Maseru,2024-08-16 14:15:00,19.4,15,1028.0,Sunny,3.6111400000000002
Lesotho,Maseru,2024-08-17 14:15:00,24.4,11,1026.0,Sunny,5.305598000000001
Lesotho,Maseru,2024-08-18 14:00:00,23.9,7,1020.0,Sunny,5.805602
Lesotho,Maseru,2024-08-19 14:30:00,25.2,13,1028.0,Sunny,3.111136
Lesotho,Maseru,2024-08-20 14:15:00,23.3,22,1030.0,Sunny,4.194478
Lesotho,Maseru,2024-08-21 14:15:00,24.2,12,1025.0,Sunny,8.305622
Lesotho,Maseru,2024-08-22 14:00:00,21.2,16,1026.0,Sunny,3.6111400000000002
Lesotho,Maseru,2024-08-23 14:15:00,20.3,18,1027.0,Sunny,7.805618000000001
Lesotho,Maseru,2024-08-24 14:00:00,22.1,19,1024.0,Partly cloudy,3.111136
Lesotho,Maseru,2024-08-25 14:00:00,22.8,20,1017.0,Sunny,9.000072000000001
Lesotho,Maseru,2024-08-26 14:15:00,23.4,15,1023.0,Sunny,3.6111400000000002
Lesotho,Maseru,2024-08-27 14:15:00,24.1,14,1018.0,Sunny,6.694498000000001
Lesotho,Maseru,2024-08-28 14:30:00,17.4,7,1023.0,Sunny,5.305598000000001
Lesotho,Maseru,2024-08-29 14:00:00,14.0,15,1025.0,Partly cloudy,6.111160000000001
Lesotho,Maseru,2024-08-30 14:15:00,18.0,18,1026.0,Sunny,4.500036000000001
Lesotho,Maseru,2024-08-31 14:00:00,19.4,26,1025.0,Sunny,3.1944700000000004
