Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
Liberia,Monrovia,2025-04-01 09:30:00,29.3,84,1011.0,Partly cloudy,2.8889120000000004
Liberia,Monrovia,2025-04-02 09:00:00,27.0,94,1009.0,Partly cloudy,3.3055820000000002
Liberia,Monrovia,2025-04-03 09:00:00,28.4,84,1011.0,Partly cloudy,3.111136
Liberia,Monrovia,2025-04-04 09:15:00,25.3,94,1013.0,Mist,2.3889080000000003
Liberia,Monrovia,2025-04-05 09:00:00,28.5,77,1013.0,Patchy rain nearby,2.50002
Liberia,Monrovia,2025-04-06 09:00:00,27.8,82,1012.0,Light rain shower,3.388916
Liberia,Monrovia,2025-04-07 09:15:00,27.2,94,1011.0,Partly cloudy,3.111136
Liberia,Monrovia,2025-04-08 09:15:00,26.2,94,1013.0,Partly cloudy,1.3055660000000002
Liberia,Monrovia,2025-04-09 09:15:00,28.4,84,1014.0,Partly cloudy,1.0000080000000002
Liberia,Monrovia,2025-04-10 09:15:00,26.2,89,1012.0,Partly cloudy,1.11112
Liberia,Monrovia,2025-04-11 09:15:00,25.3,83,1012.0,Patchy light rain with thunder,2.805578
Liberia,Monrovia,2025-04-12 09:15:00,28.2,75,1012.0,Patchy rain nearby,2.194462
Liberia,Monrovia,2025-04-13 09:00:00,26.3,94,1011.0,Partly cloudy,1.11112
Liberia,Monrovia,2025-04-14 09:30:00,27.1,89,1013.0,Partly cloudy,1.8055700000000001
Liberia,Monrovia,2025-04-15 09:15:00,28.0,75,1013.0,Patchy rain nearby,1.8889040000000001
Liberia,Monrovia,2025-04-16 09:00:00,28.4,73,1013.0,Patchy rain nearby,1.1944540000000001
Liberia,Monrovia,2025-04-17 08:45:00,25.8,85,1012.0,Partly Cloudy,1.0000080000000002
Liberia,Monrovia,2025-04-18 09:15:00,29.3,84,1012.0,Partly cloudy,2.3055740000000005
Liberia,Monrovia,2025-04-19 09:00:00,28.1,84,1011.0,Partly cloudy,2.8889120000000004
Liberia,Monrovia,2025-04-20 09:00:00,25.3,94,1010.0,Partly cloudy,1.3889
Liberia,Monrovia,2025-04-21 09:15:00,27.4,89,1011.0,Mist,1.0000080000000002
Liberia,Monrovia,2025-04-22 09:15:00,28.2,84,1011.0,Partly cloudy,1.3055660000000002
Liberia,Monrovia,2025-04-23 09:00:00,27.3,94,1009.0,Mist,1.0000080000000002
Liberia,Monrovia,2025-04-24 09:00:00,24.3,94,1011.0,Partly cloudy,2.194462
Liberia,Monrovia,2025-04-25 09:00:00,27.4,89,1010.0,Partly Cloudy,1.1944540000000001
Liberia,Monrovia,2025-04-26 09:00:00,27.3,94,1011.0,Patchy light rain with thunder,2.194462
Liberia,Monrovia,2025-04-27 08:45:00,25.2,94,1010.0,Partly cloudy,2.3889080000000003
Liberia,Monrovia,2025-04-28 09:30:00,27.3,84,1012.0,Partly cloudy,1.0000080000000002
Liberia,Monrovia,2025-04-29 08:45:00,27.2,89,1010.0,Patchy light rain with thunder,1.0000080000000002
Liberia,Monrovia,2025-04-30 08:45:00,25.2,94,1009.0,Mist,1.5000120000000003
