Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
Liechtenstein,Vaduz,2025-05-01 10:45:00,15.1,72,1022.0,Sunny,1.0000080000000002
Liechtenstein,Vaduz,2025-05-02 11:00:00,13.3,44,1025.0,Sunny,1.3889
Liechtenstein,Vaduz,2025-05-03 11:00:00,16.2,82,1016.0,Partly cloudy,2.50002
Liechtenstein,Vaduz,2025-05-04 10:45:00,17.1,72,1009.0,Partly cloudy,1.3055660000000002
Liechtenstein,Vaduz,2025-05-05 11:00:00,9.2,93,1007.0,Moderate rain,1.11112
Liechtenstein,Vaduz,2025-05-06 11:00:00,5.1,81,1009.0,Partly cloudy,1.3055660000000002
Liechtenstein,Vaduz,2025-05-07 10:45:00,10.2,71,1013.0,Partly cloudy,1.3055660000000002
Liechtenstein,Vaduz,2025-05-08 10:45:00,10.4,71,1013.0,Partly cloudy,1.3055660000000002
Liechtenstein,Vaduz,2025-05-09 11:15:00,9.3,81,1016.0,Partly cloudy,1.3889
Liechtenstein,Vaduz,2025-05-10 11:00:00,10.3,66,1020.0,Patchy rain nearby,1.0000080000000002
Liechtenstein,Vaduz,2025-05-11 10:45:00,13.3,72,1015.0,Sunny,1.0000080000000002
Liechtenstein,Vaduz,2025-05-12 11:00:00,15.3,55,1013.0,Patchy light rain in area with thunder,2.6111320000000005
Liechtenstein,Vaduz,2025-05-13 11:15:00,13.0,77,1017.0,Partly cloudy,1.0000080000000002
Liechtenstein,Vaduz,2025-05-14 11:15:00,14.4,55,1018.0,Thundery outbreaks in nearby,1.11112
Liechtenstein,Vaduz,2025-05-15 11:00:00,14.0,59,1014.0,Partly cloudy,2.8889120000000004
Liechtenstein,Vaduz,2025-05-16 11:00:00,12.4,54,1017.0,Sunny,3.1944700000000004
Liechtenstein,Vaduz,2025-05-17 10:45:00,14.3,59,1016.0,Sunny,2.0000160000000005
Liechtenstein,Vaduz,2025-05-18 10:45:00,13.3,77,1017.0,Partly cloudy,1.11112
Liechtenstein,Vaduz,2025-05-19 11:00:00,15.3,63,1018.0,Sunny,1.3889
Liechtenstein,Vaduz,2025-05-20 11:00:00,16.1,59,1016.0,Partly cloudy,1.0000080000000002
Liechtenstein,Vaduz,2025-05-21 10:45:00,14.3,94,1016.0,Light rain,2.3889080000000003
Liechtenstein,Vaduz,2025-05-22 10:45:00,12.2,88,1011.0,Light rain,1.0000080000000002
Liechtenstein,Vaduz,2025-05-23 11:00:00,11.1,76,1017.0,Moderate rain,1.694458
Liechtenstein,Vaduz,2025-05-24 10:45:00,12.4,62,1020.0,Partly cloudy,1.3889
Liechtenstein,Vaduz,2025-05-25 10:30:00,13.1,77,1019.0,Light rain,1.3055660000000002
Liechtenstein,Vaduz,2025-05-26 11:00:00,14.2,94,1020.0,Moderate rain,2.50002
Liechtenstein,Vaduz,2025-05-27 11:00:00,14.2,82,1023.0,Partly cloudy,2.50002
Liechtenstein,Vaduz,2025-05-28 10:45:00,17.1,63,1021.0,Patchy rain nearby,2.111128
Liechtenstein,Vaduz,2025-05-29 10:45:00,16.1,68,1026.0,Partly cloudy,2.194462
Liechtenstein,Vaduz,2025-05-30 10:45:00,17.1,72,1024.0,Sunny,1.0000080000000002
Liechtenstein,Vaduz,2025-05-31 10:45:00,20.0,68,1021.0,Sunny,1.11112
