Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
Lithuania,Vilnius,2024-05-16 11:45:00,17.0,39,1027.0,Sunny,3.6111400000000002
Lithuania,Vilnius,2024-05-16 17:00:00,18.0,34,1025.0,Sunny,3.6111400000000002
Lithuania,Vilnius,2024-05-17 19:00:00,22.0,38,1019.0,Sunny,3.111136
Lithuania,Vilnius,2024-05-18 17:30:00,21.0,49,1016.0,Partly cloudy,4.694482
Lithuania,Vilnius,2024-05-19 17:15:00,22.0,46,1014.0,Partly cloudy,3.6111400000000002
Lithuania,Vilnius,2024-05-20 17:45:00,19.0,64,1015.0,Moderate or heavy rain shower,5.611156
Lithuania,Vilnius,2024-05-21 17:45:00,16.0,88,1017.0,Patchy light rain with thunder,3.6111400000000002
Lithuania,Vilnius,2024-05-22 17:15:00,23.0,44,1016.0,Partly cloudy,5.305598000000001
Lithuania,Vilnius,2024-05-23 17:00:00,24.0,47,1020.0,Moderate or heavy rain with thunder,4.694482
Lithuania,Vilnius,2024-05-24 17:30:00,25.0,44,1024.0,Sunny,5.305598000000001
Lithuania,Vilnius,2024-05-25 17:00:00,24.0,50,1024.0,Moderate or heavy rain with thunder,6.111160000000001
Lithuania,Vilnius,2024-05-26 17:15:00,26.0,34,1024.0,Sunny,1.0000080000000002
Lithuania,Vilnius,2024-05-27 17:30:00,26.0,32,1023.0,Sunny,3.6111400000000002
Lithuania,Vilnius,2024-05-28 17:30:00,26.0,34,1018.0,Partly cloudy,7.805618000000001
Lithuania,Vilnius,2024-05-29 17:00:00,21.0,60,1014.0,Moderate or heavy rain with thunder,4.694482
Lithuania,Vilnius,2024-05-30 16:45:00,22.0,53,1010.0,Moderate or heavy rain shower,3.111136
Lithuania,Vilnius,2024-05-31 17:15:00,17.0,83,1012.0,Patchy light rain with thunder,4.694482
