Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
Luxembourg,Luxembourg,2025-04-01 11:30:00,8.4,57,1024.0,Partly cloudy,7.888952000000001
Luxembourg,Luxembourg,2025-04-02 11:00:00,10.1,58,1019.0,Sunny,8.611180000000001
Luxembourg,Luxembourg,2025-04-03 11:00:00,12.3,54,1021.0,Sunny,5.500044000000001
Luxembourg,Luxembourg,2025-04-04 11:15:00,15.1,51,1019.0,Sunny,5.611156
Luxembourg,Luxembourg,2025-04-05 11:00:00,15.2,48,1016.0,Sunny,4.388924
Luxembourg,Luxembourg,2025-04-06 11:00:00,6.4,39,1021.0,Sunny,8.611180000000001
Luxembourg,Luxembourg,2025-04-07 11:00:00,6.3,41,1024.0,Sunny,5.194486
Luxembourg,Luxembourg,2025-04-08 11:15:00,10.1,43,1026.0,Sunny,5.305598000000001
Luxembourg,Luxembourg,2025-04-09 11:15:00,12.3,47,1023.0,Sunny,4.194478
Luxembourg,Luxembourg,2025-04-10 11:30:00,6.2,75,1027.0,Partly cloudy,4.388924
Luxembourg,Luxembourg,2025-04-11 11:15:00,11.2,58,1023.0,Sunny,1.8889040000000001
Luxembourg,Luxembourg,2025-04-12 11:15:00,15.3,44,1012.0,Sunny,5.611156
Luxembourg,Luxembourg,2025-04-13 11:00:00,13.3,82,1007.0,Partly cloudy,5.694490000000001
Luxembourg,Luxembourg,2025-04-14 11:30:00,13.4,72,1010.0,Partly cloudy,2.3055740000000005
Luxembourg,Luxembourg,2025-04-15 11:15:00,12.2,94,999.0,Overcast,5.111152
Luxembourg,Luxembourg,2025-04-16 11:00:00,7.3,93,1008.0,Moderate rain,3.6111400000000002
Luxembourg,Luxembourg,2025-04-17 10:45:00,5.4,93,1010.0,Moderate rain,5.3889320000000005
Luxembourg,Luxembourg,2025-04-18 11:15:00,7.3,81,1015.0,Partly cloudy,1.3889
Luxembourg,Luxembourg,2025-04-19 11:00:00,9.4,76,1008.0,Sunny,4.694482
Luxembourg,Luxembourg,2025-04-20 10:45:00,13.1,72,1006.0,Cloudy,1.11112
Luxembourg,Luxembourg,2025-04-21 11:15:00,10.1,82,1010.0,Partly cloudy,4.194478
Luxembourg,Luxembourg,2025-04-22 11:00:00,11.2,87,1018.0,Partly cloudy,2.3889080000000003
Luxembourg,Luxembourg,2025-04-23 11:00:00,11.3,94,1015.0,Partly cloudy,4.388924
Luxembourg,Luxembourg,2025-04-24 11:00:00,9.1,87,1016.0,Partly cloudy,3.1944700000000004
Luxembourg,Luxembourg,2025-04-25 11:00:00,10.1,87,1019.0,Partly cloudy,4.694482
Luxembourg,Luxembourg,2025-04-26 11:00:00,12.2,77,1020.0,Cloudy,5.694490000000001
Luxembourg,Luxembourg,2025-04-27 10:45:00,12.2,67,1023.0,Overcast,3.6944740000000005
Luxembourg,Luxembourg,2025-04-28 11:30:00,17.4,55,1026.0,Sunny,3.111136
Luxembourg,Luxembourg,2025-04-29 10:45:00,16.2,51,1026.0,Sunny,3.8055860000000004
Luxembourg,Luxembourg,2025-04-30 10:45:00,17.3,55,1023.0,Sunny,2.6944660000000002
