Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
Macedonia,Skopje,2024-10-01 12:00:00,18.2,34,1018.0,Sunny,1.3055660000000002
Macedonia,Skopje,2024-10-02 11:30:00,18.3,39,1015.0,Sunny,2.194462
Macedonia,Skopje,2024-10-03 11:30:00,21.2,49,1014.0,Partly cloudy,2.50002
Macedonia,Skopje,2024-10-04 11:45:00,21.9,60,1011.0,Partly Cloudy,1.0000080000000002
Macedonia,Skopje,2024-10-05 11:30:00,18.1,94,1012.0,Partly cloudy,1.0000080000000002
Macedonia,Skopje,2024-10-06 11:15:00,20.1,64,1011.0,Partly cloudy,1.0000080000000002
Macedonia,Skopje,2024-10-07 11:45:00,18.2,64,1019.0,Partly cloudy,1.0000080000000002
Macedonia,Skopje,2024-10-08 11:45:00,19.0,60,1021.0,Sunny,1.8889040000000001
Macedonia,Skopje,2024-10-09 11:45:00,18.1,73,1015.0,Partly cloudy,2.194462
Macedonia,Skopje,2024-10-10 11:45:00,21.3,64,1010.0,Partly cloudy,1.8055700000000001
Macedonia,Skopje,2024-10-11 11:45:00,25.2,54,1010.0,Partly cloudy,1.0000080000000002
Macedonia,Skopje,2024-10-12 11:45:00,19.2,56,1018.0,Partly cloudy,3.388916
Macedonia,Skopje,2024-10-13 11:30:00,16.2,59,1021.0,Sunny,1.611124
Macedonia,Skopje,2024-10-14 11:30:00,21.6,42,1021.0,Sunny,1.0000080000000002
Macedonia,Skopje,2024-10-15 11:30:00,19.3,52,1022.0,Sunny,1.0000080000000002
Macedonia,Skopje,2024-10-16 11:30:00,22.3,50,1025.0,Sunny,1.0000080000000002
Macedonia,Skopje,2024-10-17 11:30:00,19.2,49,1027.0,Sunny,2.3055740000000005
Macedonia,Skopje,2024-10-18 11:45:00,18.1,52,1025.0,Partly cloudy,1.5000120000000003
Macedonia,Skopje,2024-10-19 11:30:00,15.1,63,1025.0,Partly cloudy,3.0000240000000007
Macedonia,Skopje,2024-10-20 11:30:00,16.2,55,1029.0,Overcast,1.3889
Macedonia,Skopje,2024-10-21 11:15:00,16.7,57,1032.0,Sunny,1.5000120000000003
Macedonia,Skopje,2024-10-22 11:15:00,17.4,50,1031.0,Sunny,1.611124
Macedonia,Skopje,2024-10-23 11:15:00,19.4,39,1029.0,Sunny,1.0000080000000002
Macedonia,Skopje,2024-10-24 11:15:00,16.4,59,1032.0,Sunny,1.3889
Macedonia,Skopje,2024-10-25 11:15:00,17.3,55,1028.0,Sunny,1.694458
Macedonia,Skopje,2024-10-26 11:15:00,18.6,44,1024.0,Sunny,2.111128
Macedonia,Skopje,2024-10-27 10:15:00,16.0,63,1027.0,Sunny,1.3055660000000002
Macedonia,Skopje,2024-10-28 10:15:00,19.4,49,1025.0,Sunny,1.0000080000000002
Macedonia,Skopje,2024-10-29 10:00:00,19.2,56,1025.0,Sunny,1.0000080000000002
Macedonia,Skopje,2024-10-30 10:00:00,17.0,63,1026.0,Mist,1.0000080000000002
Macedonia,Skopje,2024-10-31 10:00:00,17.5,47,1025.0,Sunny,1.0000080000000002
