Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
Madagascar,Ivory,2024-11-01 12:15:00,27.2,55,1014.0,Partly Cloudy,5.111152
Madagascar,Antananarivo,2024-11-01 12:15:00,32.4,26,1012.0,Patchy rain nearby,1.0000080000000002
Madagascar,Ivory,2024-11-02 12:15:00,34.0,31,1012.0,Sunny,1.694458
Madagascar,Antananarivo,2024-11-02 12:15:00,29.1,33,1020.0,Partly cloudy,2.3055740000000005
Madagascar,Ivory,2024-11-03 12:00:00,35.6,30,1012.0,Sunny,1.611124
Madagascar,Antananarivo,2024-11-03 12:15:00,29.3,37,1021.0,Partly cloudy,2.50002
Madagascar,Ivory,2024-11-04 12:00:00,35.7,27,1011.0,Sunny,1.694458
Madagascar,Antananarivo,2024-11-04 12:00:00,28.4,40,1020.0,Partly cloudy,2.111128
Madagascar,Ivory,2024-11-05 12:00:00,36.2,25,1010.0,Sunny,1.11112
Madagascar,Antananarivo,2024-11-05 12:00:00,30.9,29,1012.0,Sunny,1.0000080000000002
Madagascar,Ivory,2024-11-06 12:00:00,36.2,25,1012.0,Sunny,1.0000080000000002
Madagascar,Antananarivo,2024-11-06 12:00:00,29.2,31,1014.0,Sunny,2.6944660000000002
Madagascar,Ivory,2024-11-07 12:00:00,34.9,21,1014.0,Sunny,1.3889
Madagascar,Antananarivo,2024-11-07 12:00:00,26.2,37,1022.0,Partly cloudy,3.3055820000000002
Madagascar,Ivory,2024-11-08 12:00:00,34.8,28,1013.0,Sunny,1.11112
Madagascar,Antananarivo,2024-11-08 12:00:00,29.1,23,1014.0,Sunny,2.111128
Madagascar,Ivory,2024-11-09 12:00:00,34.8,29,1010.0,Sunny,1.1944540000000001
Madagascar,Antananarivo,2024-11-09 12:00:00,29.1,40,1018.0,Partly cloudy,1.3889
Madagascar,Ivory,2024-11-10 11:45:00,34.9,30,1011.0,Sunny,1.0000080000000002
Madagascar,Antananarivo,2024-11-10 11:45:00,29.2,27,1019.0,Partly cloudy,1.8889040000000001
Madagascar,Ivory,2024-11-11 12:00:00,37.4,25,1012.0,Sunny,1.3889
Madagascar,Antananarivo,2024-11-11 12:00:00,29.4,40,1021.0,Partly cloudy,2.3055740000000005
Madagascar,Ivory,2024-11-12 12:00:00,36.5,31,1012.0,Sunny,2.3889080000000003
Madagascar,Antananarivo,2024-11-12 12:00:00,30.3,31,1020.0,Partly cloudy,3.8889200000000006
Madagascar,Ivory,2024-11-13 12:00:00,36.3,31,1009.0,Sunny,1.0000080000000002
Madagascar,Antananarivo,2024-11-13 12:00:00,30.1,24,1017.0,Partly cloudy,4.000032000000001
Madagascar,Ivory,2024-11-14 12:15:00,32.9,42,1011.0,Patchy rain nearby,3.3055820000000002
Madagascar,Antananarivo,2024-11-14 12:15:00,32.1,17,1017.0,Partly cloudy,1.5000120000000003
Madagascar,Ivory,2024-11-15 12:00:00,33.0,33,1012.0,Sunny,3.0000240000000007
Madagascar,Antananarivo,2024-11-15 12:00:00,29.1,29,1018.0,Partly cloudy,4.388924
Madagascar,Ivory,2024-11-16 11:45:00,34.1,22,1011.0,Sunny,4.694482
Madagascar,Antananarivo,2024-11-16 11:45:00,29.4,33,1018.0,Sunny,3.388916
Madagascar,Ivory,2024-11-17 11:45:00,36.0,26,1011.0,Sunny,2.805578
Madagascar,Antananarivo,2024-11-17 11:45:00,28.2,37,1019.0,Partly cloudy,2.805578
Madagascar,Ivory,2024-11-18 11:45:00,35.5,28,1011.0,Sunny,5.888936
Madagascar,Antananarivo,2024-11-18 11:45:00,28.1,42,1019.0,Partly cloudy,3.6111400000000002
Madagascar,Ivory,2024-11-19 11:45:00,33.0,27,1014.0,Sunny,3.6944740000000005
Madagascar,Antananarivo,2024-11-19 11:45:00,28.3,37,1020.0,Partly cloudy,3.5000280000000004
Madagascar,Ivory,2024-11-20 11:30:00,32.5,29,1013.0,Sunny,4.888928000000001
Madagascar,Antananarivo,2024-11-20 11:45:00,27.1,32,1014.0,Sunny,4.000032000000001
Madagascar,Ivory,2024-11-21 11:45:00,32.9,30,1012.0,Sunny,4.611148000000001
Madagascar,Antananarivo,2024-11-21 11:45:00,28.2,35,1019.0,Partly cloudy,2.805578
Madagascar,Ivory,2024-11-22 11:45:00,33.6,30,1010.0,Sunny,3.388916
Madagascar,Antananarivo,2024-11-22 11:45:00,29.2,40,1018.0,Partly cloudy,1.0000080000000002
Madagascar,Ivory,2024-11-23 11:45:00,35.2,30,1011.0,Sunny,1.0000080000000002
Madagascar,Antananarivo,2024-11-23 11:45:00,31.2,46,1019.0,Partly cloudy,1.5000120000000003
Madagascar,Ivory,2024-11-24 11:30:00,35.0,27,1012.0,Sunny,1.3055660000000002
Madagascar,Antananarivo,2024-11-24 11:30:00,29.0,45,1019.0,Partly cloudy,2.194462
Madagascar,Ivory,2024-11-25 11:45:00,35.5,29,1011.0,Sunny,1.3055660000000002
Madagascar,Antananarivo,2024-11-25 11:30:00,27.1,48,1019.0,Partly cloudy,2.6944660000000002
Madagascar,Ivory,2024-11-26 12:00:00,38.1,21,1009.0,Sunny,4.194478
Madagascar,Antananarivo,2024-11-26 11:45:00,28.4,45,1020.0,Partly cloudy,3.0000240000000007
Madagascar,Ivory,2024-11-27 11:45:00,35.0,26,1012.0,Sunny,4.3055900000000005
Madagascar,Antananarivo,2024-11-27 11:45:00,28.4,40,1020.0,Partly cloudy,3.5000280000000004
Madagascar,Ivory,2024-11-28 14:00:00,38.0,24,1007.0,Patchy rain nearby,1.5000120000000003
Madagascar,Antananarivo,2024-11-28 14:00:00,30.3,35,1017.0,Partly cloudy,1.3055660000000002
Madagascar,Ivory,2024-11-29 13:45:00,28.0,58,1010.0,Light rain shower,6.694498000000001
Madagascar,Antananarivo,2024-11-29 13:45:00,21.9,74,1013.0,Light rain shower,1.1944540000000001
Madagascar,Ivory,2024-11-30 13:15:00,29.6,28,1012.0,Sunny,4.000032000000001
Madagascar,Antananarivo,2024-11-30 13:30:00,26.2,61,1016.0,Patchy light rain with thunder,1.11112
