Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
Malawi,Lilongwe,2024-07-01 15:15:00,26.2,26,1017.0,Sunny,1.0000080000000002
Malawi,Lilongwe,2024-07-02 15:15:00,25.0,33,1016.0,Sunny,3.8889200000000006
Malawi,Lilongwe,2024-07-03 15:00:00,26.0,29,1015.0,Sunny,1.0000080000000002
Malawi,Lilongwe,2024-07-04 15:00:00,26.4,28,1015.0,Sunny,1.0000080000000002
Malawi,Lilongwe,2024-07-05 14:45:00,26.1,21,1020.0,Sunny,3.111136
Malawi,Lilongwe,2024-07-06 15:15:00,28.1,15,1014.0,Sunny,1.0000080000000002
Malawi,Lilongwe,2024-07-07 15:00:00,25.8,15,1014.0,Sunny,2.3889080000000003
Malawi,Lilongwe,2024-07-08 15:00:00,27.0,18,1019.0,Sunny,4.694482
Malawi,Lilongwe,2024-07-09 14:45:00,28.4,10,1014.0,Sunny,2.194462
Malawi,Lilongwe,2024-07-10 15:00:00,26.7,7,1017.0,Sunny,4.194478
Malawi,Lilongwe,2024-07-11 14:45:00,24.2,29,1022.0,Sunny,4.194478
Malawi,Lilongwe,2024-07-12 15:00:00,25.1,34,1022.0,Partly cloudy,5.305598000000001
Malawi,Lilongwe,2024-07-13 15:00:00,24.0,44,1023.0,Partly cloudy,5.611156
Malawi,Lilongwe,2024-07-14 15:15:00,26.4,21,1017.0,Sunny,3.8889200000000006
Malawi,Lilongwe,2024-07-15 15:00:00,25.3,26,1022.0,Sunny,5.611156
Malawi,Lilongwe,2024-07-16 14:45:00,25.4,30,1021.0,Sunny,2.50002
Malawi,Lilongwe,2024-07-17 14:45:00,25.1,28,1022.0,Sunny,4.694482
Malawi,Lilongwe,2024-07-18 14:45:00,23.1,38,1023.0,Partly cloudy,3.6111400000000002
Malawi,Lilongwe,2024-07-19 14:30:00,24.2,41,1021.0,Partly cloudy,2.50002
Malawi,Lilongwe,2024-07-20 14:45:00,25.1,36,1019.0,Sunny,3.6111400000000002
Malawi,Lilongwe,2024-07-23 14:30:00,28.8,17,1018.0,Sunny,2.3055740000000005
Malawi,Lilongwe,2024-07-24 14:45:00,27.6,13,1017.0,Sunny,1.0000080000000002
Malawi,Lilongwe,2024-07-25 14:15:00,28.8,10,1014.0,Sunny,1.8055700000000001
Malawi,Lilongwe,2024-07-26 14:30:00,27.5,12,1015.0,Sunny,2.0000160000000005
Malawi,Lilongwe,2024-07-27 14:30:00,27.7,11,1015.0,Sunny,2.3055740000000005
Malawi,Lilongwe,2024-07-28 14:45:00,28.5,11,1014.0,Sunny,2.0000160000000005
Malawi,Lilongwe,2024-07-29 14:15:00,28.5,12,1013.0,Sunny,3.0000240000000007
Malawi,Lilongwe,2024-07-30 14:15:00,28.8,11,1014.0,Sunny,3.5000280000000004
Malawi,Lilongwe,2024-07-31 14:15:00,28.2,13,1016.0,Sunny,4.388924
