Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
Malaysia,Kuala Lumpur,2024-11-01 17:15:00,31.3,66,1007.0,Partly cloudy,3.388916
Malaysia,Kuala Lumpur,2024-11-02 17:15:00,29.1,79,1009.0,Partly cloudy,3.388916
Malaysia,Kuala Lumpur,2024-11-03 17:15:00,29.8,68,1007.0,Patchy rain nearby,3.388916
Malaysia,Kuala Lumpur,2024-11-04 17:00:00,25.6,87,1008.0,Light rain shower,2.194462
Malaysia,Kuala Lumpur,2024-11-05 17:00:00,28.2,79,1007.0,Patchy light rain with thunder,1.11112
Malaysia,Kuala Lumpur,2024-11-06 17:00:00,29.0,68,1009.0,Patchy rain nearby,1.8889040000000001
Malaysia,Kuala Lumpur,2024-11-07 17:00:00,26.6,85,1008.0,Patchy rain nearby,1.11112
Malaysia,Kuala Lumpur,2024-11-08 17:00:00,25.9,87,1009.0,Light rain shower,1.5000120000000003
Malaysia,Kuala Lumpur,2024-11-09 17:00:00,28.3,89,1008.0,Partly cloudy,1.3889
Malaysia,Kuala Lumpur,2024-11-10 16:45:00,30.1,75,1007.0,Partly cloudy,3.1944700000000004
Malaysia,Kuala Lumpur,2024-11-11 17:00:00,32.3,71,1006.0,Overcast,1.8889040000000001
Malaysia,Kuala Lumpur,2024-11-12 17:00:00,28.3,78,1007.0,Light rain shower,1.0000080000000002
Malaysia,Kuala Lumpur,2024-11-13 17:00:00,28.3,79,1007.0,Partly cloudy,1.0000080000000002
Malaysia,Kuala Lumpur,2024-11-14 17:15:00,28.2,89,1006.0,Partly cloudy,1.5000120000000003
Malaysia,Kuala Lumpur,2024-11-15 17:00:00,26.2,94,1007.0,Moderate or heavy rain with thunder,1.0000080000000002
Malaysia,Kuala Lumpur,2024-11-16 16:45:00,28.3,84,1006.0,Partly cloudy,1.11112
Malaysia,Kuala Lumpur,2024-11-17 16:45:00,26.2,94,1007.0,Light rain,1.1944540000000001
Malaysia,Kuala Lumpur,2024-11-18 16:45:00,28.2,84,1006.0,Partly cloudy,1.8055700000000001
Malaysia,Kuala Lumpur,2024-11-19 16:45:00,25.4,100,1007.0,Moderate or heavy rain with thunder,1.0000080000000002
Malaysia,Kuala Lumpur,2024-11-20 16:45:00,28.1,79,1006.0,Light rain shower,1.0000080000000002
Malaysia,Kuala Lumpur,2024-11-21 16:45:00,28.3,84,1005.0,Partly cloudy,1.0000080000000002
Malaysia,Kuala Lumpur,2024-11-22 16:45:00,28.2,84,1006.0,Patchy light rain with thunder,1.0000080000000002
Malaysia,Kuala Lumpur,2024-11-23 17:00:00,30.2,70,1005.0,Patchy light rain with thunder,1.0000080000000002
Malaysia,Kuala Lumpur,2024-11-24 16:15:00,31.2,71,1005.0,Patchy light rain with thunder,1.0000080000000002
Malaysia,Kuala Lumpur,2024-11-25 16:30:00,30.3,75,1005.0,Patchy light rain with thunder,1.0000080000000002
Malaysia,Kuala Lumpur,2024-11-26 17:00:00,29.2,84,1004.0,Partly cloudy,1.0000080000000002
Malaysia,Kuala Lumpur,2024-11-27 16:45:00,26.1,94,1005.0,Light rain,1.0000080000000002
Malaysia,Kuala Lumpur,2024-11-28 19:00:00,25.2,94,1007.0,Moderate or heavy rain with thunder,1.0000080000000002
Malaysia,Kuala Lumpur,2024-11-29 18:45:00,27.3,84,1008.0,Partly cloudy,1.0000080000000002
Malaysia,Kuala Lumpur,2024-11-30 18:30:00,30.4,70,1005.0,Partly cloudy,1.3055660000000002
