Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
Mali,Bamako,2025-02-01 10:30:00,25.2,13,1016.0,Sunny,5.694490000000001
Mali,Bamako,2025-02-02 10:15:00,21.1,18,1017.0,Sunny,6.000048000000001
Mali,Bamako,2025-02-03 10:30:00,22.0,16,1016.0,Sunny,5.305598000000001
Mali,Bamako,2025-02-04 10:30:00,26.0,21,1016.0,Sunny,3.8055860000000004
Mali,Bamako,2025-02-05 10:30:00,25.3,14,1016.0,Sunny,4.611148000000001
Mali,Bamako,2025-02-06 10:15:00,26.4,13,1015.0,Sunny,5.500044000000001
Mali,Bamako,2025-02-07 10:30:00,25.4,14,1015.0,Sunny,4.888928000000001
Mali,Bamako,2025-02-08 10:30:00,25.2,18,1015.0,Sunny,5.111152
Mali,Bamako,2025-02-09 10:30:00,27.3,21,1015.0,Sunny,4.611148000000001
Mali,Bamako,2025-02-10 10:30:00,29.1,16,1013.0,Sunny,5.694490000000001
Mali,Bamako,2025-02-11 10:15:00,30.1,21,1012.0,Sunny,4.000032000000001
Mali,Bamako,2025-02-12 10:15:00,30.4,25,1012.0,Sunny,3.8055860000000004
Mali,Bamako,2025-02-13 10:15:00,31.3,27,1012.0,Sunny,5.111152
Mali,Bamako,2025-02-14 10:00:00,28.2,58,1013.0,Sunny,2.805578
Mali,Bamako,2025-02-15 10:15:00,31.4,46,1013.0,Sunny,3.111136
Mali,Bamako,2025-02-16 10:15:00,30.4,22,1013.0,Sunny,3.0000240000000007
Mali,Bamako,2025-02-17 10:15:00,33.2,16,1012.0,Sunny,2.805578
Mali,Bamako,2025-02-18 10:00:00,33.1,19,1012.0,Sunny,3.6944740000000005
Mali,Bamako,2025-02-19 10:15:00,32.2,20,1013.0,Sunny,5.3889320000000005
Mali,Bamako,2025-02-20 10:00:00,31.1,12,1014.0,Sunny,4.3055900000000005
Mali,Bamako,2025-02-21 10:00:00,29.4,13,1014.0,Sunny,4.388924
Mali,Bamako,2025-02-22 10:00:00,25.1,21,1015.0,Sunny,5.500044000000001
Mali,Bamako,2025-02-23 10:00:00,25.4,21,1016.0,Sunny,5.500044000000001
Mali,Bamako,2025-02-24 10:00:00,25.3,19,1017.0,Overcast,6.111160000000001
Mali,Bamako,2025-02-25 10:00:00,24.1,19,1019.0,Overcast,6.194494000000001
Mali,Bamako,2025-02-26 10:00:00,23.2,20,1018.0,Sunny,5.194486
Mali,Bamako,2025-02-27 09:45:00,27.1,15,1016.0,Sunny,3.6111400000000002
Mali,Bamako,2025-02-28 10:00:00,28.2,16,1014.0,Sunny,4.805594000000001
