Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
Malta,Valletta,2024-11-01 10:15:00,23.3,65,1023.0,Partly cloudy,5.805602
Malta,Valletta,2024-11-02 10:15:00,21.0,63,1022.0,Sunny,3.388916
Malta,Valletta,2024-11-03 10:15:00,21.3,69,1024.0,Patchy rain nearby,1.694458
Malta,Valletta,2024-11-04 10:00:00,21.2,62,1025.0,Sunny,1.3889
Malta,Valletta,2024-11-05 10:00:00,21.3,69,1024.0,Partly cloudy,1.0000080000000002
Malta,Valletta,2024-11-06 10:00:00,23.0,61,1024.0,Partly cloudy,3.8889200000000006
Malta,Valletta,2024-11-07 10:00:00,22.2,69,1026.0,Partly cloudy,4.611148000000001
Malta,Valletta,2024-11-08 10:00:00,21.1,71,1025.0,Light rain shower,4.111144
Malta,Valletta,2024-11-09 10:00:00,19.2,83,1022.0,Light rain,3.8889200000000006
Malta,Valletta,2024-11-10 09:45:00,21.1,64,1019.0,Moderate rain,4.500036000000001
Malta,Valletta,2024-11-11 10:00:00,19.3,88,1017.0,Partly cloudy,5.694490000000001
Malta,Valletta,2024-11-12 10:00:00,17.2,94,1014.0,Patchy light rain with thunder,2.6111320000000005
Malta,Valletta,2024-11-13 10:00:00,22.2,73,1019.0,Partly cloudy,4.194478
Malta,Valletta,2024-11-14 10:15:00,22.4,65,1019.0,Partly cloudy,4.500036000000001
Malta,Valletta,2024-11-15 10:00:00,20.3,83,1017.0,Light rain,8.611180000000001
Malta,Valletta,2024-11-16 09:45:00,19.0,60,1021.0,Partly cloudy,3.8055860000000004
Malta,Valletta,2024-11-17 09:45:00,20.1,64,1019.0,Partly cloudy,2.0000160000000005
Malta,Valletta,2024-11-18 09:45:00,22.1,78,1016.0,Partly cloudy,8.694514000000002
Malta,Valletta,2024-11-19 09:45:00,22.0,69,1019.0,Partly cloudy,6.6111640000000005
Malta,Valletta,2024-11-20 09:45:00,22.1,78,1015.0,Partly cloudy,5.194486
Malta,Valletta,2024-11-21 09:45:00,21.2,73,1013.0,Light rain,10.805642
Malta,Valletta,2024-11-22 09:45:00,22.0,69,1012.0,Partly cloudy,9.000072000000001
Malta,Valletta,2024-11-23 10:00:00,18.2,56,1024.0,Partly cloudy,9.194518
Malta,Valletta,2024-11-24 09:30:00,17.1,55,1034.0,Partly cloudy,5.805602
Malta,Valletta,2024-11-25 09:30:00,18.4,60,1030.0,Sunny,1.3055660000000002
Malta,Valletta,2024-11-26 10:00:00,20.3,64,1026.0,Partly cloudy,2.6944660000000002
Malta,Valletta,2024-11-27 09:45:00,19.2,78,1025.0,Partly cloudy,3.3055820000000002
Malta,Valletta,2024-11-28 12:00:00,21.2,60,1026.0,Partly cloudy,2.805578
Malta,Valletta,2024-11-29 11:45:00,20.0,73,1024.0,Partly cloudy,7.000056000000001
Malta,Valletta,2024-11-30 11:30:00,17.3,72,1018.0,Light rain,9.805634
