Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
Marshall Islands,Majuro,2025-02-01 22:45:00,28.3,79,1008.0,Overcast,10.00008
Marshall Islands,Majuro,2025-02-02 22:15:00,27.3,84,1009.0,Overcast,10.69453
Marshall Islands,Majuro,2025-02-03 22:30:00,28.3,79,1008.0,Partly cloudy,10.69453
Marshall Islands,Majuro,2025-02-04 22:30:00,28.2,84,1006.0,Overcast,10.805642
Marshall Islands,Majuro,2025-02-05 22:30:00,28.3,84,1008.0,Overcast,10.611196000000001
Marshall Islands,Majuro,2025-02-06 22:15:00,28.2,74,1011.0,Partly cloudy,9.805634
Marshall Islands,Majuro,2025-02-07 22:30:00,28.3,79,1009.0,Partly cloudy,8.88896
Marshall Islands,Majuro,2025-02-08 22:30:00,26.0,89,1009.0,Overcast,6.500052
Marshall Islands,Majuro,2025-02-09 22:30:00,26.2,89,1010.0,Overcast,4.805594000000001
Marshall Islands,Majuro,2025-02-10 22:30:00,26.0,94,1011.0,Overcast,5.611156
Marshall Islands,Majuro,2025-02-11 22:15:00,28.3,74,1012.0,Partly cloudy,7.111168000000001
Marshall Islands,Majuro,2025-02-12 22:15:00,27.1,79,1013.0,Overcast,6.194494000000001
Marshall Islands,Majuro,2025-02-13 22:15:00,27.1,80,1011.0,Patchy light drizzle,8.305622
Marshall Islands,Majuro,2025-02-14 22:00:00,27.2,79,1010.0,Partly cloudy,7.194502
Marshall Islands,Majuro,2025-02-15 22:15:00,27.1,79,1012.0,Patchy rain nearby,6.388940000000001
Marshall Islands,Majuro,2025-02-16 22:15:00,27.4,84,1013.0,Overcast,5.805602
Marshall Islands,Majuro,2025-02-17 22:15:00,27.0,89,1014.0,Overcast,5.305598000000001
Marshall Islands,Majuro,2025-02-18 22:15:00,28.4,74,1010.0,Partly cloudy,8.111176
Marshall Islands,Majuro,2025-02-19 22:15:00,27.2,84,1010.0,Partly cloudy,7.50006
Marshall Islands,Majuro,2025-02-20 22:00:00,27.1,78,1012.0,Patchy rain nearby,8.611180000000001
Marshall Islands,Majuro,2025-02-21 22:00:00,28.0,79,1012.0,Partly cloudy,9.111184
Marshall Islands,Majuro,2025-02-22 22:15:00,28.2,79,1011.0,Partly cloudy,10.69453
Marshall Islands,Majuro,2025-02-23 22:00:00,28.0,74,1011.0,Overcast,10.69453
Marshall Islands,Majuro,2025-02-24 22:00:00,28.3,84,1011.0,Partly cloudy,11.1112
Marshall Islands,Majuro,2025-02-25 22:00:00,27.3,85,1012.0,Patchy rain nearby,9.30563
Marshall Islands,Majuro,2025-02-26 22:00:00,27.5,84,1011.0,Patchy rain nearby,7.805618000000001
Marshall Islands,Majuro,2025-02-27 22:00:00,27.2,83,1012.0,Patchy rain nearby,9.111184
Marshall Islands,Majuro,2025-02-28 22:00:00,28.1,79,1011.0,Partly cloudy,9.111184
