Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
Mauritania,Nouakchott,2025-04-01 09:30:00,21.9,47,1014.0,Sunny,7.611172000000001
Mauritania,Nouakchott,2025-04-02 09:00:00,19.7,63,1011.0,Sunny,7.50006
Mauritania,Nouakchott,2025-04-03 09:00:00,19.4,64,1012.0,Sunny,7.111168000000001
Mauritania,Nouakchott,2025-04-04 09:15:00,19.5,61,1015.0,Sunny,5.805602
Mauritania,Nouakchott,2025-04-05 09:00:00,21.1,60,1015.0,Sunny,7.50006
Mauritania,Nouakchott,2025-04-06 09:00:00,22.8,45,1013.0,Sunny,7.6945060000000005
Mauritania,Nouakchott,2025-04-07 09:00:00,22.4,53,1011.0,Sunny,6.000048000000001
Mauritania,Nouakchott,2025-04-08 09:15:00,22.2,55,1013.0,Sunny,6.305606
Mauritania,Nouakchott,2025-04-09 09:15:00,21.3,61,1014.0,Sunny,6.000048000000001
Mauritania,Nouakchott,2025-04-10 09:15:00,18.9,79,1012.0,Sunny,7.888952000000001
Mauritania,Nouakchott,2025-04-11 09:30:00,19.0,85,1013.0,Sunny,4.888928000000001
Mauritania,Nouakchott,2025-04-12 09:15:00,19.5,78,1013.0,Sunny,7.194502
Mauritania,Nouakchott,2025-04-13 09:00:00,19.9,63,1015.0,Sunny,6.000048000000001
Mauritania,Nouakchott,2025-04-14 09:30:00,20.5,63,1014.0,Sunny,5.00004
Mauritania,Nouakchott,2025-04-15 09:15:00,21.8,51,1013.0,Sunny,5.111152
Mauritania,Nouakchott,2025-04-16 09:00:00,23.6,31,1014.0,Sunny,7.111168000000001
Mauritania,Nouakchott,2025-04-17 08:45:00,22.0,32,1011.0,Sunny,5.3889320000000005
Mauritania,Nouakchott,2025-04-18 09:15:00,22.0,52,1012.0,Sunny,4.194478
Mauritania,Nouakchott,2025-04-19 09:00:00,22.6,56,1012.0,Partly Cloudy,5.694490000000001
Mauritania,Nouakchott,2025-04-20 09:00:00,25.1,47,1011.0,Sunny,2.6944660000000002
Mauritania,Nouakchott,2025-04-21 09:15:00,21.8,67,1013.0,Sunny,9.111184
Mauritania,Nouakchott,2025-04-22 09:15:00,25.0,48,1012.0,Sunny,3.0000240000000007
Mauritania,Nouakchott,2025-04-23 09:15:00,25.9,36,1012.0,Sunny,5.00004
Mauritania,Nouakchott,2025-04-24 09:00:00,24.7,36,1011.0,Sunny,7.111168000000001
Mauritania,Nouakchott,2025-04-25 09:00:00,25.3,40,1010.0,Sunny,7.805618000000001
Mauritania,Nouakchott,2025-04-26 09:00:00,26.0,41,1009.0,Sunny,6.388940000000001
Mauritania,Nouakchott,2025-04-27 08:45:00,26.1,37,1008.0,Partly Cloudy,5.500044000000001
Mauritania,Nouakchott,2025-04-28 09:30:00,27.6,37,1009.0,Sunny,2.8889120000000004
Mauritania,Nouakchott,2025-04-29 08:45:00,21.4,65,1008.0,Sunny,5.888936
Mauritania,Nouakchott,2025-04-30 08:45:00,19.9,76,1009.0,Sunny,7.611172000000001
