Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
Mauritius,Port Louis,2024-05-16 12:45:00,24.0,83,1020.0,Overcast,7.194502
Mauritius,Port Louis,2024-05-16 18:00:00,24.0,74,1019.0,Overcast,6.111160000000001
Mauritius,Port Louis,2024-05-17 20:00:00,24.0,61,1019.0,Partly cloudy,7.194502
Mauritius,Port Louis,2024-05-18 18:30:00,25.0,74,1016.0,Partly cloudy,4.194478
Mauritius,Port Louis,2024-05-19 18:15:00,24.0,78,1015.0,Partly cloudy,1.0000080000000002
Mauritius,Port Louis,2024-05-20 18:45:00,24.0,74,1017.0,Partly cloudy,1.694458
Mauritius,Port Louis,2024-05-21 18:45:00,23.0,78,1020.0,Overcast,7.194502
Mauritius,Port Louis,2024-05-22 18:15:00,23.0,65,1021.0,Overcast,7.194502
Mauritius,Port Louis,2024-05-23 18:00:00,24.0,65,1018.0,Partly cloudy,5.611156
Mauritius,Port Louis,2024-05-24 18:30:00,23.0,89,1016.0,Overcast,2.50002
Mauritius,Port Louis,2024-05-25 18:00:00,22.0,94,1015.0,Overcast,1.0000080000000002
Mauritius,Port Louis,2024-05-26 18:15:00,24.0,94,1014.0,Overcast,1.694458
Mauritius,Port Louis,2024-05-27 18:30:00,24.0,94,1015.0,Overcast,1.8889040000000001
Mauritius,Port Louis,2024-05-28 18:30:00,24.0,89,1017.0,Overcast,5.305598000000001
Mauritius,Port Louis,2024-05-29 18:00:00,25.0,83,1017.0,Overcast,4.694482
Mauritius,Port Louis,2024-05-30 17:45:00,24.0,89,1018.0,Overcast,6.111160000000001
Mauritius,Port Louis,2024-05-31 18:15:00,24.0,74,1020.0,Overcast,6.111160000000001
