Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
Mexico,Mexico City,2025-04-01 03:30:00,17.0,29,1024.0,Clear,1.0000080000000002
Mexico,Mexico City,2025-04-02 03:00:00,18.2,26,1022.0,Overcast,1.8889040000000001
Mexico,Mexico City,2025-04-03 03:00:00,17.1,29,1022.0,Clear,2.0000160000000005
Mexico,Mexico City,2025-04-04 03:15:00,17.3,32,1023.0,Clear,2.6944660000000002
Mexico,Mexico City,2025-04-05 03:00:00,17.0,27,1024.0,Clear,2.111128
Mexico,Mexico City,2025-04-06 03:00:00,18.1,34,1024.0,Clear,1.3055660000000002
Mexico,Mexico City,2025-04-07 03:15:00,17.3,34,1021.0,Clear,1.8889040000000001
Mexico,Mexico City,2025-04-08 03:15:00,8.1,76,1023.0,Clear,1.0000080000000002
Mexico,Mexico City,2025-04-09 03:15:00,11.0,62,1028.0,Clear,1.694458
Mexico,Mexico City,2025-04-10 03:15:00,15.3,31,1030.0,Clear,2.194462
Mexico,Mexico City,2025-04-11 03:15:00,9.3,27,1030.0,Clear,2.194462
Mexico,Mexico City,2025-04-12 03:15:00,10.3,50,1031.0,Clear,2.805578
Mexico,Mexico City,2025-04-13 03:00:00,10.1,54,1028.0,Clear,2.194462
Mexico,Mexico City,2025-04-14 03:30:00,10.3,46,1027.0,Clear,1.611124
Mexico,Mexico City,2025-04-15 03:15:00,12.3,50,1027.0,Partly cloudy,1.3889
Mexico,Mexico City,2025-04-16 03:00:00,12.2,50,1029.0,Clear,2.0000160000000005
Mexico,Mexico City,2025-04-17 02:45:00,16.1,64,1017.0,Clear,1.694458
Mexico,Mexico City,2025-04-18 03:15:00,17.3,27,1025.0,Partly cloudy,1.3055660000000002
Mexico,Mexico City,2025-04-19 03:00:00,18.1,32,1024.0,Clear,1.611124
Mexico,Mexico City,2025-04-20 02:45:00,20.1,28,1024.0,Clear,1.3889
Mexico,Mexico City,2025-04-21 03:15:00,17.2,68,1025.0,Partly cloudy,1.0000080000000002
Mexico,Mexico City,2025-04-22 03:15:00,15.3,77,1024.0,Clear,2.194462
Mexico,Mexico City,2025-04-23 03:00:00,19.3,49,1023.0,Partly cloudy,2.805578
Mexico,Mexico City,2025-04-24 03:00:00,20.2,40,1023.0,Partly cloudy,2.805578
Mexico,Mexico City,2025-04-25 02:45:00,18.2,42,1024.0,Partly cloudy,1.0000080000000002
Mexico,Mexico City,2025-04-26 03:00:00,16.1,48,1025.0,Clear,1.0000080000000002
Mexico,Mexico City,2025-04-27 02:45:00,17.4,64,1016.0,Clear,2.3889080000000003
Mexico,Mexico City,2025-04-28 03:30:00,16.1,29,1027.0,Clear,1.694458
Mexico,Mexico City,2025-04-29 02:45:00,15.2,55,1026.0,Clear,1.0000080000000002
Mexico,Mexico City,2025-04-30 02:45:00,16.1,55,1024.0,Partly cloudy,1.8889040000000001
