Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
Micronesia,Palikir,2024-08-01 23:15:00,28.5,69,1012.0,Cloudy,2.0000160000000005
Micronesia,Palikir,2024-08-02 23:30:00,28.6,74,1011.0,Partly Cloudy,2.50002
Micronesia,Palikir,2024-08-03 23:30:00,28.7,72,1011.0,Patchy rain nearby,1.694458
Micronesia,Palikir,2024-08-04 23:30:00,29.1,70,1012.0,Partly Cloudy,4.3055900000000005
Micronesia,Palikir,2024-08-05 23:30:00,29.0,74,1012.0,Patchy rain nearby,4.3055900000000005
Micronesia,Palikir,2024-08-06 23:15:00,28.8,73,1013.0,Patchy rain nearby,3.6944740000000005
Micronesia,Palikir,2024-08-07 23:00:00,29.0,68,1012.0,Partly Cloudy,1.3889
Micronesia,Palikir,2024-08-08 23:15:00,29.0,72,1010.0,Partly Cloudy,3.5000280000000004
Micronesia,Palikir,2024-08-09 23:30:00,28.9,69,1010.0,Patchy rain nearby,1.8055700000000001
Micronesia,Palikir,2024-08-10 23:30:00,28.8,67,1009.0,Clear,1.0000080000000002
Micronesia,Palikir,2024-08-11 23:15:00,28.9,70,1010.0,Patchy rain nearby,1.0000080000000002
Micronesia,Palikir,2024-08-12 23:30:00,28.7,74,1010.0,Patchy rain nearby,3.6944740000000005
Micronesia,Palikir,2024-08-13 23:45:00,29.0,73,1010.0,Patchy rain nearby,3.5000280000000004
Micronesia,Palikir,2024-08-14 23:30:00,26.3,94,1012.0,Partly cloudy,1.0000080000000002
Micronesia,Palikir,2024-08-15 23:15:00,26.2,94,1012.0,Partly cloudy,1.694458
Micronesia,Palikir,2024-08-16 23:15:00,25.1,100,1011.0,Overcast,1.0000080000000002
Micronesia,Palikir,2024-08-17 23:15:00,26.1,94,1012.0,Partly cloudy,1.694458
Micronesia,Palikir,2024-08-18 23:00:00,25.2,94,1012.0,Overcast,1.694458
Micronesia,Palikir,2024-08-19 23:30:00,26.3,94,1014.0,Partly cloudy,1.0000080000000002
Micronesia,Palikir,2024-08-20 23:15:00,26.1,94,1012.0,Overcast,1.0000080000000002
Micronesia,Palikir,2024-08-21 23:15:00,24.1,100,1013.0,Partly cloudy,1.8889040000000001
Micronesia,Palikir,2024-08-22 23:00:00,26.4,94,1012.0,Partly cloudy,1.8889040000000001
Micronesia,Palikir,2024-08-23 23:15:00,26.4,94,1011.0,Partly cloudy,1.8889040000000001
Micronesia,Palikir,2024-08-24 23:00:00,27.2,89,1010.0,Overcast,1.694458
Micronesia,Palikir,2024-08-25 23:00:00,25.4,100,1011.0,Overcast,1.694458
Micronesia,Palikir,2024-08-26 23:15:00,26.3,94,1011.0,Partly cloudy,1.11112
Micronesia,Palikir,2024-08-27 23:15:00,25.2,94,1012.0,Partly cloudy,1.694458
Micronesia,Palikir,2024-08-28 23:30:00,26.2,94,1013.0,Light rain,1.694458
Micronesia,Palikir,2024-08-29 23:00:00,27.3,84,1011.0,Partly cloudy,1.694458
Micronesia,Palikir,2024-08-30 23:15:00,26.2,94,1012.0,Overcast,1.8889040000000001
Micronesia,Palikir,2024-08-31 23:00:00,27.4,89,1011.0,Overcast,2.50002
