Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
Monaco,Monaco,2025-02-01 11:30:00,12.0,71,1022.0,Partly cloudy,6.194494000000001
Monaco,Monaco,2025-02-02 11:15:00,11.4,66,1018.0,Sunny,2.194462
Monaco,Monaco,2025-02-03 11:30:00,12.3,50,1021.0,Sunny,1.0000080000000002
Monaco,Monaco,2025-02-04 11:30:00,12.0,50,1026.0,Partly cloudy,1.8055700000000001
Monaco,Monaco,2025-02-05 11:30:00,12.3,58,1031.0,Sunny,1.0000080000000002
Monaco,Monaco,2025-02-06 11:30:00,13.1,44,1030.0,Sunny,1.0000080000000002
Monaco,Monaco,2025-02-07 11:30:00,10.4,50,1027.0,Partly cloudy,3.6111400000000002
Monaco,Monaco,2025-02-08 11:30:00,13.2,62,1023.0,Partly cloudy,5.305598000000001
Monaco,Monaco,2025-02-09 11:30:00,13.3,51,1025.0,Sunny,1.8055700000000001
Monaco,Monaco,2025-02-10 11:15:00,14.2,72,1025.0,Partly cloudy,1.0000080000000002
Monaco,Monaco,2025-02-11 11:15:00,13.1,82,1024.0,Partly cloudy,1.611124
Monaco,Monaco,2025-02-12 11:30:00,13.2,82,1020.0,Partly cloudy,2.3889080000000003
Monaco,Monaco,2025-02-13 11:15:00,13.3,72,1018.0,Partly cloudy,1.0000080000000002
Monaco,Monaco,2025-02-14 11:00:00,12.4,67,1007.0,Sunny,1.0000080000000002
Monaco,Monaco,2025-02-15 11:15:00,11.2,35,1016.0,Sunny,1.0000080000000002
Monaco,Monaco,2025-02-16 11:15:00,12.1,54,1014.0,Partly cloudy,1.0000080000000002
Monaco,Monaco,2025-02-17 11:15:00,12.2,58,1016.0,Partly cloudy,1.5000120000000003
Monaco,Monaco,2025-02-18 11:15:00,12.2,71,1019.0,Partly cloudy,2.50002
Monaco,Monaco,2025-02-19 11:15:00,12.2,67,1025.0,Partly cloudy,2.6111320000000005
Monaco,Monaco,2025-02-20 11:00:00,12.0,62,1027.0,Partly cloudy,1.3055660000000002
Monaco,Monaco,2025-02-21 11:00:00,12.2,62,1029.0,Partly cloudy,3.3055820000000002
Monaco,Monaco,2025-02-22 11:15:00,12.1,82,1026.0,Partly cloudy,1.611124
Monaco,Monaco,2025-02-23 11:15:00,14.3,77,1029.0,Partly cloudy,1.3055660000000002
Monaco,Monaco,2025-02-24 11:00:00,14.1,72,1028.0,Partly cloudy,1.1944540000000001
Monaco,Monaco,2025-02-25 11:00:00,13.1,82,1020.0,Partly cloudy,2.0000160000000005
Monaco,Monaco,2025-02-26 11:00:00,14.0,44,1013.0,Partly cloudy,1.694458
Monaco,Monaco,2025-02-27 10:45:00,14.4,63,1017.0,Sunny,1.0000080000000002
Monaco,Monaco,2025-02-28 11:00:00,14.1,55,1019.0,Partly cloudy,1.1944540000000001
