Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
Mongolia,Ulaanbaatar,2024-06-01 22:30:00,11.0,43,1019.0,Partly cloudy,1.0000080000000002
Mongolia,Ulaanbaatar,2024-06-02 22:00:00,14.0,72,1017.0,Partly cloudy,5.305598000000001
Mongolia,Ulaanbaatar,2024-06-03 22:15:00,18.0,37,1014.0,Partly cloudy,3.111136
Mongolia,Ulaanbaatar,2024-06-04 22:15:00,20.0,26,1008.0,Partly cloudy,6.111160000000001
Mongolia,Ulaanbaatar,2024-06-05 22:15:00,8.0,76,1013.0,Partly cloudy,5.305598000000001
Mongolia,Ulaanbaatar,2024-06-06 22:00:00,10.0,62,1013.0,Partly cloudy,1.0000080000000002
Mongolia,Ulaanbaatar,2024-06-07 22:00:00,17.4,42,1010.0,Partly cloudy,1.0000080000000002
Mongolia,Ulaanbaatar,2024-06-08 22:15:00,16.3,48,1010.0,Partly cloudy,1.0000080000000002
Mongolia,Ulaanbaatar,2024-06-09 22:15:00,22.4,25,1004.0,Partly cloudy,4.194478
Mongolia,Ulaanbaatar,2024-06-10 22:15:00,18.3,56,1008.0,Partly cloudy,3.111136
Mongolia,Ulaanbaatar,2024-06-11 22:00:00,19.3,46,1006.0,Partly cloudy,3.111136
Mongolia,Ulaanbaatar,2024-06-12 22:15:00,13.2,54,1011.0,Partly cloudy,4.194478
Mongolia,Ulaanbaatar,2024-06-13 22:00:00,14.2,51,1014.0,Partly cloudy,4.194478
Mongolia,Ulaanbaatar,2024-06-14 22:00:00,16.2,45,1016.0,Partly cloudy,1.0000080000000002
Mongolia,Ulaanbaatar,2024-06-15 22:00:00,13.7,54,1011.0,Clear,1.0000080000000002
Mongolia,Ulaanbaatar,2024-06-16 21:45:00,25.1,24,1008.0,Partly cloudy,1.0000080000000002
Mongolia,Ulaanbaatar,2024-06-17 22:00:00,15.7,62,1000.0,Clear,2.0000160000000005
Mongolia,Ulaanbaatar,2024-06-18 22:00:00,15.3,63,1002.0,Moderate or heavy rain with thunder,8.611180000000001
Mongolia,Ulaanbaatar,2024-06-19 21:45:00,11.9,90,1000.0,Patchy rain nearby,1.5000120000000003
Mongolia,Ulaanbaatar,2024-06-20 21:45:00,6.4,96,1001.0,Moderate rain,4.694482
Mongolia,Ulaanbaatar,2024-06-21 21:45:00,5.3,81,1007.0,Light rain,8.611180000000001
Mongolia,Ulaanbaatar,2024-06-22 21:45:00,10.2,82,1016.0,Partly cloudy,3.111136
Mongolia,Ulaanbaatar,2024-06-23 21:45:00,16.3,72,1016.0,Partly cloudy,1.0000080000000002
Mongolia,Ulaanbaatar,2024-06-24 21:45:00,19.3,49,1012.0,Light rain,1.0000080000000002
Mongolia,Ulaanbaatar,2024-06-25 21:15:00,12.2,79,1010.0,Clear,1.8889040000000001
Mongolia,Ulaanbaatar,2024-06-26 21:30:00,23.2,44,1009.0,Partly cloudy,1.0000080000000002
Mongolia,Ulaanbaatar,2024-06-27 21:15:00,14.4,72,1010.0,Partly cloudy,3.111136
Mongolia,Ulaanbaatar,2024-06-28 21:15:00,15.0,77,1008.0,Overcast,4.194478
Mongolia,Ulaanbaatar,2024-06-29 20:45:00,20.2,53,1010.0,Light rain,4.194478
Mongolia,Ulaanbaatar,2024-06-30 21:30:00,17.2,68,1012.0,Partly cloudy,1.0000080000000002
