Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
Montenegro,Podgorica,2025-02-01 11:30:00,13.2,72,1028.0,Sunny,1.0000080000000002
Montenegro,Podgorica,2025-02-02 11:15:00,10.0,82,1022.0,Partly cloudy,1.0000080000000002
Montenegro,Podgorica,2025-02-03 11:30:00,12.2,88,1019.0,Partly cloudy,2.50002
Montenegro,Podgorica,2025-02-04 11:30:00,10.3,32,1025.0,Sunny,2.6111320000000005
Montenegro,Podgorica,2025-02-05 11:30:00,10.1,40,1030.0,Sunny,1.0000080000000002
Montenegro,Podgorica,2025-02-06 11:15:00,11.3,43,1030.0,Sunny,1.1944540000000001
Montenegro,Podgorica,2025-02-07 11:30:00,9.1,43,1033.0,Partly cloudy,1.694458
Montenegro,Podgorica,2025-02-08 11:30:00,11.3,47,1031.0,Partly cloudy,1.3055660000000002
Montenegro,Podgorica,2025-02-09 11:30:00,10.4,50,1029.0,Sunny,1.1944540000000001
Montenegro,Podgorica,2025-02-10 11:30:00,9.4,50,1027.0,Sunny,1.1944540000000001
Montenegro,Podgorica,2025-02-11 11:30:00,10.1,50,1027.0,Partly cloudy,1.5000120000000003
Montenegro,Podgorica,2025-02-12 11:15:00,9.4,57,1027.0,Partly cloudy,1.0000080000000002
Montenegro,Podgorica,2025-02-13 11:15:00,8.2,93,1023.0,Overcast,1.0000080000000002
Montenegro,Podgorica,2025-02-14 11:00:00,9.1,100,1015.0,Light rain,1.3889
Montenegro,Podgorica,2025-02-15 11:15:00,10.2,71,1015.0,Partly cloudy,2.805578
Montenegro,Podgorica,2025-02-16 11:15:00,11.2,54,1013.0,Partly cloudy,1.0000080000000002
Montenegro,Podgorica,2025-02-17 11:15:00,10.2,71,1016.0,Partly cloudy,1.0000080000000002
Montenegro,Podgorica,2025-02-18 11:15:00,9.3,50,1021.0,Sunny,1.0000080000000002
Montenegro,Podgorica,2025-02-19 11:15:00,6.4,26,1028.0,Sunny,3.5000280000000004
Montenegro,Podgorica,2025-02-20 11:00:00,5.0,26,1030.0,Sunny,1.0000080000000002
Montenegro,Podgorica,2025-02-21 11:00:00,7.4,29,1032.0,Sunny,1.0000080000000002
Montenegro,Podgorica,2025-02-22 11:15:00,8.3,29,1031.0,Sunny,1.3889
Montenegro,Podgorica,2025-02-23 11:15:00,8.2,53,1032.0,Partly cloudy,1.3889
Montenegro,Podgorica,2025-02-24 11:00:00,11.2,58,1030.0,Partly cloudy,1.0000080000000002
Montenegro,Podgorica,2025-02-25 11:00:00,10.4,94,1024.0,Partly cloudy,1.5000120000000003
Montenegro,Podgorica,2025-02-26 11:00:00,10.1,100,1020.0,Light rain,1.0000080000000002
Montenegro,Podgorica,2025-02-27 10:45:00,11.1,100,1017.0,Light rain,1.8055700000000001
Montenegro,Podgorica,2025-02-28 11:00:00,13.3,88,1019.0,Partly cloudy,1.694458
