Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
Morocco,Rabat,2024-08-01 13:15:00,25.0,71,1015.0,Sunny,4.3055900000000005
Morocco,Rabat,2024-08-02 13:30:00,25.2,68,1015.0,Sunny,3.8889200000000006
Morocco,Rabat,2024-08-03 13:30:00,26.4,63,1013.0,Sunny,4.694482
Morocco,Rabat,2024-08-04 13:30:00,26.5,60,1012.0,Sunny,4.388924
Morocco,Rabat,2024-08-05 13:30:00,25.9,62,1012.0,Sunny,3.8055860000000004
Morocco,Rabat,2024-08-06 13:15:00,25.2,63,1011.0,Sunny,4.3055900000000005
Morocco,Rabat,2024-08-07 13:00:00,25.4,69,1012.0,Sunny,3.8889200000000006
Morocco,Rabat,2024-08-08 13:15:00,24.8,70,1016.0,Sunny,4.388924
Morocco,Rabat,2024-08-09 13:30:00,25.3,68,1015.0,Sunny,4.694482
Morocco,Rabat,2024-08-10 13:30:00,26.1,67,1013.0,Sunny,3.8055860000000004
Morocco,Rabat,2024-08-11 13:15:00,26.1,71,1013.0,Sunny,4.194478
Morocco,Rabat,2024-08-12 13:30:00,25.0,71,1014.0,Sunny,3.5000280000000004
Morocco,Rabat,2024-08-13 13:45:00,25.1,70,1015.0,Sunny,5.111152
Morocco,Rabat,2024-08-14 13:30:00,26.3,61,1015.0,Sunny,4.194478
Morocco,Rabat,2024-08-15 13:15:00,26.2,70,1010.0,Sunny,6.111160000000001
Morocco,Rabat,2024-08-16 13:15:00,35.1,27,1009.0,Sunny,6.111160000000001
Morocco,Rabat,2024-08-17 13:15:00,34.3,28,1009.0,Sunny,5.611156
Morocco,Rabat,2024-08-18 13:00:00,28.3,66,1012.0,Sunny,4.194478
Morocco,Rabat,2024-08-19 13:30:00,26.4,79,1014.0,Sunny,3.6111400000000002
Morocco,Rabat,2024-08-20 13:15:00,26.2,74,1013.0,Partly cloudy,3.111136
Morocco,Rabat,2024-08-21 13:15:00,27.2,70,1014.0,Sunny,3.6111400000000002
Morocco,Rabat,2024-08-22 13:00:00,24.2,74,1018.0,Overcast,1.8889040000000001
Morocco,Rabat,2024-08-23 13:15:00,25.1,61,1013.0,Sunny,4.194478
Morocco,Rabat,2024-08-24 13:00:00,26.1,74,1013.0,Partly cloudy,3.6111400000000002
Morocco,Rabat,2024-08-25 13:00:00,27.1,74,1014.0,Partly cloudy,4.194478
Morocco,Rabat,2024-08-26 13:15:00,26.4,70,1015.0,Sunny,3.6111400000000002
Morocco,Rabat,2024-08-27 13:15:00,26.2,65,1014.0,Partly cloudy,3.111136
Morocco,Rabat,2024-08-28 13:30:00,26.3,58,1013.0,Partly cloudy,3.111136
Morocco,Rabat,2024-08-29 13:00:00,24.4,78,1013.0,Partly cloudy,3.6111400000000002
Morocco,Rabat,2024-08-30 13:15:00,26.3,70,1011.0,Partly cloudy,5.305598000000001
Morocco,Rabat,2024-08-31 13:00:00,27.4,79,1012.0,Partly cloudy,3.111136
