Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
Mozambique,Maputo,2025-04-01 11:30:00,30.3,59,1014.0,Partly cloudy,3.0000240000000007
Mozambique,Maputo,2025-04-02 11:00:00,28.3,70,1016.0,Partly cloudy,3.388916
Mozambique,Maputo,2025-04-03 11:00:00,26.3,74,1023.0,Partly cloudy,5.194486
Mozambique,Maputo,2025-04-04 11:15:00,25.4,74,1020.0,Partly cloudy,2.194462
Mozambique,Maputo,2025-04-05 11:00:00,25.1,79,1016.0,Partly cloudy,3.388916
Mozambique,Maputo,2025-04-06 11:00:00,25.1,69,1018.0,Partly cloudy,2.805578
Mozambique,Maputo,2025-04-07 11:00:00,29.3,66,1017.0,Partly cloudy,1.611124
Mozambique,Maputo,2025-04-08 11:15:00,30.3,66,1013.0,Partly cloudy,1.8889040000000001
Mozambique,Maputo,2025-04-09 11:15:00,30.4,66,1011.0,Partly cloudy,2.8889120000000004
Mozambique,Maputo,2025-04-10 11:15:00,29.1,58,1014.0,Partly cloudy,4.611148000000001
Mozambique,Maputo,2025-04-11 11:15:00,26.2,65,1019.0,Partly cloudy,4.388924
Mozambique,Maputo,2025-04-12 11:15:00,27.1,58,1018.0,Partly cloudy,1.5000120000000003
Mozambique,Maputo,2025-04-13 11:00:00,27.3,62,1018.0,Sunny,3.111136
Mozambique,Maputo,2025-04-14 11:30:00,33.3,39,1014.0,Sunny,3.3055820000000002
Mozambique,Maputo,2025-04-15 11:15:00,25.1,69,1020.0,Partly cloudy,4.111144
Mozambique,Maputo,2025-04-16 11:00:00,21.1,83,1018.0,Moderate or heavy rain with thunder,1.0000080000000002
Mozambique,Maputo,2025-04-17 10:45:00,23.1,61,1021.0,Partly cloudy,6.194494000000001
Mozambique,Maputo,2025-04-18 11:15:00,26.3,54,1023.0,Partly cloudy,4.694482
Mozambique,Maputo,2025-04-19 11:00:00,25.3,51,1021.0,Partly Cloudy,2.805578
Mozambique,Maputo,2025-04-20 11:00:00,25.4,61,1016.0,Sunny,1.8889040000000001
Mozambique,Maputo,2025-04-21 11:15:00,28.3,55,1013.0,Sunny,2.3889080000000003
Mozambique,Maputo,2025-04-22 11:00:00,29.0,58,1015.0,Sunny,1.694458
Mozambique,Maputo,2025-04-23 11:00:00,25.3,69,1019.0,Partly cloudy,3.6944740000000005
Mozambique,Maputo,2025-04-24 11:00:00,21.2,88,1020.0,Partly cloudy,1.3889
Mozambique,Maputo,2025-04-25 11:00:00,23.4,69,1018.0,Partly cloudy,2.6111320000000005
Mozambique,Maputo,2025-04-26 11:00:00,25.4,54,1020.0,Sunny,5.500044000000001
Mozambique,Maputo,2025-04-27 10:45:00,26.1,65,1019.0,Partly Cloudy,5.194486
Mozambique,Maputo,2025-04-28 11:30:00,26.1,65,1018.0,Partly cloudy,7.000056000000001
Mozambique,Maputo,2025-04-29 10:45:00,22.2,94,1015.0,Light rain,5.694490000000001
Mozambique,Maputo,2025-04-30 10:45:00,24.0,83,1011.0,Partly cloudy,2.3889080000000003
