Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
Myanmar,Yangon,2024-12-01 17:00:00,29.2,75,1007.0,Partly cloudy,1.0000080000000002
Myanmar,Yangon,2024-12-02 17:15:00,28.3,64,1008.0,Sunny,2.194462
Myanmar,Yangon,2024-12-03 17:15:00,27.9,68,1008.0,Sunny,2.805578
Myanmar,Yangon,2024-12-04 16:45:00,32.0,67,1007.0,Sunny,1.8889040000000001
Myanmar,Yangon,2024-12-05 17:00:00,32.1,67,1008.0,Partly cloudy,1.5000120000000003
Myanmar,Yangon,2024-12-06 17:00:00,27.9,49,1007.0,Sunny,2.6111320000000005
Myanmar,Yangon,2024-12-07 17:15:00,28.0,58,1008.0,Sunny,2.50002
Myanmar,Yangon,2024-12-08 17:00:00,29.1,60,1008.0,Sunny,1.8889040000000001
Myanmar,Yangon,2024-12-09 17:30:00,31.1,79,1009.0,Partly cloudy,2.50002
Myanmar,Yangon,2024-12-10 17:30:00,31.2,71,1007.0,Mist,2.805578
Myanmar,Yangon,2024-12-11 17:00:00,27.4,62,1007.0,Sunny,2.6944660000000002
Myanmar,Yangon,2024-12-12 17:15:00,28.8,59,1007.0,Sunny,1.8055700000000001
Myanmar,Yangon,2024-12-13 17:45:00,30.2,75,1008.0,Partly cloudy,2.111128
Myanmar,Yangon,2024-12-14 17:30:00,30.3,75,1011.0,Mist,2.0000160000000005
Myanmar,Yangon,2024-12-15 16:45:00,30.0,75,1012.0,Partly cloudy,3.3055820000000002
Myanmar,Yangon,2024-12-16 17:15:00,31.2,66,1011.0,Partly cloudy,2.0000160000000005
Myanmar,Yangon,2024-12-17 17:15:00,27.9,66,1010.0,Patchy rain nearby,1.694458
Myanmar,Yangon,2024-12-18 17:00:00,32.2,63,1009.0,Partly cloudy,2.194462
Myanmar,Yangon,2024-12-19 17:00:00,28.5,54,1010.0,Sunny,1.0000080000000002
Myanmar,Yangon,2024-12-20 17:15:00,27.5,57,1009.0,Sunny,2.8889120000000004
Myanmar,Yangon,2024-12-21 17:15:00,26.9,60,1009.0,Sunny,2.111128
Myanmar,Yangon,2024-12-22 16:45:00,29.3,44,1009.0,Sunny,3.0000240000000007
Myanmar,Yangon,2024-12-23 17:15:00,27.3,57,1009.0,Sunny,2.3889080000000003
Myanmar,Yangon,2024-12-24 17:45:00,27.1,56,1011.0,Sunny,2.194462
Myanmar,Yangon,2024-12-25 16:45:00,31.4,38,1010.0,Sunny,1.3055660000000002
Myanmar,Yangon,2024-12-26 16:30:00,31.6,37,1012.0,Sunny,2.6944660000000002
Myanmar,Yangon,2024-12-27 16:30:00,32.1,67,1013.0,Sunny,1.3889
Myanmar,Yangon,2024-12-28 16:45:00,33.0,36,1011.0,Sunny,1.8055700000000001
Myanmar,Yangon,2024-12-29 16:45:00,32.4,67,1011.0,Partly cloudy,1.0000080000000002
Myanmar,Yangon,2024-12-30 16:30:00,33.0,59,1011.0,Partly cloudy,2.111128
Myanmar,Yangon,2024-12-31 17:00:00,31.2,66,1010.0,Partly cloudy,1.8889040000000001
