Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
Namibia,Windhoek,2024-05-16 10:45:00,20.0,40,1033.0,Sunny,3.111136
Namibia,Windhoek,2024-05-16 16:00:00,24.0,24,1029.0,Sunny,5.611156
Namibia,Windhoek,2024-05-17 18:00:00,25.0,19,1027.0,Sunny,4.194478
Namibia,Windhoek,2024-05-18 16:30:00,26.0,18,1026.0,Sunny,4.194478
Namibia,Windhoek,2024-05-19 16:15:00,26.0,16,1026.0,Sunny,4.694482
Namibia,Windhoek,2024-05-20 16:45:00,26.0,16,1026.0,Sunny,6.111160000000001
Namibia,Windhoek,2024-05-21 16:45:00,25.0,17,1027.0,Sunny,2.50002
Namibia,Windhoek,2024-05-22 16:15:00,25.0,18,1025.0,Sunny,6.111160000000001
Namibia,Windhoek,2024-05-23 16:00:00,25.0,19,1025.0,Sunny,5.305598000000001
Namibia,Windhoek,2024-05-24 16:30:00,25.0,18,1025.0,Sunny,1.8889040000000001
Namibia,Windhoek,2024-05-25 16:00:00,24.0,19,1026.0,Sunny,2.50002
Namibia,Windhoek,2024-05-26 16:00:00,24.0,24,1027.0,Sunny,3.6111400000000002
Namibia,Windhoek,2024-05-27 16:30:00,24.0,19,1027.0,Sunny,1.694458
Namibia,Windhoek,2024-05-28 16:30:00,25.0,19,1027.0,Sunny,3.111136
Namibia,Windhoek,2024-05-29 16:00:00,24.0,21,1024.0,Sunny,2.50002
Namibia,Windhoek,2024-05-30 16:00:00,24.0,21,1021.0,Sunny,5.305598000000001
Namibia,Windhoek,2024-05-31 16:15:00,24.0,21,1019.0,Sunny,6.111160000000001
