Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
Nepal,Kathmandu,2025-02-01 16:15:00,20.1,37,1015.0,Partly cloudy,2.8889120000000004
Nepal,Kathmandu,2025-02-02 16:00:00,21.0,26,1014.0,Partly cloudy,2.50002
Nepal,Kathmandu,2025-02-03 16:15:00,19.3,43,1015.0,Partly cloudy,2.6111320000000005
Nepal,Kathmandu,2025-02-04 16:15:00,21.1,40,1016.0,Partly cloudy,1.3889
Nepal,Kathmandu,2025-02-05 16:15:00,22.2,31,1014.0,Partly cloudy,3.6111400000000002
Nepal,Kathmandu,2025-02-06 16:00:00,22.3,25,1014.0,Partly cloudy,3.0000240000000007
Nepal,Kathmandu,2025-02-07 16:15:00,21.0,16,1015.0,Partly cloudy,3.0000240000000007
Nepal,Kathmandu,2025-02-08 16:15:00,17.2,55,1015.0,Partly cloudy,2.8889120000000004
Nepal,Kathmandu,2025-02-09 16:15:00,19.3,46,1014.0,Partly cloudy,2.6944660000000002
Nepal,Kathmandu,2025-02-10 16:15:00,20.4,43,1015.0,Partly cloudy,3.0000240000000007
Nepal,Kathmandu,2025-02-11 16:00:00,21.4,25,1014.0,Partly cloudy,3.6111400000000002
Nepal,Kathmandu,2025-02-12 16:00:00,18.1,42,1013.0,Partly cloudy,3.111136
Nepal,Kathmandu,2025-02-13 16:00:00,19.3,40,1011.0,Partly cloudy,3.0000240000000007
Nepal,Kathmandu,2025-02-14 15:45:00,18.4,52,1010.0,Mist,3.5000280000000004
Nepal,Kathmandu,2025-02-15 16:00:00,16.3,55,1014.0,Mist,3.1944700000000004
Nepal,Kathmandu,2025-02-16 16:00:00,17.2,52,1014.0,Partly cloudy,2.8889120000000004
Nepal,Kathmandu,2025-02-17 16:00:00,19.1,46,1017.0,Partly cloudy,3.3055820000000002
Nepal,Kathmandu,2025-02-18 16:00:00,18.1,52,1016.0,Partly cloudy,3.3055820000000002
Nepal,Kathmandu,2025-02-19 16:00:00,20.2,43,1015.0,Partly cloudy,3.0000240000000007
Nepal,Kathmandu,2025-02-20 15:45:00,19.4,49,1018.0,Partly cloudy,3.3055820000000002
Nepal,Kathmandu,2025-02-21 15:45:00,20.4,40,1017.0,Partly cloudy,3.6111400000000002
Nepal,Kathmandu,2025-02-22 15:45:00,21.0,28,1018.0,Partly cloudy,3.6944740000000005
Nepal,Kathmandu,2025-02-23 15:45:00,19.2,37,1019.0,Partly cloudy,2.50002
Nepal,Kathmandu,2025-02-24 15:45:00,19.1,49,1019.0,Partly cloudy,2.50002
Nepal,Kathmandu,2025-02-25 15:45:00,19.2,52,1021.0,Partly cloudy,3.1944700000000004
Nepal,Kathmandu,2025-02-26 15:45:00,20.4,49,1020.0,Partly cloudy,2.50002
Nepal,Kathmandu,2025-02-27 15:30:00,19.1,60,1017.0,Partly cloudy,3.111136
Nepal,Kathmandu,2025-02-28 15:45:00,19.2,52,1019.0,Partly cloudy,2.0000160000000005
