Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
Netherlands,Amsterdam,2024-07-01 15:15:00,18.2,64,1016.0,Partly cloudy,7.194502
Netherlands,Amsterdam,2024-07-02 15:15:00,17.2,63,1015.0,Partly cloudy,7.194502
Netherlands,Amsterdam,2024-07-03 15:00:00,15.2,77,1009.0,Partly cloudy,4.694482
Netherlands,Amsterdam,2024-07-04 15:00:00,16.4,59,1008.0,Partly cloudy,8.305622
Netherlands,Amsterdam,2024-07-05 14:45:00,16.2,94,1008.0,Light rain,5.611156
Netherlands,Amsterdam,2024-07-06 15:15:00,15.0,82,999.0,Light rain shower,15.611236000000002
Netherlands,Amsterdam,2024-07-07 15:00:00,18.1,73,1012.0,Light rain shower,7.194502
Netherlands,Amsterdam,2024-07-08 15:00:00,20.4,64,1017.0,Partly cloudy,1.0000080000000002
Netherlands,Amsterdam,2024-07-09 14:45:00,25.0,57,1012.0,Sunny,4.694482
Netherlands,Amsterdam,2024-07-10 15:00:00,21.2,60,1014.0,Partly cloudy,8.611180000000001
Netherlands,Amsterdam,2024-07-11 14:45:00,20.3,56,1017.0,Partly cloudy,5.611156
Netherlands,Amsterdam,2024-07-12 15:00:00,14.4,88,1012.0,Patchy rain possible,5.611156
Netherlands,Amsterdam,2024-07-13 15:00:00,16.3,83,1010.0,Light rain shower,7.6945060000000005
Netherlands,Amsterdam,2024-07-14 15:15:00,20.1,64,1011.0,Partly cloudy,9.194518
Netherlands,Amsterdam,2024-07-15 15:00:00,23.3,50,1010.0,Partly cloudy,3.6111400000000002
Netherlands,Amsterdam,2024-07-16 14:45:00,17.2,88,1010.0,Light rain shower,6.694498000000001
Netherlands,Amsterdam,2024-07-17 14:45:00,21.3,69,1020.0,Partly cloudy,5.611156
Netherlands,Amsterdam,2024-07-18 14:45:00,25.2,54,1022.0,Partly cloudy,1.0000080000000002
Netherlands,Amsterdam,2024-07-19 14:30:00,26.2,61,1018.0,Sunny,3.111136
Netherlands,Amsterdam,2024-07-20 14:45:00,29.3,48,1008.0,Sunny,3.6111400000000002
Netherlands,Amsterdam,2024-07-24 14:45:00,21.0,47,1021.0,Partly Cloudy,3.8055860000000004
Netherlands,Amsterdam,2024-07-25 14:15:00,18.7,86,1013.0,Patchy rain nearby,3.6944740000000005
Netherlands,Amsterdam,2024-07-26 14:30:00,20.8,59,1011.0,Partly Cloudy,5.305598000000001
Netherlands,Amsterdam,2024-07-27 14:30:00,22.6,49,1013.0,Partly Cloudy,3.388916
Netherlands,Amsterdam,2024-07-28 14:45:00,22.3,47,1026.0,Sunny,3.6111400000000002
Netherlands,Amsterdam,2024-07-29 14:15:00,24.7,46,1022.0,Sunny,2.50002
Netherlands,Amsterdam,2024-07-30 14:15:00,27.5,46,1016.0,Sunny,2.3889080000000003
Netherlands,Amsterdam,2024-07-31 14:15:00,24.6,47,1015.0,Sunny,3.388916
