Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
New Zealand,Wellington,2024-12-01 23:45:00,16.2,82,1023.0,Partly cloudy,5.694490000000001
New Zealand,Wellington,2024-12-02 23:45:00,18.3,88,1022.0,Partly cloudy,9.611188000000002
New Zealand,Wellington,2024-12-03 23:45:00,18.3,88,1016.0,Partly cloudy,10.888976000000001
New Zealand,Wellington,2024-12-04 23:30:00,18.4,88,1012.0,Partly cloudy,8.88896
New Zealand,Wellington,2024-12-05 23:30:00,16.1,77,1007.0,Clear,2.3889080000000003
New Zealand,Wellington,2024-12-06 23:45:00,12.7,79,1016.0,Clear,3.3055820000000002
New Zealand,Wellington,2024-12-07 23:45:00,17.1,77,1013.0,Clear,6.805610000000001
New Zealand,Wellington,2024-12-08 23:30:00,17.0,100,999.0,Light rain,16.194574
New Zealand,Wellington,2024-12-09 23:45:00,16.3,72,1006.0,Clear,3.3055820000000002
New Zealand,Wellington,2024-12-11 00:30:00,16.1,72,1010.0,Clear,8.611180000000001
New Zealand,Wellington,2024-12-11 23:30:00,17.3,83,1010.0,Overcast,9.888968000000002
New Zealand,Wellington,2024-12-13 00:00:00,16.1,88,1002.0,Partly cloudy,8.194510000000001
New Zealand,Wellington,2024-12-13 23:30:00,18.2,83,1013.0,Overcast,9.805634
New Zealand,Wellington,2024-12-15 00:00:00,18.1,83,1014.0,Clear,9.805634
New Zealand,Wellington,2024-12-15 23:30:00,19.1,78,1014.0,Partly cloudy,10.194526000000002
New Zealand,Wellington,2024-12-16 23:15:00,14.4,88,1014.0,Light rain,12.388988000000001
New Zealand,Wellington,2024-12-18 00:15:00,13.1,54,1018.0,Overcast,6.6111640000000005
New Zealand,Wellington,2024-12-18 23:30:00,14.1,82,1012.0,Overcast,7.194502
New Zealand,Wellington,2024-12-19 23:30:00,13.8,96,1004.0,Light drizzle,12.000096000000003
New Zealand,Wellington,2024-12-20 23:45:00,12.9,93,1003.0,Partly Cloudy,2.6111320000000005
New Zealand,Wellington,2024-12-21 23:45:00,14.8,92,999.0,Light rain shower,8.805626
New Zealand,Wellington,2024-12-22 23:15:00,15.7,92,1000.0,Partly Cloudy,6.805610000000001
New Zealand,Wellington,2024-12-23 23:45:00,15.8,93,1003.0,Patchy rain nearby,6.805610000000001
New Zealand,Wellington,2024-12-24 23:45:00,14.4,90,1003.0,Clear,7.111168000000001
New Zealand,Wellington,2024-12-25 23:15:00,15.9,85,997.0,Patchy rain nearby,2.805578
New Zealand,Wellington,2024-12-26 23:30:00,14.6,96,999.0,Light rain,12.611212
New Zealand,Wellington,2024-12-27 23:00:00,14.3,77,1009.0,Partly cloudy,9.388964
New Zealand,Wellington,2024-12-28 23:15:00,15.2,88,1010.0,Clear,3.6944740000000005
New Zealand,Wellington,2024-12-29 22:45:00,19.0,78,1006.0,Partly cloudy,8.111176
New Zealand,Wellington,2024-12-30 23:30:00,15.3,82,1002.0,Overcast,14.889008000000002
New Zealand,Wellington,2024-12-31 23:15:00,14.4,82,1005.0,Partly cloudy,10.111192
