Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
Nicaragua,Managua,2024-05-16 02:45:00,27.2,80,1009.0,Patchy rain nearby,1.611124
Nicaragua,Managua,2024-05-16 08:15:00,28.0,84,1010.0,Overcast,1.8889040000000001
Nicaragua,Managua,2024-05-17 10:00:00,30.0,84,1011.0,Partly cloudy,1.8889040000000001
Nicaragua,Managua,2024-05-18 08:30:00,29.0,79,1012.0,Partly cloudy,3.111136
Nicaragua,Managua,2024-05-19 08:15:00,31.0,63,1012.0,Partly cloudy,3.111136
Nicaragua,Managua,2024-05-20 08:45:00,29.0,89,1010.0,Partly cloudy,1.8889040000000001
Nicaragua,Managua,2024-05-21 08:45:00,29.0,89,1009.0,Partly cloudy,1.8889040000000001
Nicaragua,Managua,2024-05-22 08:15:00,30.0,79,1011.0,Partly cloudy,1.0000080000000002
Nicaragua,Managua,2024-05-23 08:00:00,28.0,94,1012.0,Partly cloudy,1.8889040000000001
Nicaragua,Managua,2024-05-24 08:30:00,29.0,79,1013.0,Partly cloudy,1.8889040000000001
Nicaragua,Managua,2024-05-25 08:00:00,30.0,84,1011.0,Partly cloudy,1.8889040000000001
Nicaragua,Managua,2024-05-26 08:15:00,30.0,70,1012.0,Partly cloudy,4.194478
Nicaragua,Managua,2024-05-27 08:30:00,31.0,66,1012.0,Partly cloudy,3.111136
Nicaragua,Managua,2024-05-28 08:30:00,31.0,63,1013.0,Partly cloudy,3.111136
Nicaragua,Managua,2024-05-29 08:00:00,29.0,70,1012.0,Partly cloudy,1.8889040000000001
Nicaragua,Managua,2024-05-30 08:00:00,26.0,84,1012.0,Partly cloudy,1.8889040000000001
Nicaragua,Managua,2024-05-31 08:15:00,29.0,70,1012.0,Partly cloudy,1.8889040000000001
