Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
Niger,Niamey,2024-08-01 13:15:00,31.3,52,1009.0,Partly Cloudy,6.305606
Niger,Niamey,2024-08-02 13:30:00,31.9,51,1011.0,Cloudy,6.694498000000001
Niger,Niamey,2024-08-03 13:30:00,25.1,81,1013.0,Light rain,3.8055860000000004
Niger,Niamey,2024-08-04 13:30:00,30.5,55,1013.0,Light rain,6.388940000000001
Niger,Niamey,2024-08-05 13:30:00,32.9,45,1011.0,Sunny,6.6111640000000005
Niger,Niamey,2024-08-06 13:15:00,33.2,51,1009.0,Thundery outbreaks in nearby,7.194502
Niger,Niamey,2024-08-07 13:00:00,28.3,56,1009.0,Partly Cloudy,4.111144
Niger,Niamey,2024-08-08 13:15:00,31.0,55,1009.0,Sunny,5.500044000000001
Niger,Niamey,2024-08-09 13:30:00,33.1,48,1010.0,Partly Cloudy,5.805602
Niger,Niamey,2024-08-10 13:30:00,33.5,49,1009.0,Cloudy,6.805610000000001
Niger,Niamey,2024-08-11 13:30:00,29.4,60,1010.0,Sunny,5.888936
Niger,Niamey,2024-08-12 13:30:00,32.2,52,1009.0,Light rain shower,6.111160000000001
Niger,Niamey,2024-08-13 13:45:00,29.7,63,1010.0,Light rain shower,9.694522000000001
Niger,Niamey,2024-08-14 13:30:00,28.4,79,1013.0,Partly cloudy,5.305598000000001
Niger,Niamey,2024-08-15 13:15:00,32.1,52,1012.0,Partly cloudy,8.611180000000001
Niger,Niamey,2024-08-16 13:15:00,27.2,100,1010.0,Patchy light rain with thunder,3.6111400000000002
Niger,Niamey,2024-08-17 13:15:00,29.3,75,1011.0,Partly cloudy,5.611156
Niger,Niamey,2024-08-18 13:00:00,30.3,62,1015.0,Partly cloudy,4.694482
Niger,Niamey,2024-08-19 13:30:00,33.4,56,1013.0,Partly cloudy,3.111136
Niger,Niamey,2024-08-20 13:15:00,29.1,62,1013.0,Partly cloudy,1.8889040000000001
Niger,Niamey,2024-08-21 13:15:00,31.1,59,1014.0,Partly cloudy,5.305598000000001
Niger,Niamey,2024-08-22 13:00:00,32.4,56,1013.0,Partly cloudy,5.305598000000001
Niger,Niamey,2024-08-23 13:15:00,29.0,62,1011.0,Partly cloudy,6.111160000000001
Niger,Niamey,2024-08-24 13:00:00,30.3,66,1015.0,Partly cloudy,6.111160000000001
Niger,Niamey,2024-08-25 13:00:00,31.0,59,1015.0,Partly cloudy,6.111160000000001
Niger,Niamey,2024-08-26 13:15:00,35.2,44,1008.0,Sunny,5.305598000000001
Niger,Niamey,2024-08-27 13:15:00,32.2,49,1010.0,Sunny,5.611156
Niger,Niamey,2024-08-28 13:30:00,31.1,55,1014.0,Partly cloudy,6.111160000000001
Niger,Niamey,2024-08-29 13:00:00,33.3,49,1013.0,Partly cloudy,5.305598000000001
Niger,Niamey,2024-08-30 13:15:00,33.2,53,1009.0,Partly cloudy,8.611180000000001
Niger,Niamey,2024-08-31 13:00:00,24.3,100,1012.0,Light rain,4.194478
