Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
Nigeria,Abuja,2024-08-01 13:15:00,25.2,87,1013.0,Light rain shower,2.6944660000000002
Nigeria,Abuja,2024-08-02 13:30:00,26.0,81,1013.0,Light drizzle,3.0000240000000007
Nigeria,Abuja,2024-08-03 13:30:00,25.8,82,1014.0,Light rain shower,3.6944740000000005
Nigeria,Abuja,2024-08-04 13:30:00,27.1,72,1015.0,Light rain shower,3.6944740000000005
Nigeria,Abuja,2024-08-05 13:30:00,27.6,65,1013.0,Patchy rain nearby,2.805578
Nigeria,Abuja,2024-08-06 13:15:00,27.0,72,1012.0,Patchy rain nearby,3.388916
Nigeria,Abuja,2024-08-07 13:00:00,24.2,87,1012.0,Light rain shower,4.111144
Nigeria,Abuja,2024-08-08 13:15:00,26.3,76,1012.0,Patchy rain nearby,3.0000240000000007
Nigeria,Abuja,2024-08-09 13:30:00,26.9,72,1013.0,Patchy rain nearby,2.50002
Nigeria,Abuja,2024-08-10 13:30:00,26.2,75,1013.0,Patchy rain nearby,2.805578
Nigeria,Abuja,2024-08-11 13:30:00,26.4,81,1013.0,Light rain shower,2.6111320000000005
Nigeria,Abuja,2024-08-12 13:30:00,26.9,75,1012.0,Patchy light drizzle,2.8889120000000004
Nigeria,Abuja,2024-08-13 13:45:00,23.7,89,1014.0,Light drizzle,2.6111320000000005
Nigeria,Abuja,2024-08-14 13:30:00,25.4,83,1014.0,Light rain shower,3.1944700000000004
Nigeria,Abuja,2024-08-15 13:15:00,28.2,74,1015.0,Partly cloudy,3.111136
Nigeria,Abuja,2024-08-16 13:15:00,27.3,74,1014.0,Partly cloudy,3.6111400000000002
Nigeria,Abuja,2024-08-17 13:15:00,28.1,74,1015.0,Partly cloudy,1.694458
Nigeria,Abuja,2024-08-18 13:00:00,26.4,84,1017.0,Partly cloudy,4.194478
Nigeria,Abuja,2024-08-19 13:30:00,25.3,94,1015.0,Light rain,2.50002
Nigeria,Abuja,2024-08-20 13:15:00,24.4,83,1016.0,Partly cloudy,1.11112
Nigeria,Abuja,2024-08-21 13:15:00,29.1,70,1016.0,Partly cloudy,3.111136
Nigeria,Abuja,2024-08-22 13:00:00,28.1,74,1016.0,Patchy light rain with thunder,5.305598000000001
Nigeria,Abuja,2024-08-23 13:15:00,24.0,89,1013.0,Partly cloudy,3.6111400000000002
Nigeria,Abuja,2024-08-24 13:00:00,27.0,79,1017.0,Partly cloudy,4.694482
Nigeria,Abuja,2024-08-25 13:00:00,27.3,84,1015.0,Partly cloudy,5.611156
Nigeria,Abuja,2024-08-26 13:15:00,25.2,83,1013.0,Partly cloudy,3.6111400000000002
Nigeria,Abuja,2024-08-27 13:15:00,28.3,74,1014.0,Partly cloudy,2.50002
Nigeria,Abuja,2024-08-28 13:30:00,26.3,84,1016.0,Moderate or heavy rain with thunder,3.6111400000000002
Nigeria,Abuja,2024-08-29 13:00:00,26.1,94,1015.0,Partly cloudy,3.6111400000000002
Nigeria,Abuja,2024-08-30 13:15:00,25.3,89,1013.0,Partly cloudy,3.6111400000000002
Nigeria,Abuja,2024-08-31 13:00:00,26.1,79,1015.0,Partly cloudy,3.6111400000000002
