Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
North Korea,Pyongyang,2025-04-01 18:30:00,13.9,28,1019.0,Sunny,6.305606
North Korea,Pyongyang,2025-04-02 18:00:00,8.5,57,1019.0,Partly Cloudy,3.0000240000000007
North Korea,Pyongyang,2025-04-03 18:00:00,11.5,40,1020.0,Sunny,4.388924
North Korea,Pyongyang,2025-04-04 18:15:00,14.1,37,1016.0,Sunny,4.000032000000001
North Korea,Pyongyang,2025-04-05 18:00:00,5.6,84,1010.0,Patchy rain nearby,1.8055700000000001
North Korea,Pyongyang,2025-04-06 18:00:00,12.9,49,1014.0,Sunny,3.5000280000000004
North Korea,Pyongyang,2025-04-07 18:15:00,15.9,50,1011.0,Sunny,6.805610000000001
North Korea,Pyongyang,2025-04-08 18:15:00,15.7,39,1013.0,Sunny,4.611148000000001
North Korea,Pyongyang,2025-04-09 18:00:00,13.8,46,1009.0,Partly Cloudy,3.388916
North Korea,Pyongyang,2025-04-10 18:15:00,10.2,71,1009.0,Partly Cloudy,2.3055740000000005
North Korea,Pyongyang,2025-04-11 18:15:00,19.7,31,1009.0,Sunny,2.6944660000000002
North Korea,Pyongyang,2025-04-12 18:15:00,1.8,98,1005.0,Heavy snow,1.8055700000000001
North Korea,Pyongyang,2025-04-13 18:00:00,5.1,55,995.0,Patchy rain nearby,6.6111640000000005
North Korea,Pyongyang,2025-04-14 18:30:00,10.8,36,998.0,Partly Cloudy,5.805602
North Korea,Pyongyang,2025-04-15 18:15:00,12.0,53,1005.0,Sunny,5.111152
North Korea,Pyongyang,2025-04-16 18:00:00,17.8,53,1003.0,Partly Cloudy,5.111152
North Korea,Pyongyang,2025-04-17 18:00:00,18.5,66,1001.0,Sunny,5.611156
North Korea,Pyongyang,2025-04-18 18:15:00,18.3,36,1009.0,Partly Cloudy,3.6944740000000005
North Korea,Pyongyang,2025-04-19 18:00:00,12.6,74,1009.0,Cloudy,4.3055900000000005
North Korea,Pyongyang,2025-04-20 18:00:00,20.8,35,1013.0,Sunny,3.3055820000000002
North Korea,Pyongyang,2025-04-21 18:15:00,20.4,67,1012.0,Cloudy,5.00004
North Korea,Pyongyang,2025-04-22 18:15:00,19.6,56,1005.0,Sunny,4.194478
North Korea,Pyongyang,2025-04-23 18:00:00,18.9,35,1006.0,Sunny,3.8055860000000004
North Korea,Pyongyang,2025-04-24 18:00:00,13.3,31,1009.0,Sunny,8.111176
North Korea,Pyongyang,2025-04-25 18:00:00,13.7,24,1015.0,Sunny,6.500052
North Korea,Pyongyang,2025-04-26 18:00:00,18.4,43,1014.0,Sunny,4.611148000000001
North Korea,Pyongyang,2025-04-27 17:45:00,14.4,62,1012.0,Cloudy,4.888928000000001
North Korea,Pyongyang,2025-04-28 18:30:00,15.6,27,1011.0,Sunny,5.805602
North Korea,Pyongyang,2025-04-29 17:45:00,20.5,25,1009.0,Partly Cloudy,6.111160000000001
North Korea,Pyongyang,2025-04-30 17:45:00,20.4,40,1009.0,Cloudy,7.805618000000001
