Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
Norway,Oslo,2025-05-01 10:45:00,11.2,71,1015.0,Overcast,1.8889040000000001
Norway,Oslo,2025-05-02 11:00:00,12.0,38,1000.0,Overcast,6.111160000000001
Norway,Oslo,2025-05-03 11:00:00,12.2,50,1002.0,Sunny,2.3055740000000005
Norway,Oslo,2025-05-04 10:45:00,6.1,61,1020.0,Sunny,6.305606
Norway,Oslo,2025-05-05 11:00:00,9.3,81,1021.0,Partly cloudy,3.3055820000000002
Norway,Oslo,2025-05-06 11:00:00,12.3,30,1018.0,Sunny,2.6944660000000002
Norway,Oslo,2025-05-07 10:45:00,10.1,87,1025.0,Partly cloudy,1.0000080000000002
Norway,Oslo,2025-05-08 10:45:00,12.1,88,1023.0,Partly cloudy,1.3889
Norway,Oslo,2025-05-09 11:15:00,13.0,62,1017.0,Overcast,2.8889120000000004
Norway,Oslo,2025-05-10 11:00:00,10.2,87,1018.0,Partly cloudy,2.3055740000000005
Norway,Oslo,2025-05-11 10:45:00,12.0,77,1015.0,Patchy rain nearby,3.3055820000000002
Norway,Oslo,2025-05-12 11:00:00,11.3,94,1020.0,Sunny,1.611124
Norway,Oslo,2025-05-13 11:15:00,18.3,37,1017.0,Partly Cloudy,2.194462
Norway,Oslo,2025-05-14 11:15:00,7.2,70,1028.0,Sunny,3.8055860000000004
Norway,Oslo,2025-05-15 11:00:00,7.4,87,1031.0,Partly cloudy,5.611156
Norway,Oslo,2025-05-16 11:00:00,8.1,87,1029.0,Partly cloudy,5.194486
Norway,Oslo,2025-05-17 10:45:00,12.3,44,1020.0,Sunny,5.111152
Norway,Oslo,2025-05-18 10:45:00,14.0,41,1021.0,Partly Cloudy,5.500044000000001
Norway,Oslo,2025-05-19 11:00:00,18.1,34,1021.0,Sunny,2.8889120000000004
Norway,Oslo,2025-05-20 11:00:00,20.3,28,1012.0,Sunny,2.3055740000000005
Norway,Oslo,2025-05-21 10:45:00,7.1,61,1017.0,Partly cloudy,4.111144
Norway,Oslo,2025-05-22 10:45:00,7.2,66,1018.0,Partly cloudy,5.694490000000001
Norway,Oslo,2025-05-23 11:00:00,7.4,70,1015.0,Partly cloudy,5.111152
Norway,Oslo,2025-05-24 10:45:00,7.0,70,1004.0,Overcast,5.694490000000001
Norway,Oslo,2025-05-25 10:30:00,10.0,100,992.0,Fog,1.8055700000000001
Norway,Oslo,2025-05-26 11:00:00,14.2,67,1000.0,Partly cloudy,5.694490000000001
Norway,Oslo,2025-05-27 11:00:00,10.3,76,994.0,Light rain,4.3055900000000005
Norway,Oslo,2025-05-28 10:45:00,12.1,54,1005.0,Sunny,2.194462
Norway,Oslo,2025-05-29 10:45:00,14.2,41,1011.0,Sunny,1.611124
Norway,Oslo,2025-05-30 10:45:00,13.3,82,1001.0,Partly cloudy,2.3889080000000003
Norway,Oslo,2025-05-31 10:45:00,13.1,44,1013.0,Patchy rain nearby,2.3055740000000005
