Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
Oman,Muscat,2024-10-01 14:00:00,32.2,63,1008.0,Partly cloudy,4.111144
Oman,Muscat,2024-10-02 13:30:00,32.0,71,1008.0,Partly cloudy,3.8055860000000004
Oman,Muscat,2024-10-03 13:30:00,36.1,42,1007.0,Sunny,4.194478
Oman,Muscat,2024-10-04 13:45:00,34.3,47,1005.0,Sunny,3.8889200000000006
Oman,Muscat,2024-10-05 13:30:00,35.4,60,1005.0,Partly cloudy,5.111152
Oman,Muscat,2024-10-06 13:15:00,33.3,71,1007.0,Partly cloudy,5.305598000000001
Oman,Muscat,2024-10-07 13:45:00,32.2,71,1011.0,Partly cloudy,4.888928000000001
Oman,Muscat,2024-10-08 13:45:00,32.0,59,1012.0,Partly cloudy,5.888936
Oman,Muscat,2024-10-09 13:45:00,32.2,56,1010.0,Partly cloudy,4.694482
Oman,Muscat,2024-10-10 13:45:00,33.1,49,1009.0,Partly cloudy,4.194478
Oman,Muscat,2024-10-11 13:45:00,33.4,56,1009.0,Sunny,3.8055860000000004
Oman,Muscat,2024-10-12 13:45:00,34.3,41,1008.0,Partly cloudy,4.3055900000000005
Oman,Muscat,2024-10-13 13:30:00,34.3,50,1007.0,Partly cloudy,5.888936
Oman,Muscat,2024-10-14 13:30:00,32.4,63,1009.0,Partly cloudy,9.111184
Oman,Muscat,2024-10-15 13:30:00,29.1,66,1011.0,Partly cloudy,7.194502
Oman,Muscat,2024-10-16 13:30:00,29.2,79,1010.0,Partly cloudy,6.388940000000001
Oman,Muscat,2024-10-17 13:30:00,31.3,66,1010.0,Partly cloudy,2.8889120000000004
Oman,Muscat,2024-10-18 13:30:00,33.3,59,1008.0,Partly cloudy,2.6111320000000005
Oman,Muscat,2024-10-19 13:30:00,33.3,63,1010.0,Partly cloudy,2.6111320000000005
Oman,Muscat,2024-10-20 13:30:00,32.3,45,1010.0,Sunny,2.50002
Oman,Muscat,2024-10-21 13:15:00,32.9,45,1009.0,Sunny,5.111152
Oman,Muscat,2024-10-22 13:15:00,33.3,53,1010.0,Partly cloudy,4.611148000000001
Oman,Muscat,2024-10-23 13:30:00,33.1,59,1012.0,Partly cloudy,4.194478
Oman,Muscat,2024-10-24 13:15:00,32.3,59,1012.0,Sunny,2.194462
Oman,Muscat,2024-10-25 13:15:00,32.1,63,1012.0,Sunny,3.111136
Oman,Muscat,2024-10-26 13:15:00,31.8,42,1012.0,Sunny,3.111136
Oman,Muscat,2024-10-27 13:15:00,31.9,44,1011.0,Sunny,3.8889200000000006
Oman,Muscat,2024-10-28 13:15:00,30.8,59,1009.0,Sunny,6.000048000000001
Oman,Muscat,2024-10-29 13:00:00,31.1,63,1010.0,Partly cloudy,6.111160000000001
Oman,Muscat,2024-10-30 13:00:00,31.1,52,1011.0,Sunny,4.000032000000001
Oman,Muscat,2024-10-31 13:00:00,32.3,56,1012.0,Sunny,4.805594000000001
