Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
Pakistan,Islamabad,2024-07-01 18:15:00,40.8,23,989.0,Sunny,4.000032000000001
Pakistan,Islamabad,2024-07-02 18:15:00,40.1,24,989.0,Sunny,4.111144
Pakistan,Islamabad,2024-07-03 18:00:00,41.2,22,991.0,Sunny,2.8889120000000004
Pakistan,Islamabad,2024-07-04 18:00:00,35.1,47,997.0,Sunny,4.611148000000001
Pakistan,Islamabad,2024-07-05 17:45:00,34.0,53,992.0,Sunny,4.194478
Pakistan,Islamabad,2024-07-06 18:15:00,33.9,43,992.0,Sunny,2.3055740000000005
Pakistan,Islamabad,2024-07-07 18:00:00,36.2,33,996.0,Sunny,1.1944540000000001
Pakistan,Islamabad,2024-07-08 18:00:00,36.5,32,999.0,Sunny,1.8889040000000001
Pakistan,Islamabad,2024-07-09 17:45:00,37.7,31,999.0,Sunny,2.111128
Pakistan,Islamabad,2024-07-10 18:00:00,36.6,39,999.0,Sunny,3.6944740000000005
Pakistan,Islamabad,2024-07-11 17:45:00,37.1,34,995.0,Sunny,1.1944540000000001
Pakistan,Islamabad,2024-07-12 18:00:00,29.9,53,993.0,Patchy rain nearby,4.805594000000001
Pakistan,Islamabad,2024-07-13 18:00:00,35.3,38,994.0,Sunny,2.194462
Pakistan,Islamabad,2024-07-14 18:15:00,35.6,32,995.0,Sunny,2.6944660000000002
Pakistan,Islamabad,2024-07-15 18:00:00,37.8,27,998.0,Sunny,2.111128
Pakistan,Islamabad,2024-07-16 17:45:00,38.7,28,998.0,Sunny,4.694482
Pakistan,Islamabad,2024-07-17 17:45:00,39.1,27,997.0,Sunny,3.1944700000000004
Pakistan,Islamabad,2024-07-18 17:45:00,37.5,31,996.0,Sunny,1.3055660000000002
Pakistan,Islamabad,2024-07-19 17:30:00,38.5,30,994.0,Sunny,3.1944700000000004
Pakistan,Islamabad,2024-07-20 17:45:00,39.1,29,995.0,Sunny,3.3055820000000002
Pakistan,Islamabad,2024-07-24 17:45:00,37.7,36,990.0,Sunny,2.3055740000000005
Pakistan,Islamabad,2024-07-25 17:15:00,38.0,36,990.0,Sunny,3.1944700000000004
Pakistan,Islamabad,2024-07-26 17:30:00,37.0,45,992.0,Partly Cloudy,1.694458
Pakistan,Islamabad,2024-07-27 17:30:00,38.2,38,995.0,Sunny,3.1944700000000004
Pakistan,Islamabad,2024-07-28 17:45:00,36.3,50,995.0,Sunny,1.0000080000000002
Pakistan,Islamabad,2024-07-29 17:15:00,35.9,52,995.0,Sunny,1.611124
Pakistan,Islamabad,2024-07-30 17:15:00,31.2,64,998.0,Sunny,1.611124
Pakistan,Islamabad,2024-07-31 17:15:00,36.4,41,995.0,Sunny,1.694458
