Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
Palau,Airai,2024-10-01 19:00:00,28.1,84,1008.0,Partly cloudy,4.000032000000001
Palau,Airai,2024-10-02 18:30:00,28.4,84,1008.0,Partly cloudy,1.5000120000000003
Palau,Airai,2024-10-03 18:30:00,26.4,89,1009.0,Partly cloudy,3.3055820000000002
Palau,Airai,2024-10-04 18:45:00,29.1,74,1007.0,Light rain shower,4.3055900000000005
Palau,Airai,2024-10-05 18:30:00,29.2,75,1008.0,Partly cloudy,4.694482
Palau,Airai,2024-10-06 18:15:00,29.0,75,1009.0,Partly cloudy,4.194478
Palau,Airai,2024-10-07 18:45:00,29.2,79,1010.0,Partly cloudy,3.1944700000000004
Palau,Airai,2024-10-08 18:45:00,29.4,79,1010.0,Partly cloudy,2.50002
Palau,Airai,2024-10-09 18:45:00,29.0,79,1009.0,Partly cloudy,2.3055740000000005
Palau,Airai,2024-10-10 18:45:00,28.1,84,1009.0,Partly cloudy,2.8889120000000004
Palau,Airai,2024-10-11 18:45:00,29.0,75,1009.0,Partly cloudy,2.0000160000000005
Palau,Airai,2024-10-12 18:45:00,29.2,79,1009.0,Partly cloudy,3.388916
Palau,Airai,2024-10-13 18:30:00,28.3,79,1008.0,Partly cloudy,4.500036000000001
Palau,Airai,2024-10-14 18:30:00,29.2,73,1007.0,Light rain shower,2.8889120000000004
Palau,Airai,2024-10-15 18:30:00,28.4,75,1008.0,Light rain shower,3.388916
Palau,Airai,2024-10-16 18:30:00,28.3,84,1009.0,Partly cloudy,2.805578
Palau,Airai,2024-10-17 18:30:00,29.2,70,1008.0,Patchy rain nearby,2.6111320000000005
Palau,Airai,2024-10-18 18:45:00,28.3,89,1008.0,Partly cloudy,3.8055860000000004
Palau,Airai,2024-10-19 18:30:00,29.3,79,1007.0,Overcast,7.611172000000001
Palau,Airai,2024-10-20 18:30:00,28.0,79,1007.0,Overcast,10.611196000000001
Palau,Airai,2024-10-21 18:15:00,28.2,84,1005.0,Moderate or heavy rain with thunder,12.194542
Palau,Airai,2024-10-22 18:15:00,29.2,78,1006.0,Patchy light drizzle,9.111184
Palau,Airai,2024-10-23 18:30:00,29.3,84,1008.0,Partly cloudy,5.111152
Palau,Airai,2024-10-24 18:15:00,30.2,75,1005.0,Partly cloudy,7.000056000000001
Palau,Airai,2024-10-25 18:15:00,26.3,84,1007.0,Overcast,6.194494000000001
Palau,Airai,2024-10-26 18:15:00,29.1,79,1005.0,Overcast,10.611196000000001
Palau,Airai,2024-10-27 18:15:00,28.6,74,1005.0,Light rain shower,9.888968000000002
Palau,Airai,2024-10-28 18:15:00,28.3,84,1007.0,Overcast,8.500068
Palau,Airai,2024-10-29 18:00:00,26.2,84,1010.0,Patchy rain nearby,7.111168000000001
Palau,Airai,2024-10-30 18:00:00,29.1,75,1010.0,Partly cloudy,4.3055900000000005
Palau,Airai,2024-10-31 18:00:00,30.2,75,1008.0,Partly cloudy,3.5000280000000004
