Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
Papua New Guinea,Port Moresby,2024-10-01 20:00:00,27.0,84,1008.0,Partly cloudy,7.111168000000001
Papua New Guinea,Port Moresby,2024-10-02 19:30:00,27.1,79,1009.0,Partly cloudy,7.805618000000001
Papua New Guinea,Port Moresby,2024-10-03 19:30:00,26.1,79,1012.0,Overcast,7.6945060000000005
Papua New Guinea,Port Moresby,2024-10-04 19:45:00,27.2,70,1009.0,Partly cloudy,7.50006
Papua New Guinea,Port Moresby,2024-10-05 19:30:00,26.0,89,1009.0,Moderate rain,8.111176
Papua New Guinea,Port Moresby,2024-10-06 19:15:00,27.0,89,1009.0,Overcast,7.111168000000001
Papua New Guinea,Port Moresby,2024-10-07 19:45:00,25.4,91,1011.0,Clear,4.611148000000001
Papua New Guinea,Port Moresby,2024-10-08 19:45:00,26.4,94,1010.0,Light rain,2.6111320000000005
Papua New Guinea,Port Moresby,2024-10-09 19:45:00,26.1,94,1009.0,Overcast,3.8055860000000004
Papua New Guinea,Port Moresby,2024-10-10 19:45:00,25.5,91,1010.0,Light rain shower,3.1944700000000004
Papua New Guinea,Port Moresby,2024-10-11 19:45:00,25.0,92,1010.0,Patchy rain nearby,7.194502
Papua New Guinea,Port Moresby,2024-10-12 19:45:00,25.0,88,1009.0,Partly Cloudy,6.500052
Papua New Guinea,Port Moresby,2024-10-13 19:30:00,25.6,88,1008.0,Patchy rain nearby,6.111160000000001
Papua New Guinea,Port Moresby,2024-10-14 19:30:00,27.1,84,1008.0,Partly cloudy,2.50002
Papua New Guinea,Port Moresby,2024-10-15 19:30:00,27.3,84,1009.0,Partly cloudy,2.3055740000000005
Papua New Guinea,Port Moresby,2024-10-16 19:30:00,25.6,89,1010.0,Patchy rain nearby,3.1944700000000004
Papua New Guinea,Port Moresby,2024-10-17 19:30:00,25.8,90,1010.0,Patchy rain nearby,5.888936
Papua New Guinea,Port Moresby,2024-10-18 19:45:00,25.7,91,1009.0,Partly Cloudy,6.194494000000001
Papua New Guinea,Port Moresby,2024-10-19 19:30:00,25.7,86,1009.0,Clear,6.388940000000001
Papua New Guinea,Port Moresby,2024-10-20 19:30:00,25.3,86,1010.0,Patchy rain nearby,5.194486
Papua New Guinea,Port Moresby,2024-10-21 19:15:00,25.5,85,1009.0,Patchy rain nearby,6.000048000000001
Papua New Guinea,Port Moresby,2024-10-22 19:15:00,25.9,83,1008.0,Partly Cloudy,6.888944000000001
Papua New Guinea,Port Moresby,2024-10-23 19:30:00,27.3,79,1007.0,Partly cloudy,7.805618000000001
Papua New Guinea,Port Moresby,2024-10-24 19:15:00,25.6,87,1008.0,Patchy rain nearby,4.500036000000001
Papua New Guinea,Port Moresby,2024-10-25 19:15:00,25.1,91,1008.0,Light rain shower,1.8889040000000001
Papua New Guinea,Port Moresby,2024-10-26 19:15:00,24.2,95,1008.0,Light rain shower,1.611124
Papua New Guinea,Port Moresby,2024-10-27 19:15:00,27.4,79,1007.0,Partly cloudy,1.8889040000000001
Papua New Guinea,Port Moresby,2024-10-28 19:15:00,28.1,84,1007.0,Mist,2.805578
Papua New Guinea,Port Moresby,2024-10-29 19:00:00,26.4,88,1010.0,Light rain shower,3.6944740000000005
Papua New Guinea,Port Moresby,2024-10-30 19:00:00,25.7,89,1010.0,Patchy rain nearby,5.694490000000001
Papua New Guinea,Port Moresby,2024-10-31 19:00:00,25.0,83,1011.0,Patchy rain nearby,1.0000080000000002
