Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
Paraguay,Aurora,2024-12-01 07:45:00,27.7,65,1002.0,Sunny,3.6944740000000005
Paraguay,Aurora,2024-12-02 07:45:00,20.7,90,1007.0,Patchy rain nearby,6.111160000000001
Paraguay,Aurora,2024-12-03 08:00:00,18.3,80,1013.0,Patchy rain nearby,2.6111320000000005
Paraguay,Aurora,2024-12-04 07:30:00,18.5,56,1013.0,Cloudy,1.3889
Paraguay,Aurora,2024-12-05 07:30:00,21.7,62,1007.0,Partly Cloudy,1.611124
Paraguay,Aurora,2024-12-06 07:45:00,25.6,74,1001.0,Partly Cloudy,4.888928000000001
Paraguay,Aurora,2024-12-07 08:00:00,28.3,65,1004.0,Patchy rain nearby,2.3055740000000005
Paraguay,Aurora,2024-12-08 08:00:00,18.2,97,1011.0,Moderate rain,4.3055900000000005
Paraguay,Aurora,2024-12-09 07:45:00,16.8,86,1012.0,Overcast,2.3055740000000005
Paraguay,Aurora,2024-12-10 08:00:00,19.3,80,1015.0,Overcast,2.111128
Paraguay,Aurora,2024-12-11 07:45:00,21.5,82,1009.0,Partly Cloudy,1.611124
Paraguay,Aurora,2024-12-12 07:45:00,26.4,68,1005.0,Partly Cloudy,3.6111400000000002
Paraguay,Aurora,2024-12-13 08:00:00,29.9,55,1002.0,Sunny,4.3055900000000005
Paraguay,Aurora,2024-12-14 08:00:00,24.1,74,1010.0,Sunny,2.50002
Paraguay,Aurora,2024-12-15 07:30:00,19.5,61,1012.0,Sunny,1.8889040000000001
Paraguay,Aurora,2024-12-16 07:45:00,20.3,60,1013.0,Sunny,1.8055700000000001
Paraguay,Aurora,2024-12-17 07:45:00,21.8,60,1013.0,Sunny,2.111128
Paraguay,Aurora,2024-12-18 07:15:00,26.6,39,1006.0,Sunny,5.00004
Paraguay,Aurora,2024-12-19 07:30:00,21.6,96,1009.0,Light rain shower,2.6944660000000002
Paraguay,Aurora,2024-12-20 07:45:00,21.3,86,1008.0,Sunny,1.0000080000000002
Paraguay,Aurora,2024-12-21 07:45:00,25.4,76,1007.0,Sunny,3.1944700000000004
Paraguay,Aurora,2024-12-22 07:15:00,22.1,91,1014.0,Patchy rain nearby,1.611124
Paraguay,Aurora,2024-12-23 07:45:00,23.5,74,1013.0,Sunny,2.50002
Paraguay,Aurora,2024-12-24 07:15:00,24.4,60,1008.0,Partly Cloudy,2.3889080000000003
Paraguay,Aurora,2024-12-25 07:15:00,18.2,95,1017.0,Mist,2.0000160000000005
Paraguay,Aurora,2024-12-26 07:00:00,16.9,59,1014.0,Sunny,1.1944540000000001
Paraguay,Aurora,2024-12-27 07:45:00,18.7,52,1012.0,Sunny,1.611124
Paraguay,Aurora,2024-12-28 07:45:00,20.8,51,1014.0,Sunny,1.8889040000000001
Paraguay,Aurora,2024-12-29 07:15:00,20.8,59,1013.0,Sunny,2.194462
Paraguay,Aurora,2024-12-30 07:00:00,21.1,48,1009.0,Partly Cloudy,1.8889040000000001
Paraguay,Aurora,2024-12-31 07:30:00,23.4,48,1007.0,Sunny,2.3889080000000003
