Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
Peru,Lima,2024-06-01 09:30:00,17.4,77,1013.0,Sunny,1.8889040000000001
Peru,Lima,2024-06-02 09:00:00,17.7,75,1015.0,Sunny,2.194462
Peru,Lima,2024-06-03 09:15:00,17.5,77,1016.0,Sunny,3.1944700000000004
Peru,Lima,2024-06-04 09:15:00,17.0,81,1016.0,Sunny,2.3889080000000003
Peru,Lima,2024-06-05 09:15:00,17.8,76,1015.0,Sunny,1.694458
Peru,Lima,2024-06-06 09:00:00,17.7,76,1017.0,Sunny,2.8889120000000004
Peru,Lima,2024-06-07 09:00:00,17.9,76,1016.0,Sunny,1.8055700000000001
Peru,Lima,2024-06-08 09:15:00,18.4,78,1018.0,Sunny,2.3055740000000005
Peru,Lima,2024-06-09 09:15:00,17.4,81,1016.0,Partly Cloudy,2.194462
Peru,Lima,2024-06-10 09:15:00,17.2,82,1016.0,Partly Cloudy,2.805578
Peru,Lima,2024-06-11 09:00:00,17.9,78,1014.0,Sunny,2.805578
Peru,Lima,2024-06-12 09:15:00,18.0,77,1015.0,Sunny,2.6111320000000005
Peru,Lima,2024-06-13 09:00:00,17.2,82,1017.0,Patchy rain nearby,2.6944660000000002
Peru,Lima,2024-06-14 09:00:00,16.9,82,1018.0,Partly Cloudy,2.805578
Peru,Lima,2024-06-15 09:00:00,17.1,80,1018.0,Patchy rain nearby,1.8055700000000001
Peru,Lima,2024-06-16 08:45:00,16.8,81,1016.0,Patchy rain nearby,1.611124
Peru,Lima,2024-06-17 09:00:00,17.9,77,1015.0,Sunny,2.194462
Peru,Lima,2024-06-18 09:00:00,17.6,81,1014.0,Partly Cloudy,1.0000080000000002
Peru,Lima,2024-06-19 08:45:00,16.7,84,1015.0,Partly Cloudy,1.1944540000000001
Peru,Lima,2024-06-20 08:45:00,16.5,85,1015.0,Patchy rain nearby,1.5000120000000003
Peru,Lima,2024-06-21 08:45:00,16.6,86,1015.0,Partly Cloudy,2.194462
Peru,Lima,2024-06-22 08:45:00,16.6,87,1016.0,Patchy rain nearby,2.0000160000000005
Peru,Lima,2024-06-23 08:45:00,16.7,82,1015.0,Patchy rain nearby,1.694458
Peru,Lima,2024-06-24 08:45:00,16.6,81,1014.0,Patchy rain nearby,1.611124
Peru,Lima,2024-06-25 08:15:00,16.1,84,1016.0,Patchy rain nearby,1.694458
Peru,Lima,2024-06-26 08:30:00,16.7,81,1018.0,Partly Cloudy,2.3889080000000003
Peru,Lima,2024-06-27 08:15:00,16.7,81,1016.0,Sunny,1.0000080000000002
Peru,Lima,2024-06-28 08:15:00,17.2,81,1017.0,Sunny,1.3055660000000002
Peru,Lima,2024-06-29 07:45:00,15.4,84,1015.0,Partly Cloudy,2.3055740000000005
Peru,Lima,2024-06-30 08:30:00,16.9,83,1016.0,Sunny,2.6944660000000002
