Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
Poland,Warsaw,2024-07-01 15:15:00,22.2,65,1009.0,Partly cloudy,4.694482
Poland,Warsaw,2024-07-02 15:15:00,21.4,56,1007.0,Partly cloudy,6.694498000000001
Poland,Warsaw,2024-07-03 15:00:00,20.4,60,1007.0,Partly cloudy,4.194478
Poland,Warsaw,2024-07-04 15:15:00,22.0,46,1007.0,Sunny,2.50002
Poland,Warsaw,2024-07-05 14:45:00,23.4,33,1012.0,Sunny,4.694482
Poland,Warsaw,2024-07-06 15:15:00,29.3,35,1010.0,Sunny,5.305598000000001
Poland,Warsaw,2024-07-07 15:00:00,22.3,78,1015.0,Light rain,2.50002
Poland,Warsaw,2024-07-08 15:00:00,26.4,45,1019.0,Sunny,1.694458
Poland,Warsaw,2024-07-09 14:45:00,30.3,40,1021.0,Sunny,5.305598000000001
Poland,Warsaw,2024-07-10 15:00:00,35.2,39,1017.0,Sunny,6.694498000000001
Poland,Warsaw,2024-07-11 14:45:00,31.4,49,1014.0,Partly cloudy,3.6111400000000002
Poland,Warsaw,2024-07-12 15:00:00,29.3,55,1014.0,Partly cloudy,1.8889040000000001
Poland,Warsaw,2024-07-13 15:00:00,27.3,54,1011.0,Partly cloudy,5.305598000000001
Poland,Warsaw,2024-07-14 15:15:00,24.1,57,1014.0,Partly cloudy,1.0000080000000002
Poland,Warsaw,2024-07-15 15:00:00,29.2,48,1015.0,Sunny,2.50002
Poland,Warsaw,2024-07-16 14:45:00,31.2,55,1012.0,Partly cloudy,5.611156
Poland,Warsaw,2024-07-17 14:45:00,28.1,48,1018.0,Partly cloudy,4.194478
Poland,Warsaw,2024-07-18 14:45:00,27.3,42,1022.0,Sunny,5.611156
Poland,Warsaw,2024-07-19 14:30:00,26.1,45,1021.0,Sunny,3.6111400000000002
Poland,Warsaw,2024-07-20 14:45:00,28.2,37,1013.0,Sunny,1.0000080000000002
Poland,Warsaw,2024-07-23 14:30:00,26.6,39,1015.0,Sunny,4.000032000000001
Poland,Warsaw,2024-07-24 14:45:00,27.3,32,1011.0,Partly Cloudy,3.8055860000000004
Poland,Warsaw,2024-07-25 14:15:00,24.7,37,1011.0,Partly Cloudy,4.805594000000001
Poland,Warsaw,2024-07-26 14:30:00,26.7,31,1013.0,Sunny,2.3889080000000003
Poland,Warsaw,2024-07-27 14:30:00,30.9,31,1014.0,Cloudy,3.8889200000000006
Poland,Warsaw,2024-07-28 14:45:00,19.1,66,1015.0,Patchy rain nearby,9.805634
Poland,Warsaw,2024-07-29 14:15:00,22.7,43,1017.0,Sunny,7.888952000000001
Poland,Warsaw,2024-07-30 14:15:00,27.0,30,1016.0,Sunny,5.305598000000001
Poland,Warsaw,2024-07-31 14:15:00,27.9,28,1013.0,Sunny,3.8055860000000004
