Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
Portugal,Lisbon,2025-01-01 10:45:00,8.0,76,1029.0,Sunny,3.3055820000000002
Portugal,Lisbon,2025-01-02 09:45:00,6.1,100,1029.0,Fog,2.3055740000000005
Portugal,Lisbon,2025-01-03 10:30:00,9.0,93,1027.0,Partly cloudy,1.8889040000000001
Portugal,Lisbon,2025-01-04 09:45:00,9.1,100,1023.0,Partly cloudy,3.3055820000000002
Portugal,Lisbon,2025-01-05 10:15:00,15.1,94,1009.0,Light rain,10.111192
Portugal,Lisbon,2025-01-06 10:30:00,12.4,82,1014.0,Light rain,6.805610000000001
Portugal,Lisbon,2025-01-07 10:45:00,11.3,94,1022.0,Partly cloudy,6.805610000000001
Portugal,Lisbon,2025-01-08 10:30:00,15.1,94,1017.0,Light rain shower,10.305638000000002
Portugal,Lisbon,2025-01-09 10:30:00,14.1,100,1025.0,Fog,1.0000080000000002
Portugal,Lisbon,2025-01-10 11:00:00,16.2,100,1028.0,Mist,2.3055740000000005
Portugal,Lisbon,2025-01-11 10:30:00,17.0,94,1031.0,Partly cloudy,1.8889040000000001
Portugal,Lisbon,2025-01-12 10:30:00,14.1,88,1030.0,Partly cloudy,3.0000240000000007
Portugal,Lisbon,2025-01-13 10:00:00,11.1,62,1029.0,Sunny,3.0000240000000007
Portugal,Lisbon,2025-01-14 11:00:00,8.3,53,1030.0,Sunny,4.3055900000000005
Portugal,Lisbon,2025-01-15 10:30:00,7.2,70,1030.0,Sunny,2.6111320000000005
Portugal,Lisbon,2025-01-16 10:00:00,12.3,67,1024.0,Partly cloudy,2.194462
Portugal,Lisbon,2025-01-17 10:30:00,8.1,71,1026.0,Sunny,6.388940000000001
Portugal,Lisbon,2025-01-18 09:30:00,7.1,81,1027.0,Sunny,2.6944660000000002
Portugal,Lisbon,2025-01-19 10:00:00,6.1,93,1020.0,Light rain,4.388924
Portugal,Lisbon,2025-01-20 10:30:00,16.1,100,1012.0,Light drizzle,4.805594000000001
Portugal,Lisbon,2025-01-21 10:30:00,15.2,100,1008.0,Partly cloudy,4.694482
Portugal,Lisbon,2025-01-22 10:15:00,17.0,88,1002.0,Partly cloudy,8.88896
Portugal,Lisbon,2025-01-23 10:30:00,14.1,88,1016.0,Partly cloudy,3.3055820000000002
Portugal,Lisbon,2025-01-24 10:30:00,13.3,82,1021.0,Partly cloudy,2.6944660000000002
Portugal,Lisbon,2025-01-25 10:15:00,15.4,82,1020.0,Partly cloudy,5.888936
Portugal,Lisbon,2025-01-26 10:15:00,16.1,88,1016.0,Partly cloudy,7.611172000000001
Portugal,Lisbon,2025-01-27 10:30:00,15.3,88,1014.0,Light rain,5.500044000000001
Portugal,Lisbon,2025-01-28 11:00:00,13.4,72,1027.0,Partly cloudy,7.000056000000001
Portugal,Lisbon,2025-01-29 10:30:00,14.0,94,1019.0,Light rain,11.194534
Portugal,Lisbon,2025-01-30 10:15:00,13.3,58,1029.0,Partly cloudy,8.500068
Portugal,Lisbon,2025-01-31 10:30:00,12.1,58,1031.0,Sunny,3.8055860000000004
