Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
Qatar,Doha,2024-08-01 15:15:00,40.5,36,996.0,Sunny,4.888928000000001
Qatar,Doha,2024-08-02 15:30:00,42.4,20,994.0,Sunny,10.111192
Qatar,Doha,2024-08-03 15:30:00,41.2,19,996.0,Sunny,11.194534
Qatar,Doha,2024-08-04 15:30:00,42.0,18,995.0,Sunny,11.000088000000002
Qatar,Doha,2024-08-05 15:30:00,40.4,29,996.0,Sunny,6.805610000000001
Qatar,Doha,2024-08-06 15:15:00,39.2,28,996.0,Cloudy,5.194486
Qatar,Doha,2024-08-07 15:15:00,37.8,37,997.0,Sunny,5.305598000000001
Qatar,Doha,2024-08-08 15:15:00,39.5,35,997.0,Sunny,5.500044000000001
Qatar,Doha,2024-08-09 15:30:00,35.6,63,999.0,Sunny,5.111152
Qatar,Doha,2024-08-10 15:30:00,35.8,61,999.0,Sunny,5.00004
Qatar,Doha,2024-08-11 15:15:00,36.0,54,997.0,Sunny,6.805610000000001
Qatar,Doha,2024-08-12 15:30:00,37.4,47,996.0,Sunny,5.694490000000001
Qatar,Doha,2024-08-13 15:45:00,38.1,46,998.0,Sunny,4.694482
Qatar,Doha,2024-08-14 15:30:00,38.3,61,998.0,Mist,4.194478
Qatar,Doha,2024-08-15 15:15:00,38.2,61,998.0,Mist,5.305598000000001
Qatar,Doha,2024-08-16 15:15:00,39.2,51,994.0,Sunny,7.194502
Qatar,Doha,2024-08-17 15:15:00,39.3,48,996.0,Sunny,1.0000080000000002
Qatar,Doha,2024-08-18 15:00:00,36.0,71,998.0,Partly cloudy,5.305598000000001
Qatar,Doha,2024-08-19 15:30:00,38.1,68,998.0,Mist,5.611156
Qatar,Doha,2024-08-20 15:15:00,37.1,64,998.0,Sunny,4.194478
Qatar,Doha,2024-08-21 15:15:00,38.0,48,1000.0,Sunny,7.194502
Qatar,Doha,2024-08-22 15:00:00,38.1,51,1001.0,Partly cloudy,4.194478
Qatar,Doha,2024-08-23 15:15:00,38.3,57,1001.0,Sunny,5.305598000000001
Qatar,Doha,2024-08-24 15:00:00,39.1,48,1000.0,Sunny,5.611156
Qatar,Doha,2024-08-25 15:00:00,39.4,45,1000.0,Sunny,4.194478
Qatar,Doha,2024-08-26 15:15:00,39.1,57,999.0,Sunny,4.694482
Qatar,Doha,2024-08-27 15:15:00,39.0,51,997.0,Overcast,6.111160000000001
Qatar,Doha,2024-08-28 15:30:00,38.4,61,998.0,Mist,5.305598000000001
Qatar,Doha,2024-08-29 15:00:00,39.3,61,997.0,Mist,6.111160000000001
Qatar,Doha,2024-08-30 15:15:00,43.2,24,997.0,Sunny,6.111160000000001
Qatar,Doha,2024-08-31 15:00:00,37.4,64,999.0,Sunny,8.305622
