Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
Romania,Bucharest,2024-08-01 15:15:00,34.5,18,1011.0,Sunny,2.0000160000000005
Romania,Bucharest,2024-08-02 15:30:00,37.5,14,1005.0,Sunny,1.0000080000000002
Romania,Bucharest,2024-08-03 15:30:00,37.0,19,1002.0,Sunny,6.805610000000001
Romania,Bucharest,2024-08-04 15:30:00,29.4,36,1007.0,Partly Cloudy,7.000056000000001
Romania,Bucharest,2024-08-05 15:30:00,29.8,30,1010.0,Partly Cloudy,2.194462
Romania,Bucharest,2024-08-06 15:15:00,20.5,74,1009.0,Light rain shower,7.388948000000001
Romania,Bucharest,2024-08-07 15:00:00,30.9,27,1012.0,Sunny,3.111136
Romania,Bucharest,2024-08-08 15:15:00,33.8,23,1012.0,Sunny,2.50002
Romania,Bucharest,2024-08-09 15:30:00,34.4,24,1011.0,Partly Cloudy,2.50002
Romania,Bucharest,2024-08-10 15:30:00,32.3,31,1016.0,Sunny,1.611124
Romania,Bucharest,2024-08-11 15:15:00,35.5,21,1016.0,Sunny,1.1944540000000001
Romania,Bucharest,2024-08-12 15:30:00,36.3,23,1012.0,Sunny,1.611124
Romania,Bucharest,2024-08-13 15:45:00,37.7,21,1009.0,Sunny,2.194462
Romania,Bucharest,2024-08-14 15:30:00,34.4,36,1014.0,Sunny,3.111136
Romania,Bucharest,2024-08-15 15:15:00,35.1,35,1015.0,Sunny,3.6111400000000002
Romania,Bucharest,2024-08-16 15:15:00,36.4,31,1014.0,Sunny,3.6111400000000002
Romania,Bucharest,2024-08-17 15:15:00,36.3,22,1012.0,Sunny,4.694482
Romania,Bucharest,2024-08-18 15:00:00,34.0,22,1011.0,Sunny,3.6111400000000002
Romania,Bucharest,2024-08-19 15:30:00,34.1,20,1010.0,Sunny,6.111160000000001
Romania,Bucharest,2024-08-20 15:15:00,34.0,25,1010.0,Sunny,3.6111400000000002
Romania,Bucharest,2024-08-21 15:15:00,31.1,33,1008.0,Sunny,1.0000080000000002
Romania,Bucharest,2024-08-22 15:00:00,35.4,23,1010.0,Sunny,2.50002
Romania,Bucharest,2024-08-23 15:15:00,32.0,36,1015.0,Sunny,1.0000080000000002
Romania,Bucharest,2024-08-24 15:00:00,34.1,25,1017.0,Sunny,1.0000080000000002
Romania,Bucharest,2024-08-25 15:00:00,35.1,25,1014.0,Sunny,4.194478
Romania,Bucharest,2024-08-26 15:15:00,34.4,28,1013.0,Sunny,6.111160000000001
Romania,Bucharest,2024-08-27 15:15:00,30.3,38,1015.0,Partly cloudy,6.111160000000001
Romania,Bucharest,2024-08-28 15:30:00,28.3,45,1015.0,Sunny,4.194478
Romania,Bucharest,2024-08-29 15:00:00,28.4,48,1013.0,Partly cloudy,5.611156
Romania,Bucharest,2024-08-30 15:15:00,28.0,42,1014.0,Partly cloudy,4.194478
Romania,Bucharest,2024-08-31 15:00:00,31.3,22,1014.0,Sunny,7.194502
