Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
Russia,Moscow,2024-07-01 16:15:00,29.4,43,1010.0,Sunny,4.194478
Russia,Lom,2024-07-01 16:15:00,27.0,43,1008.0,Sunny,2.50002
Russia,Moscow,2024-07-02 16:15:00,32.0,41,1004.0,Sunny,6.111160000000001
Russia,Lom,2024-07-02 16:15:00,27.2,58,1004.0,Sunny,1.611124
Russia,Moscow,2024-07-03 16:00:00,32.2,38,1003.0,Patchy light rain with thunder,7.194502
Russia,Moscow,2024-07-04 16:15:00,31.1,38,1010.0,Moderate or heavy rain with thunder,5.305598000000001
Russia,Moscow,2024-07-05 15:45:00,20.2,78,1007.0,Moderate or heavy rain with thunder,5.305598000000001
Russia,Moscow,2024-07-06 16:15:00,22.0,38,1016.0,Sunny,6.111160000000001
Russia,Moscow,2024-07-07 16:00:00,25.4,39,1023.0,Sunny,3.111136
Russia,Moscow,2024-07-08 16:00:00,27.2,34,1020.0,Sunny,3.111136
Russia,Lom,2024-07-08 16:00:00,26.6,43,1021.0,Sunny,1.0000080000000002
Russia,Moscow,2024-07-09 15:45:00,29.0,37,1020.0,Sunny,3.111136
Russia,Moscow,2024-07-10 16:00:00,26.1,39,1024.0,Sunny,5.305598000000001
Russia,Lom,2024-07-10 16:00:00,23.4,42,1022.0,Partly Cloudy,3.3055820000000002
Russia,Moscow,2024-07-11 15:45:00,27.0,32,1023.0,Sunny,3.111136
Russia,Lom,2024-07-11 15:45:00,22.9,39,1022.0,Sunny,4.111144
Russia,Moscow,2024-07-12 16:00:00,28.3,35,1019.0,Sunny,4.194478
Russia,Lom,2024-07-12 16:00:00,22.5,36,1019.0,Sunny,1.5000120000000003
Russia,Moscow,2024-07-13 16:00:00,29.1,48,1012.0,Patchy rain nearby,2.8889120000000004
Russia,Moscow,2024-07-14 16:15:00,28.4,58,1012.0,Partly cloudy,4.194478
Russia,Moscow,2024-07-15 16:00:00,29.5,45,1014.0,Partly Cloudy,4.111144
Russia,Moscow,2024-07-16 15:45:00,29.3,48,1016.0,Partly cloudy,5.305598000000001
Russia,Moscow,2024-07-17 15:45:00,30.0,33,1017.0,Sunny,3.111136
Russia,Moscow,2024-07-18 15:45:00,25.1,69,1015.0,Partly cloudy,3.111136
Russia,Moscow,2024-07-19 15:30:00,23.3,69,1013.0,Partly cloudy,3.111136
Russia,Moscow,2024-07-20 15:45:00,22.2,61,1008.0,Partly cloudy,7.194502
Russia,Moscow,2024-07-23 15:30:00,24.8,31,1014.0,Sunny,4.388924
Russia,Moscow,2024-07-24 15:45:00,26.4,34,1012.0,Sunny,3.111136
Russia,Moscow,2024-07-25 15:15:00,24.4,42,1008.0,Patchy rain nearby,2.6111320000000005
Russia,Moscow,2024-07-26 15:30:00,25.8,27,1012.0,Sunny,2.3889080000000003
Russia,Moscow,2024-07-27 15:30:00,27.9,28,1013.0,Partly Cloudy,3.3055820000000002
Russia,Moscow,2024-07-28 15:45:00,25.8,47,1010.0,Partly Cloudy,4.388924
Russia,Moscow,2024-07-29 15:15:00,20.9,47,1000.0,Patchy rain nearby,6.194494000000001
Russia,Moscow,2024-07-30 15:15:00,20.9,64,998.0,Light rain shower,3.8889200000000006
Russia,Moscow,2024-07-31 15:15:00,19.6,64,1002.0,Light rain shower,4.888928000000001
