Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
Rwanda,Kigali,2025-03-01 11:45:00,27.0,45,1019.0,Partly cloudy,1.5000120000000003
Rwanda,Kigali,2025-03-02 12:00:00,20.3,94,1019.0,Light rain,2.111128
Rwanda,Kigali,2025-03-03 11:45:00,26.1,51,1020.0,Partly cloudy,2.50002
Rwanda,Kigali,2025-03-04 11:45:00,26.2,54,1020.0,Partly cloudy,1.8889040000000001
Rwanda,Kigali,2025-03-05 11:45:00,28.3,48,1018.0,Partly cloudy,2.50002
Rwanda,Kigali,2025-03-06 11:45:00,28.3,40,1019.0,Partly cloudy,2.3055740000000005
Rwanda,Kigali,2025-03-07 11:45:00,27.3,45,1020.0,Partly cloudy,2.50002
Rwanda,Kigali,2025-03-08 11:45:00,20.2,83,1020.0,Partly cloudy,1.1944540000000001
Rwanda,Kigali,2025-03-09 11:30:00,25.3,51,1019.0,Partly cloudy,1.0000080000000002
Rwanda,Kigali,2025-03-10 11:45:00,23.2,69,1020.0,Partly cloudy,1.8889040000000001
Rwanda,Kigali,2025-03-11 11:45:00,26.4,54,1020.0,Partly cloudy,1.0000080000000002
Rwanda,Kigali,2025-03-12 11:45:00,22.3,78,1021.0,Partly cloudy,1.11112
Rwanda,Kigali,2025-03-13 11:45:00,22.2,69,1020.0,Partly cloudy,1.0000080000000002
Rwanda,Kigali,2025-03-14 11:45:00,26.1,51,1019.0,Partly cloudy,1.3055660000000002
Rwanda,Kigali,2025-03-15 11:45:00,24.3,57,1021.0,Partly cloudy,1.694458
Rwanda,Kigali,2025-03-16 11:45:00,23.3,61,1024.0,Partly cloudy,1.0000080000000002
Rwanda,Kigali,2025-03-17 11:30:00,26.4,51,1021.0,Partly cloudy,1.1944540000000001
Rwanda,Kigali,2025-03-18 11:45:00,27.4,51,1019.0,Partly cloudy,1.0000080000000002
Rwanda,Kigali,2025-03-19 11:45:00,20.1,83,1023.0,Light rain,1.0000080000000002
Rwanda,Kigali,2025-03-20 11:45:00,20.1,78,1026.0,Partly cloudy,1.3055660000000002
Rwanda,Kigali,2025-03-21 11:30:00,24.2,61,1025.0,Partly cloudy,1.3889
Rwanda,Kigali,2025-03-22 11:30:00,25.0,57,1021.0,Moderate rain,1.0000080000000002
Rwanda,Kigali,2025-03-23 11:45:00,19.4,94,1022.0,Moderate rain,1.5000120000000003
Rwanda,Kigali,2025-03-24 11:30:00,22.3,65,1024.0,Partly cloudy,1.0000080000000002
Rwanda,Kigali,2025-03-25 11:30:00,24.1,65,1022.0,Partly cloudy,1.0000080000000002
Rwanda,Kigali,2025-03-26 11:30:00,26.4,58,1019.0,Partly cloudy,1.3055660000000002
Rwanda,Kigali,2025-03-27 11:15:00,25.1,65,1019.0,Partly cloudy,1.0000080000000002
Rwanda,Kigali,2025-03-28 11:45:00,22.3,78,1021.0,Partly cloudy,1.1944540000000001
Rwanda,Kigali,2025-03-29 11:30:00,23.2,65,1022.0,Partly cloudy,1.0000080000000002
Rwanda,Kigali,2025-03-30 11:30:00,25.1,61,1020.0,Partly cloudy,1.3055660000000002
Rwanda,Kigali,2025-03-31 11:15:00,21.0,83,1020.0,Partly cloudy,1.5000120000000003
