Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
Saint Kitts and Nevis,Basseterre,2025-06-01 04:45:00,28.2,79,1018.0,Patchy rain nearby,7.6945060000000005
Saint Kitts and Nevis,Basseterre,2025-06-02 05:00:00,27.3,84,1019.0,Patchy rain nearby,8.611180000000001
Saint Kitts and Nevis,Basseterre,2025-06-03 05:00:00,27.3,74,1017.0,Clear,7.111168000000001
Saint Kitts and Nevis,Basseterre,2025-06-04 05:00:00,27.0,74,1016.0,Patchy rain nearby,9.111184
Saint Kitts and Nevis,Basseterre,2025-06-05 04:45:00,26.1,79,1015.0,Patchy rain nearby,6.694498000000001
Saint Kitts and Nevis,Basseterre,2025-06-06 05:00:00,26.3,79,1016.0,Patchy rain nearby,7.111168000000001
Saint Kitts and Nevis,Basseterre,2025-06-07 04:45:00,26.2,84,1016.0,Patchy rain nearby,7.305614000000001
Saint Kitts and Nevis,Basseterre,2025-06-08 05:00:00,27.3,74,1016.0,Patchy rain nearby,8.611180000000001
Saint Kitts and Nevis,Basseterre,2025-06-09 05:00:00,27.3,79,1016.0,Patchy rain nearby,8.694514000000002
Saint Kitts and Nevis,Basseterre,2025-06-10 05:00:00,27.3,79,1017.0,Patchy rain nearby,10.305638000000002
Saint Kitts and Nevis,Basseterre,2025-06-11 05:00:00,27.1,74,1018.0,Patchy rain nearby,10.500084000000001
Saint Kitts and Nevis,Basseterre,2025-06-12 04:45:00,27.1,74,1018.0,Clear,8.111176
Saint Kitts and Nevis,Basseterre,2025-06-13 05:00:00,26.2,74,1017.0,Cloudy,8.694514000000002
Saint Kitts and Nevis,Basseterre,2025-06-14 05:00:00,26.1,74,1018.0,Patchy rain nearby,8.111176
Saint Kitts and Nevis,Basseterre,2025-06-15 04:45:00,27.0,74,1019.0,Patchy rain nearby,7.6945060000000005
Saint Kitts and Nevis,Basseterre,2025-06-16 05:00:00,27.0,79,1019.0,Patchy rain nearby,8.805626
Saint Kitts and Nevis,Basseterre,2025-06-17 05:00:00,27.3,74,1017.0,Patchy rain nearby,9.194518
Saint Kitts and Nevis,Basseterre,2025-06-18 05:15:00,27.1,79,1018.0,Patchy rain nearby,9.000072000000001
Saint Kitts and Nevis,Basseterre,2025-06-19 05:00:00,26.3,84,1017.0,Partly Cloudy,9.194518
Saint Kitts and Nevis,Basseterre,2025-06-20 04:45:00,27.4,79,1017.0,Patchy light drizzle,8.111176
Saint Kitts and Nevis,Basseterre,2025-06-21 04:45:00,27.3,74,1017.0,Light rain shower,8.611180000000001
Saint Kitts and Nevis,Basseterre,2025-06-22 04:30:00,27.3,74,1016.0,Partly Cloudy,8.305622
Saint Kitts and Nevis,Basseterre,2025-06-23 05:00:00,27.0,84,1015.0,Patchy rain nearby,9.888968000000002
Saint Kitts and Nevis,Basseterre,2025-06-24 04:45:00,28.4,74,1017.0,Clear,9.388964
Saint Kitts and Nevis,Basseterre,2025-06-25 05:00:00,27.1,79,1017.0,Patchy rain nearby,9.388964
Saint Kitts and Nevis,Basseterre,2025-06-26 04:45:00,27.1,79,1016.0,Patchy rain nearby,9.611188000000002
Saint Kitts and Nevis,Basseterre,2025-06-27 04:45:00,27.2,79,1017.0,Partly Cloudy,9.388964
Saint Kitts and Nevis,Basseterre,2025-06-28 04:30:00,27.3,79,1017.0,Patchy rain nearby,9.111184
Saint Kitts and Nevis,Basseterre,2025-06-29 04:15:00,27.1,84,1016.0,Patchy rain nearby,9.30563
Saint Kitts and Nevis,Basseterre,2025-06-30 04:45:00,27.0,79,1017.0,Patchy rain nearby,8.88896
