Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
Saint Lucia,Castries,2024-06-01 10:30:00,31.0,75,1015.0,Partly cloudy,7.805618000000001
Saint Lucia,Castries,2024-06-02 10:00:00,27.0,84,1015.0,Light rain,10.305638000000002
Saint Lucia,Castries,2024-06-03 10:15:00,30.0,79,1015.0,Partly cloudy,8.305622
Saint Lucia,Castries,2024-06-04 10:15:00,28.0,84,1016.0,Moderate or heavy rain shower,7.805618000000001
Saint Lucia,Castries,2024-06-05 10:15:00,31.0,75,1015.0,Partly cloudy,9.194518
Saint Lucia,Castries,2024-06-06 10:00:00,30.0,75,1015.0,Partly cloudy,9.694522000000001
Saint Lucia,Castries,2024-06-07 10:00:00,29.0,84,1016.0,Partly cloudy,5.611156
Saint Lucia,Castries,2024-06-08 10:15:00,31.1,71,1017.0,Partly cloudy,5.305598000000001
Saint Lucia,Castries,2024-06-09 10:15:00,30.1,75,1016.0,Partly cloudy,5.611156
Saint Lucia,Castries,2024-06-10 10:15:00,30.1,75,1015.0,Partly cloudy,5.611156
Saint Lucia,Castries,2024-06-11 10:00:00,28.8,75,1016.0,Patchy rain nearby,7.194502
Saint Lucia,Castries,2024-06-12 10:15:00,29.2,84,1017.0,Light rain,4.694482
Saint Lucia,Castries,2024-06-13 10:00:00,30.1,75,1015.0,Partly cloudy,2.50002
Saint Lucia,Castries,2024-06-14 10:00:00,31.2,71,1015.0,Partly cloudy,4.194478
Saint Lucia,Castries,2024-06-15 10:00:00,29.1,64,1016.0,Sunny,5.611156
Saint Lucia,Castries,2024-06-16 09:45:00,31.1,66,1015.0,Partly cloudy,3.6111400000000002
Saint Lucia,Castries,2024-06-17 10:00:00,29.5,70,1013.0,Patchy rain nearby,5.111152
Saint Lucia,Castries,2024-06-18 10:00:00,29.4,72,1013.0,Thundery outbreaks in nearby,6.000048000000001
Saint Lucia,Castries,2024-06-19 10:00:00,29.1,71,1013.0,Patchy rain nearby,7.111168000000001
Saint Lucia,Castries,2024-06-20 09:45:00,29.4,65,1014.0,Sunny,5.805602
Saint Lucia,Castries,2024-06-21 09:45:00,30.0,75,1014.0,Partly cloudy,4.694482
Saint Lucia,Castries,2024-06-22 09:45:00,30.2,75,1014.0,Partly cloudy,4.694482
Saint Lucia,Castries,2024-06-23 09:45:00,31.2,75,1014.0,Partly cloudy,6.111160000000001
Saint Lucia,Castries,2024-06-24 09:45:00,29.3,79,1015.0,Partly cloudy,4.194478
Saint Lucia,Castries,2024-06-25 09:15:00,28.2,80,1016.0,Light rain shower,8.694514000000002
Saint Lucia,Castries,2024-06-26 09:30:00,30.2,75,1016.0,Partly cloudy,3.6111400000000002
Saint Lucia,Castries,2024-06-27 09:15:00,30.2,79,1014.0,Partly cloudy,4.694482
Saint Lucia,Castries,2024-06-28 09:15:00,30.1,75,1014.0,Partly cloudy,4.694482
Saint Lucia,Castries,2024-06-29 08:45:00,27.3,89,1015.0,Partly cloudy,5.305598000000001
Saint Lucia,Castries,2024-06-30 09:30:00,30.4,70,1015.0,Partly cloudy,1.8889040000000001
