Pays,Ville,Date,Température (°C),Humidité (%),Pression (hPa),Description,Vent (m/s)
Saint Vincent and the Grenadines,Kingstown,2025-05-01 05:00:00,26.4,78,1011.0,Cloudy,4.388924
Saint Vincent and the Grenadines,Kingstown,2025-05-02 05:00:00,26.1,82,1011.0,Patchy rain nearby,4.194478
Saint Vincent and the Grenadines,Kingstown,2025-05-03 05:00:00,26.3,82,1012.0,Patchy rain nearby,5.00004
Saint Vincent and the Grenadines,Kingstown,2025-05-04 04:45:00,26.3,80,1012.0,Partly Cloudy,5.111152
Saint Vincent and the Grenadines,Kingstown,2025-05-05 05:00:00,25.8,82,1012.0,Light rain shower,4.111144
Saint Vincent and the Grenadines,Kingstown,2025-05-06 05:00:00,26.4,76,1012.0,Partly Cloudy,4.194478
Saint Vincent and the Grenadines,Kingstown,2025-05-07 04:45:00,27.0,74,1011.0,Patchy rain nearby,5.305598000000001
Saint Vincent and the Grenadines,Kingstown,2025-05-08 04:45:00,26.8,74,1012.0,Cloudy,5.611156
Saint Vincent and the Grenadines,Kingstown,2025-05-09 05:15:00,27.1,76,1013.0,Patchy rain nearby,4.888928000000001
Saint Vincent and the Grenadines,Kingstown,2025-05-10 05:00:00,27.1,76,1015.0,Partly Cloudy,6.6111640000000005
Saint Vincent and the Grenadines,Kingstown,2025-05-11 04:45:00,26.9,82,1015.0,Light rain shower,6.6111640000000005
Saint Vincent and the Grenadines,Kingstown,2025-05-12 05:15:00,26.4,81,1015.0,Patchy rain nearby,6.694498000000001
Saint Vincent and the Grenadines,Kingstown,2025-05-13 05:15:00,26.6,80,1014.0,Patchy rain nearby,5.888936
Saint Vincent and the Grenadines,Kingstown,2025-05-14 05:15:00,26.4,80,1013.0,Light rain shower,7.000056000000001
Saint Vincent and the Grenadines,Kingstown,2025-05-15 05:00:00,26.4,81,1013.0,Light rain shower,6.805610000000001
Saint Vincent and the Grenadines,Kingstown,2025-05-16 05:00:00,26.3,82,1013.0,Light rain shower,8.194510000000001
Saint Vincent and the Grenadines,Kingstown,2025-05-17 04:45:00,25.9,81,1013.0,Light rain shower,7.6945060000000005
Saint Vincent and the Grenadines,Kingstown,2025-05-18 04:45:00,26.7,80,1012.0,Patchy rain nearby,7.305614000000001
Saint Vincent and the Grenadines,Kingstown,2025-05-19 05:00:00,26.8,80,1014.0,Patchy light drizzle,6.111160000000001
Saint Vincent and the Grenadines,Kingstown,2025-05-20 05:00:00,26.8,78,1014.0,Patchy rain nearby,5.500044000000001
Saint Vincent and the Grenadines,Kingstown,2025-05-21 04:45:00,26.2,80,1014.0,Patchy rain nearby,5.3889320000000005
Saint Vincent and the Grenadines,Kingstown,2025-05-22 04:45:00,26.6,75,1014.0,Partly Cloudy,6.694498000000001
Saint Vincent and the Grenadines,Kingstown,2025-05-23 05:00:00,26.8,77,1016.0,Patchy rain nearby,7.805618000000001
Saint Vincent and the Grenadines,Kingstown,2025-05-24 04:45:00,26.5,80,1015.0,Patchy rain nearby,7.194502
Saint Vincent and the Grenadines,Kingstown,2025-05-25 04:30:00,26.9,78,1015.0,Partly Cloudy,8.500068
Saint Vincent and the Grenadines,Kingstown,2025-05-26 05:00:00,26.8,81,1016.0,Patchy rain nearby,8.305622
Saint Vincent and the Grenadines,Kingstown,2025-05-27 05:00:00,26.4,78,1016.0,Patchy rain nearby,8.194510000000001
Saint Vincent and the Grenadines,Kingstown,2025-05-28 04:45:00,26.2,78,1016.0,Patchy rain nearby,5.194486
Saint Vincent and the Grenadines,Kingstown,2025-05-29 04:45:00,26.7,78,1016.0,Partly Cloudy,6.305606
Saint Vincent and the Grenadines,Kingstown,2025-05-30 05:00:00,26.9,81,1016.0,Patchy rain nearby,7.388948000000001
Saint Vincent and the Grenadines,Kingstown,2025-05-31 04:45:00,27.0,77,1015.0,Patchy rain nearby,8.388956
